,Date,Time,Number of Jumps,FARS Point Number,Carrier Frequency /MHz,Sideband Frequency /MHz,Total Frequency /MHz,Real freq,Detuning,Mean tau/us,Mean tau/us offset,Mean tau/us corr,Mean tau/us corr offset,tau std. dev./us,tau rel. std. dev./%,Mean loss/ppm,f_rep/Hz,Temperature /C,Yokogawa Pressure Calib /Torr,Calculated Pressure /Torr,New Calculated Pressure /Torr,Yokogawa Pressure Offset /Torr,Yokogawa Pressure Read /Torr,dF / MHz,Actual PZT Voltage,Current /mA,Actual Current
15,3/8/2019,9:17:44 AM,0,16,237143507.3,-3594.4438,237139912.8,237139999.244,-3626.456202,38.57013032,38.5803967391,38.6418164656,38.6521210874,0.021333062,0.0553098,64.34297337,620.3319502,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.130868524,-0.436104906,175.0848435,176.829263124
16,3/8/2019,9:17:44 AM,0,17,237143507.3,-3392.9747,237140114.3,237140200.714,-3424.986413,38.5754027,38.5856719264,38.6471043312,38.6574117738,0.020878576,0.054124064,64.33417916,579.4573643,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.077365488,-0.436104906,175.0848435,176.829263124
17,3/8/2019,9:17:44 AM,0,18,237143507.3,-3191.5056,237140315.8,237140402.183,-3223.516624,38.57513686,38.5854059449,38.6468377103,38.6571450107,0.021185072,0.05491898,64.33462252,605.2631579,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.005813777,-0.436104906,175.0848435,176.829263124
18,3/8/2019,9:17:44 AM,0,19,237143507.3,-2990.0365,237140517.3,237140603.653,-3022.046835,38.58075883,38.5910309087,38.6524761949,38.6627865036,0.021985672,0.056986106,64.32524771,587.4263261,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.047967315,-0.436104906,175.0848435,176.829263124
19,3/8/2019,9:17:44 AM,0,20,237143507.3,-2788.5674,237140718.7,237140805.123,-2820.577046,38.58583417,38.5961089519,38.6575664459,38.6678794707,0.022628895,0.058645603,64.31678676,582.8460039,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.218901336,-0.436104906,175.0848435,176.829263124
20,3/8/2019,9:17:44 AM,0,21,237143507.3,-2587.0983,237140920.2,237141006.593,-2619.107257,38.58849201,38.5987682076,38.6602320952,38.6705465425,0.020397532,0.052859105,64.31235684,581.7120623,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.184931278,-0.436104906,175.0848435,176.829263124
21,3/8/2019,9:17:44 AM,0,22,237143507.3,-2385.6292,237141121.7,237141208.063,-2417.637468,38.59261549,38.6028938842,38.664367692,38.6746843464,0.020513696,0.053154458,64.30548531,608.9613035,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.122285724,-0.436104906,175.0848435,176.829263124
22,3/8/2019,9:17:44 AM,0,23,237143507.3,-2184.1601,237141323.1,237141409.532,-2216.167679,38.59268739,38.6029658225,38.6644398032,38.6747564962,0.020252499,0.052477556,64.30536549,564.1509434,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.032066941,-0.436104906,175.0848435,176.829263124
23,3/8/2019,9:17:44 AM,0,24,237143507.3,-1982.691,237141524.6,237141611.002,-2014.69789,38.59149317,38.6017709663,38.6632420739,38.6735581276,0.020497042,0.053112851,64.30735544,569.5238095,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.009523511,-0.436104906,175.0848435,176.829263124
24,3/8/2019,9:17:44 AM,0,25,237143507.3,-1781.2219,237141726.1,237141812.472,-1813.228101,38.58786345,38.5981393128,38.6596016883,38.6699157992,0.021614745,0.05601436,64.31340443,572.7969349,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.208673686,-0.436104906,175.0848435,176.829263124
25,3/8/2019,9:17:44 AM,0,26,237143507.3,-1579.7528,237141927.5,237142013.942,-1611.758312,38.59540029,38.6056801678,38.6671606758,38.6774788209,0.019645267,0.050900539,64.30084543,527.3368607,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.176890492,-0.436104906,175.0848435,176.829263124
26,3/8/2019,9:17:44 AM,0,27,237143507.3,-1378.2837,237142129.0,237142215.411,-1410.288523,38.59609264,38.6063728866,38.6678550605,38.6781735763,0.019828978,0.05137561,64.29969197,568.4410646,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.081490219,-0.436104906,175.0848435,176.829263124
