trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma_air,delta_air,deltap_air,n_air,gamma_self,delta_self,deltap_self,n_self,y_air,y_self,beta_g_air,beta_g_self
10884700,2,1,6200.000973,2.899e-25,0.005908,675.2049,11.0,9.0,       3 1 1 13,       0 1 1 01,               ,     R  4f     ,0.0847,-0.003737,0.0,0.69,0.116,-0.003953,0.0,0.72,0.013969,0.018903,0.0,0.0
10884701,2,1,6200.050623,2.248e-28,3.77e-05,1547.973,93.0,95.0,       5 0 0 02,       0 1 1 01,               ,     P 47e     ,0.0661,-0.00677,0.0,0.74,0.075,-0.007077,0.0,0.58,0.00396,0.004664,0.0,0.0
10884702,2,1,6200.066139,1.05e-29,3.036e-06,1519.6411,47.0,49.0,       3 2 2 13,       1 0 0 02,               ,     P 24e     ,0.0709,-0.006848,0.0,0.72,0.094,-0.006544,0.0,0.68,0.0,0.0,0.0,0.0
10884706,2,1,6200.250306,6.956e-30,0.0002511,2639.3536,87.0,85.0,       5 2 2 03,       1 1 1 02,               ,     R 42f     ,0.0668,-0.006817,0.0,0.75,0.078,-0.006884,0.0,0.59,-0.0049,-0.006335,0.0,0.0
10884710,2,1,6200.344165,1.659e-27,0.006928,2218.0295,97.0,95.0,       3 2 2 13,       0 2 2 01,               ,     R 47f     ,0.0659,-0.008225,0.0,0.74,0.075,-0.008338,0.0,0.58,-0.012213,-0.013552,0.0,0.0
10884716,2,1,6200.544574,2.148e-26,0.01968,1863.7586,79.0,77.0,       4 0 0 14,       1 0 0 02,               ,     R 38e     ,0.0675,-0.007607,0.0,0.75,0.081,-0.007861,0.0,0.6,-0.009816,-0.012365,0.0,0.0
10884718,2,1,6200.603284,1.544e-28,0.01716,2884.4654,93.0,91.0,       4 1 1 13,       1 1 1 01,               ,     R 45e     ,0.0663,-0.008095,0.0,0.74,0.076,-0.008249,0.0,0.58,0.0,0.0,0.0,0.0
10884719,2,1,6200.623225,1.829e-29,2.908e-05,1977.0938,79.0,81.0,       4 3 3 02,       0 2 2 01,               ,     P 40e     ,0.0673,-0.006544,0.0,0.75,0.08,-0.006599,0.0,0.59,0.005136,0.006527,0.0,0.0
10884721,2,1,6200.68538,3.031e-26,0.02141,1404.5719,11.0,13.0,       4 0 0 13,       1 0 0 01,               ,     P  6e     ,0.0834,-0.005557,0.0,0.68,0.114,-0.004748,0.0,0.71,-0.006547,-0.00886,0.0,0.0
10884722,2,1,6200.701025,2.392e-28,0.01737,2783.2102,87.0,85.0,       4 1 1 13,       1 1 1 01,               ,     R 42f     ,0.0668,-0.007892,0.0,0.75,0.078,-0.008099,0.0,0.59,0.0,0.0,0.0,0.0
10884723,2,1,6200.707512,3.458e-25,0.006079,679.099,13.0,11.0,       3 1 1 13,       0 1 1 01,               ,     R  5e     ,0.0834,-0.00396,0.0,0.68,0.114,-0.004103,0.0,0.71,0.010022,0.013574,0.0,0.0
10884724,2,1,6200.720057,3.494e-28,5.264e-06,702.5363,17.0,19.0,       4 2 2 02,       0 1 1 01,               ,     P  9e     ,0.0801,-0.005165,0.0,0.68,0.109,-0.004389,0.0,0.69,0.0,0.0,0.0,0.0
10884725,2,1,6200.733863,3.493e-30,0.002678,3248.1793,79.0,77.0,       6 1 1 03,       2 0 0 02,               ,     R 38e     ,0.0675,-0.006565,0.0,0.75,0.081,-0.006688,0.0,0.6,-0.007247,-0.009361,0.0,0.0
10884731,2,1,6200.894888,1.418e-27,0.006965,2255.5668,99.0,97.0,       3 2 2 13,       0 2 2 01,               ,     R 48e     ,0.0657,-0.008289,0.0,0.74,0.074,-0.008379,0.0,0.57,-0.009264,-0.010401,0.0,0.0
10884733,2,1,6200.935157,7.506e-30,0.0002346,2604.8903,85.0,83.0,       5 2 2 03,       1 1 1 02,               ,     R 41e     ,0.067,-0.006755,0.0,0.75,0.079,-0.006839,0.0,0.59,-0.007631,-0.00933,0.0,0.0
9298904,5,2,6200.996448,1.076e-25,0.007039,22.0549,10.0,14.0,              3,              0,               ,     P  3      ,0.0712,-0.005293,0.0,0.74,0.077,-0.005497,0.0,0.0,-0.004175,-0.004557,0.0,0.0
10884738,2,1,6201.13285,1.295e-28,8.621e-08,316.7699,59.0,57.0,       4 1 1 02,       0 0 0 01,               ,     R 28e     ,0.0694,-0.005858,0.0,0.73,0.089,-0.00599,0.0,0.64,0.00031,-1.5e-05,0.0,0.0
10884743,2,1,6201.279565,1.2e-27,0.006961,2293.8868,101.0,99.0,       3 2 2 13,       0 2 2 01,               ,     R 49f     ,0.0655,-0.008352,0.0,0.74,0.074,-0.008418,0.0,0.57,-0.012481,-0.013578,0.0,0.0
10884744,2,1,6201.282005,1.966e-28,0.000201,1852.3466,67.0,69.0,       5 1 1 02,       1 0 0 01,               ,     P 34e     ,0.0683,-0.006304,0.0,0.74,0.085,-0.006203,0.0,0.61,0.004808,0.006672,0.0,0.0
10884748,2,1,6201.361966,1.134e-28,0.0172,2956.9806,97.0,95.0,       4 1 1 13,       1 1 1 01,               ,     R 47e     ,0.0659,-0.008225,0.0,0.74,0.075,-0.008338,0.0,0.58,0.0,0.0,0.0,0.0
10884749,2,1,6201.410638,1.955e-29,2.739e-05,1945.7959,77.0,79.0,       4 3 3 02,       0 2 2 01,               ,     P 39f     ,0.0675,-0.006504,0.0,0.75,0.081,-0.006532,0.0,0.6,0.005057,0.00663,0.0,0.0
10884750,2,1,6201.437713,8.768e-24,0.007301,362.7883,59.0,61.0,       3 0 0 13,       0 0 0 01,               ,     P 30e     ,0.0692,-0.007108,0.0,0.74,0.088,-0.007513,0.0,0.63,0.006126,0.008243,0.0,0.0
10884751,2,1,6201.447687,2.472e-28,4.081e-06,695.5495,15.0,17.0,       4 2 2 02,       0 1 1 01,               ,     P  8f     ,0.0811,-0.005088,0.0,0.68,0.111,-0.00429,0.0,0.7,0.0,0.0,0.0,0.0
10884752,2,1,6201.489883,3.979e-25,0.006204,683.8124,15.0,13.0,       3 1 1 13,       0 1 1 01,               ,     R  6f     ,0.0822,-0.004165,0.0,0.68,0.112,-0.004251,0.0,0.7,0.01043,0.014048,0.0,0.0
10884755,2,1,6201.554116,2.884e-28,3.554e-05,1475.423,89.0,91.0,       5 0 0 02,       0 1 1 01,               ,     P 45e     ,0.0665,-0.006693,0.0,0.74,0.077,-0.00694,0.0,0.58,0.003973,0.004777,0.0,0.0
10884756,2,1,6201.570932,1.686e-26,0.01985,1925.3775,83.0,81.0,       4 0 0 14,       1 0 0 02,               ,     R 40e     ,0.0671,-0.007752,0.0,0.75,0.08,-0.007986,0.0,0.59,-0.010134,-0.012306,0.0,0.0
10884757,2,1,6201.627059,1.803e-28,0.01743,2851.2226,91.0,89.0,       4 1 1 13,       1 1 1 01,               ,     R 44f     ,0.0665,-0.008028,0.0,0.74,0.077,-0.008202,0.0,0.58,0.0,0.0,0.0,0.0
10884758,2,1,6201.658973,5.635e-30,0.0002708,2707.4049,91.0,89.0,       5 2 2 03,       1 1 1 02,               ,     R 44f     ,0.0665,-0.006937,0.0,0.74,0.077,-0.006967,0.0,0.58,-0.005932,-0.007292,0.0,0.0
10884761,2,1,6201.79374,7.959e-30,2.106e-06,1482.9521,43.0,45.0,       3 2 2 13,       1 0 0 02,               ,     P 22e     ,0.0716,-0.006745,0.0,0.71,0.095,-0.006381,0.0,0.69,0.0,0.0,0.0,0.0
10884762,2,1,6201.815753,2.593e-30,0.00879,3627.5788,113.0,115.0,       3 0 0 22,       0 0 0 11,               ,     P 57e     ,0.064,-0.008381,0.0,0.72,0.07,-0.009071,0.0,0.56,0.005364,0.005676,0.0,0.0
10884764,2,1,6201.828556,1.017e-27,0.006997,2332.9821,103.0,101.0,       3 2 2 13,       0 2 2 01,               ,     R 50e     ,0.0653,-0.008414,0.0,0.74,0.073,-0.008456,0.0,0.57,-0.009051,-0.010058,0.0,0.0
10884766,2,1,6201.885363,1.643e-30,0.03411,3791.8336,41.0,43.0,       4 0 0 23,       1 0 0 12,               ,     P 21e     ,0.072,-0.006653,0.0,0.71,0.096,-0.006297,0.0,0.7,0.0,0.0,0.0,0.0
10884771,2,1,6202.086276,8.193e-29,0.01724,3032.6054,101.0,99.0,       4 1 1 13,       1 1 1 01,               ,     R 49e     ,0.0655,-0.008352,0.0,0.74,0.074,-0.008418,0.0,0.57,0.0,0.0,0.0,0.0
10884774,2,1,6202.158348,4.45e-25,0.006288,689.2553,17.0,15.0,       3 1 1 13,       0 1 1 01,               ,     R  7e     ,0.0811,-0.004355,0.0,0.68,0.111,-0.004399,0.0,0.7,0.006088,0.008072,0.0,0.0
10884776,2,1,6202.187837,8.536e-28,0.006994,2372.8613,105.0,103.0,       3 2 2 13,       0 2 2 01,               ,     R 51f     ,0.0651,-0.008476,0.0,0.74,0.072,-0.008492,0.0,0.57,-0.012745,-0.013583,0.0,0.0
10884777,2,1,6202.187973,2.091e-29,2.594e-05,1915.2787,75.0,77.0,       4 3 3 02,       0 2 2 01,               ,     P 38e     ,0.0676,-0.006464,0.0,0.75,0.082,-0.006465,0.0,0.6,0.004899,0.006435,0.0,0.0
10884778,2,1,6202.188205,2.793e-30,0.002749,3309.6641,83.0,81.0,       6 1 1 03,       2 0 0 02,               ,     R 40e     ,0.0671,-0.006693,0.0,0.75,0.08,-0.006791,0.0,0.59,-0.007741,-0.009688,0.0,0.0
10884780,2,1,6202.264657,1.624e-28,3.001e-06,689.2553,13.0,15.0,       4 2 2 02,       0 1 1 01,               ,     P  7e     ,0.0822,-0.005001,0.0,0.68,0.112,-0.004187,0.0,0.7,0.0,0.0,0.0,0.0
10884781,2,1,6202.28573,1.45e-30,0.004916,3627.5788,113.0,115.0,       3 3 3 11,       0 0 0 11,               ,     P 57e     ,0.064,-0.007253,0.0,0.72,0.07,-0.007735,0.0,0.56,0.0,0.0,0.0,0.0
10884785,2,1,6202.329061,2.11e-26,0.02247,1395.9879,7.0,9.0,       4 0 0 13,       1 0 0 01,               ,     P  4e     ,0.0862,-0.005249,0.0,0.69,0.118,-0.00448,0.0,0.73,-0.010604,-0.01443,0.0,0.0
10884789,2,1,6202.457899,6.176e-30,0.0002546,2671.2253,89.0,87.0,       5 2 2 03,       1 1 1 02,               ,     R 43e     ,0.0666,-0.006877,0.0,0.74,0.077,-0.006927,0.0,0.58,-0.007083,-0.008455,0.0,0.0
10884793,2,1,6202.523342,1.337e-28,0.0175,2922.3542,95.0,93.0,       4 1 1 13,       1 1 1 01,               ,     R 46f     ,0.0661,-0.00816,0.0,0.74,0.075,-0.008294,0.0,0.58,0.0,0.0,0.0,0.0
10884794,2,1,6202.568318,1.301e-26,0.02002,1990.108,87.0,85.0,       4 0 0 14,       1 0 0 02,               ,     R 42e     ,0.0668,-0.007892,0.0,0.75,0.078,-0.008099,0.0,0.59,-0.010288,-0.012337,0.0,0.0
10884796,2,1,6202.619826,1.505e-28,1.174e-07,362.7883,63.0,61.0,       4 1 1 02,       0 0 0 01,               ,     R 30e     ,0.0689,-0.006009,0.0,0.74,0.088,-0.006154,0.0,0.63,-0.000433,-0.000945,0.0,0.0
10884801,2,1,6202.736018,7.183e-28,0.007038,2413.5136,107.0,105.0,       3 2 2 13,       0 2 2 01,               ,     R 52e     ,0.0649,-0.008536,0.0,0.73,0.072,-0.008527,0.0,0.57,-0.008768,-0.009597,0.0,0.0
10884803,2,1,6202.776183,5.819e-29,0.01727,3111.3388,105.0,103.0,       4 1 1 13,       1 1 1 01,               ,     R 51e     ,0.0651,-0.008476,0.0,0.74,0.072,-0.008492,0.0,0.57,0.0,0.0,0.0,0.0
10884806,2,1,6202.915108,2.154e-28,0.0001818,1800.0957,63.0,65.0,       5 1 1 02,       1 0 0 01,               ,     P 32e     ,0.0687,-0.006224,0.0,0.74,0.087,-0.006074,0.0,0.62,0.004526,0.006135,0.0,0.0
10884807,2,1,6202.9553,4.882e-25,0.006365,695.5495,19.0,17.0,       3 1 1 13,       0 1 1 01,               ,     R  8f     ,0.0801,-0.004531,0.0,0.68,0.109,-0.004545,0.0,0.69,0.007869,0.010682,0.0,0.0
10884809,2,1,6202.973789,2.211e-29,2.439e-05,1885.5422,73.0,75.0,       4 3 3 02,       0 2 2 01,               ,     P 37f     ,0.0678,-0.006424,0.0,0.74,0.083,-0.006399,0.0,0.6,0.00475,0.006392,0.0,0.0
10884810,2,1,6203.01294,9.828e-29,2.091e-06,683.8124,11.0,13.0,       4 2 2 02,       0 1 1 01,               ,     P  6f     ,0.0834,-0.004902,0.0,0.68,0.114,-0.004081,0.0,0.71,0.0,0.0,0.0,0.0
10884811,2,1,6203.06209,4.468e-30,0.0002908,2778.575,95.0,93.0,       5 2 2 03,       1 1 1 02,               ,     R 46f     ,0.0661,-0.007054,0.0,0.74,0.075,-0.007041,0.0,0.58,-0.00691,-0.008085,0.0,0.0
10884812,2,1,6203.067229,3.615e-28,3.33e-05,1405.9847,85.0,87.0,       5 0 0 02,       0 1 1 01,               ,     P 43e     ,0.0668,-0.006615,0.0,0.75,0.078,-0.006803,0.0,0.59,0.004029,0.004963,0.0,0.0
10884813,2,1,6203.068832,5.973e-28,0.007028,2454.9516,109.0,107.0,       3 2 2 13,       0 2 2 01,               ,     R 53f     ,0.0647,-0.008596,0.0,0.73,0.071,-0.008561,0.0,0.57,-0.013037,-0.013714,0.0,0.0
9298907,5,1,6203.104895,7.242e-28,0.0243,2600.1249,29.0,31.0,              4,              1,               ,     P 15      ,0.0545,-0.007586,0.0,0.71,0.059,-0.008024,0.0,0.0,0.002293,0.002489,0.0,0.0
10884822,2,1,6203.38978,9.739e-29,0.01756,2996.6039,99.0,97.0,       4 1 1 13,       1 1 1 01,               ,     R 48f     ,0.0657,-0.008289,0.0,0.74,0.074,-0.008379,0.0,0.57,0.0,0.0,0.0,0.0
10884824,2,1,6203.402647,1.02e-23,0.007289,316.7699,55.0,57.0,       3 0 0 13,       0 0 0 01,               ,     P 28e     ,0.0697,-0.007009,0.0,0.73,0.09,-0.007413,0.0,0.65,0.005976,0.008167,0.0,0.0
10884825,2,1,6203.431662,4.065e-29,0.0173,3193.1796,109.0,107.0,       4 1 1 13,       1 1 1 01,               ,     R 53e     ,0.0647,-0.008596,0.0,0.73,0.071,-0.008561,0.0,0.57,0.0,0.0,0.0,0.0
10884827,2,1,6203.506987,5.673e-30,1.406e-06,1449.3831,39.0,41.0,       3 2 2 13,       1 0 0 02,               ,     P 20e     ,0.0725,-0.006639,0.0,0.71,0.097,-0.006212,0.0,0.71,0.0,0.0,0.0,0.0
10884828,2,1,6203.536421,9.864e-27,0.02019,2057.9488,91.0,89.0,       4 0 0 14,       1 0 0 02,               ,     R 44e     ,0.0665,-0.008028,0.0,0.74,0.077,-0.008202,0.0,0.58,-0.010461,-0.012195,0.0,0.0
10884830,2,1,6203.579342,5.252e-25,0.006411,702.5363,21.0,19.0,       3 1 1 13,       0 1 1 01,               ,     R  9e     ,0.0791,-0.004695,0.0,0.68,0.108,-0.004689,0.0,0.69,0.002818,0.003643,0.0,0.0
10884832,2,1,6203.617114,4.988e-28,0.007077,2497.16,111.0,109.0,       3 2 2 13,       0 2 2 01,               ,     R 54e     ,0.0645,-0.008655,0.0,0.73,0.071,-0.008594,0.0,0.57,-0.008434,-0.009073,0.0,0.0
9298908,5,1,6203.620948,4.386e-26,0.004876,1557.0607,55.0,57.0,              3,              0,               ,     P 28      ,0.046,-0.008411,0.0,0.67,0.049,-0.008874,0.0,0.0,0.002214,0.00233,0.0,0.0
10884833,2,1,6203.636801,2.231e-30,0.002869,3374.255,87.0,85.0,       6 1 1 03,       2 0 0 02,               ,     R 42e     ,0.0668,-0.006817,0.0,0.75,0.078,-0.006884,0.0,0.59,-0.008191,-0.009878,0.0,0.0
