,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,nuOptRe_air,nuOptRe_air_err,nuOptRe_air_vary,n_nuOptRe_air,nuOptIm_air,nuOptIm_air_err,nuOptIm_air_vary,n_nuOptIm_air,y_air,y_air_err,y_air_vary,n_y_air,BIA_slope_air,BIA_collision_duration_air
255,7,3,255.5952,13078.73096,0.0,False,0.00245,0.0,False,1.0000000000000001e-24,0.047,0.0,False,0.7,-0.0074,0.0,False,0.0,0.093505839,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
256,7,2,284.8744,13078.91621,0.0,False,0.0101,0.0,False,1.0000000000000001e-24,0.0463,0.0,False,0.7,-0.0074,0.0,False,0.0,0.092020726,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
257,7,3,253.6934,13080.63274,0.0,False,0.00225,0.0,False,1.0000000000000001e-24,0.047,0.0,False,0.72,-0.0074,0.0,False,0.0,0.087272116,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
258,7,2,248.7954,13080.87212,0.0,False,0.0122,0.0,False,1.0000000000000001e-24,0.047,0.0,False,0.7,-0.0074,0.0,False,0.0,0.092020726,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
259,7,3,219.3566,13082.59743,0.0,False,0.0027199999999999,0.0,False,1.0000000000000001e-24,0.0473,0.0,False,0.72,-0.0074,0.0,False,0.0,0.087272116,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
260,7,2,246.8923,13082.77517,0.0,False,0.0112,0.0,False,1.0000000000000001e-24,0.047,0.0,False,0.72,-0.0074,0.0,False,0.0,0.085886011,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
34,7,1,190.7748,13084.203548040276,1.7624351372061387e-06,True,7.487000000000001,0.0,False,1.0000000000000001e-24,0.0500000146828741,1.938228611149477e-06,True,0.82,-0.007651483252037889,7.569034571520433e-06,True,2.4e-05,0.1008774349855262,0.001759926519472733,True,0.82,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.000396,0.0,False,1.807465693,0.0,0.0
261,7,3,217.4447,13084.50936,0.0,False,0.00247,0.0,False,1.0000000000000001e-24,0.0473,0.0,False,0.72,-0.00755,0.0,False,0.0,0.087272116,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
262,7,2,213.5291,13084.63441,0.0,False,0.0135,0.0,False,1.0000000000000001e-24,0.0473,0.0,False,0.72,-0.0074,0.0,False,0.0,0.085886011,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
35,7,1,188.8531,13086.125297164137,1.79163558274589e-06,True,6.728000000000001,0.0,False,1.0000000000000001e-24,0.04999647654010173,1.9629782708472483e-06,True,0.81,-0.00830089012431078,7.318276553398254e-06,True,1.8e-05,0.08972651311435609,0.0017984468643007512,True,0.81,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.000299,0.0,False,-1.535079169,0.0,0.0
263,7,1,188.7134,13086.26482,0.0,False,0.0001,0.0,False,1.0000000000000001e-24,0.0468,0.0,False,0.72,-0.0074,0.0,False,0.0,0.088709784,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
264,7,3,185.9002,13086.37435,0.0,False,0.00295,0.0,False,1.0000000000000001e-24,0.048,0.0,False,0.72,-0.00755,0.0,False,0.0,0.087272116,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
265,7,2,211.6163,13086.54725,0.0,False,0.0123,0.0,False,1.0000000000000001e-24,0.0473,0.0,False,0.72,-0.00755,0.0,False,0.0,0.085886011,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
266,7,1,42.2001,13088.15293,0.0,False,1.8700000000000004e-05,0.0,False,1.0000000000000001e-24,0.053,0.0,False,0.72,-0.00645,0.0,False,0.0,0.088709784,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
267,7,3,183.9777,13088.29681,0.0,False,0.00265,0.0,False,1.0000000000000001e-24,0.048,0.0,False,0.73,-0.0075,0.0,False,0.0,0.084155255,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
268,7,2,180.9705,13088.30957,0.0,False,0.0146,0.0,False,1.0000000000000001e-24,0.048,0.0,False,0.72,-0.00755,0.0,False,0.0,0.085886011,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
269,7,3,155.2271,13090.06173,0.0,False,0.00314,0.0,False,1.0000000000000001e-24,0.0483,0.0,False,0.73,-0.0075,0.0,False,0.0,0.084155255,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
270,7,2,179.0475,13090.23257,0.0,False,0.0131,0.0,False,1.0000000000000001e-24,0.048,0.0,False,0.73,-0.0075,0.0,False,0.0,0.082818654,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
36,7,1,130.4375,13091.71056186487,1.7931110553168187e-06,True,8.360000000000001,0.0,False,1.0000000000000001e-24,0.05000198851723493,1.8221824135330676e-06,True,0.84,-0.00795693115541057,7.747154645452218e-06,True,2e-05,0.08895689004324318,0.00183379291867759,True,0.84,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.000153,0.0,False,2.155916203,0.0,0.0
271,7,2,151.1207,13091.89764,0.0,False,0.0154,0.0,False,1.0000000000000001e-24,0.0483,0.0,False,0.73,-0.0075,0.0,False,0.0,0.082818654,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
272,7,3,153.2936,13091.99523,0.0,False,0.00279,0.0,False,1.0000000000000001e-24,0.0483,0.0,False,0.74,-0.0075,0.0,False,0.0,0.081038394,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
37,7,1,128.492,13093.656028032492,1.8027692639506457e-06,True,7.329000000000001,0.0,False,1.0000000000000001e-24,0.050000660733584244,1.872245834277546e-06,True,0.86,-0.007951153291190838,7.532231027669076e-06,True,1.9e-05,0.07935697856966961,0.0018595281468722507,True,0.86,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,2.2e-05,0.0,False,-0.098967628,0.0,0.0
273,7,3,127.3387,13093.6596,0.0,False,0.00326,0.0,False,1.0000000000000001e-24,0.049,0.0,False,0.74,-0.0075,0.0,False,0.0,0.081038394,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
274,7,1,128.3977,13093.75013,0.0,False,0.000112,0.0,False,1.0000000000000001e-24,0.0478,0.0,False,0.73,-0.0075,0.0,False,0.0,0.085541577,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
275,7,2,149.1871,13093.83126,0.0,False,0.0138,0.0,False,1.0000000000000001e-24,0.0483,0.0,False,0.74,-0.0075,0.0,False,0.0,0.079751296,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
276,7,2,123.9809,13095.39861,0.0,False,0.016,0.0,False,1.0000000000000001e-24,0.049,0.0,False,0.74,-0.0075,0.0,False,0.0,0.079751296,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
277,7,3,125.3935,13095.60482,0.0,False,0.00287,0.0,False,1.0000000000000001e-24,0.049,0.0,False,0.74,-0.0073,0.0,False,0.0,0.081038394,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
278,7,3,102.2361,13097.16793,0.0,False,0.00332,0.0,False,1.0000000000000001e-24,0.0497,0.0,False,0.74,-0.0073,0.0,False,0.0,0.081038394,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
279,7,2,122.036,13097.34349,0.0,False,0.0141,0.0,False,1.0000000000000001e-24,0.049,0.0,False,0.74,-0.0073,0.0,False,0.0,0.079751296,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
280,7,2,99.5521,13098.81248,0.0,False,0.0162,0.0,False,1.0000000000000001e-24,0.0497,0.0,False,0.74,-0.0073,0.0,False,0.0,0.079751296,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
38,7,1,81.5805,13098.848473223796,1.7685714033922625e-06,True,8.474000000000002,0.0,False,1.0000000000000001e-24,0.05000197847514037,1.8261620990528795e-06,True,0.82,-0.007848391354546473,7.628946124381732e-06,True,2e-05,0.099092048853387,0.001792165045790682,True,0.82,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,-0.00017,0.0,False,2.640868042,0.0,0.0
281,7,3,100.2782,13099.12585,0.0,False,0.00287,0.0,False,1.0000000000000001e-24,0.0497,0.0,False,0.73,-0.007,0.0,False,0.0,0.084155255,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
282,7,3,79.9201,13100.58673,0.0,False,0.00328,0.0,False,1.0000000000000001e-24,0.0507,0.0,False,0.73,-0.007,0.0,False,0.0,0.084155255,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
283,7,2,97.595,13100.76953,0.0,False,0.014,0.0,False,1.0000000000000001e-24,0.0497,0.0,False,0.73,-0.007,0.0,False,0.0,0.082818654,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
39,7,1,79.607,13100.821981745898,1.8431810897540424e-06,True,7.15,0.0,False,1.0000000000000001e-24,0.04999982673866363,1.8972131650280252e-06,True,0.85,-0.007849176199330041,7.587755193926788e-06,True,1.7e-05,0.08120448266448323,0.0018512268531619765,True,0.85,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,-0.00037,0.0,False,0.497947191,0.0,0.0
284,7,1,79.5646,13100.86414,0.0,False,0.000114,0.0,False,1.0000000000000001e-24,0.0491,0.0,False,0.74,-0.0073,0.0,False,0.0,0.082373371,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
285,7,2,77.8353,13102.13924,0.0,False,0.016,0.0,False,1.0000000000000001e-24,0.0507,0.0,False,0.73,-0.007,0.0,False,0.0,0.082818654,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
286,7,3,77.9481,13102.55875,0.0,False,0.00278,0.0,False,1.0000000000000001e-24,0.0507,0.0,False,0.73,-0.0071,0.0,False,0.0,0.084155255,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
