Spectrum Number,Segment Number,Pressure,Pressure_err,Pressure_vary,Temperature,Temperature_err,Temperature_vary,x_shift,x_shift_err,x_shift_vary,molefraction_CO2,molefraction_CO2_err,molefraction_CO2_vary,abundance_ratio_CO2_1,abundance_ratio_CO2_1_err,abundance_ratio_CO2_1_vary,abundance_ratio_CO2_2,abundance_ratio_CO2_2_err,abundance_ratio_CO2_2_vary,abundance_ratio_CO2_3,abundance_ratio_CO2_3_err,abundance_ratio_CO2_3_vary,abundance_ratio_CO2_4,abundance_ratio_CO2_4_err,abundance_ratio_CO2_4_vary,abundance_ratio_CO2_5,abundance_ratio_CO2_5_err,abundance_ratio_CO2_5_vary,abundance_ratio_CO2_6,abundance_ratio_CO2_6_err,abundance_ratio_CO2_6_vary,abundance_ratio_CO2_7,abundance_ratio_CO2_7_err,abundance_ratio_CO2_7_vary,baseline_a,baseline_a_err,baseline_a_vary
1,1,0.1,0.0,False,296.0,0.0,False,0.0,0.0,False,0.0004,2.4891744007383706e-10,True,1.000336343014957,1.0030932546187342e-12,False,0.9699991717759682,7.576330994032822e-10,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,0.0,0.0,False
2,1,0.25,0.0,False,296.0,0.0,False,0.0,0.0,False,0.0004,0.0,True,1.000336343014957,0.0,False,0.9699991717759682,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,0.0,0.0,False
3,1,0.5,0.0,False,296.0,0.0,False,0.0,0.0,False,0.0004,0.0,True,1.000336343014957,0.0,False,0.9699991717759682,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,0.0,0.0,False
4,1,1.0,0.0,False,296.0,0.0,False,0.0,0.0,False,0.0004,0.0,True,1.000336343014957,0.0,False,0.9699991717759682,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,1.0,0.0,False,0.0,0.0,False
