global_iso_id,molec_id,local_iso_id,nu,sw,a,elower,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self,n_y_self
24,4,4,2170.027137,1.327E-27,219,2791.7351,0.119,0.75,-0.001055,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.031397,1.328E-27,219.2,2791.7267,0.119,0.75,-0.001055,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.044474,6.010E-28,100.1,3321.3302,0.088,0.75,-0.002308,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.044474,6.010E-28,100.1,3321.3302,0.088,0.75,-0.002308,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.066603,2.119E-26,93.32,2341.4339,0.108,0.75,-0.001357,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.066997,2.119E-26,93.32,2341.4347,0.108,0.75,-0.001357,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.07334,5.645E-24,107.7,1369.3652,0.095,0.75,-0.001876,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.073664,1.322E-29,0.685,3022.9219,0.093,0.75,-0.001962,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.0748,5.645E-24,107.7,1369.3576,0.095,0.75,-0.001876,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.088166,8.747E-28,99.42,3229.5954,0.089,0.75,-0.002222,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.088574,8.746E-28,99.41,3229.5971,0.089,0.75,-0.002222,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.09352,3.484E-29,0.002756,1787.0633,0.084,0.75,-0.00261,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.095623,1.992E-28,0.1881,2257.1222,0.088,0.75,-0.002308,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.115382,7.334E-28,1.139,2404.6319,0.083,0.75,-0.002654,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.120298,7.334E-28,1.139,2404.6295,0.083,0.75,-0.002654,0,0,0,0,0,0,1,0,0,0
21,4,1,2170.13412,9.999E-25,48.26,2477.3099,0.12,0.7,-0.001322,0,0.1275,0.7,0,0,0,1,0,0.04,0
21,4,1,2170.13417,9.999E-25,48.26,2477.3098,0.12,0.7,-0.001322,0,0.1275,0.7,0,0,0,1,0,0.04,0
24,4,4,2170.143667,2.664E-25,107.8,1751.5926,0.112,0.75,-0.001228,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.14839,3.952E-28,96.6,3406.4031,0.087,0.75,-0.002351,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.162632,2.665E-25,107.8,1751.5205,0.112,0.75,-0.001228,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.18017,3.806E-24,101.7,1428.9321,0.096,0.75,-0.001833,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.181758,1.056E-27,99.15,3183.4094,0.089,0.75,-0.002178,0,0,0,0,0,0,1,0,0,0
25,4,5,2170.18678,1.085E-23,111.3,1077.3243,0.079,0.71,-0.002962,0,0.110126582,0.71,0,0,0,1,0,0.010183,0
24,4,4,2170.187641,3.641E-29,0.1101,2551.6308,0.083,0.75,-0.00274,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.203263,3.923E-28,96.59,3407.8829,0.087,0.75,-0.002351,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.24727,3.169E-23,104.8,1112.0385,0.085,0.75,-0.002481,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.258292,1.048E-27,99.13,3184.9021,0.089,0.75,-0.002179,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.260219,1.511E-29,0.7449,3004.0537,0.094,0.75,-0.001919,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.286843,2.150E-28,0.1627,2229.6072,0.086,0.75,-0.002438,0,0,0,0,0,0,1,0,0,0
21,4,1,2170.30125,9.677E-23,104,1956.4039,0.105,0.69,-0.001882,0,0.14,0.69,0,0,0,1,0,0.000191,0
24,4,4,2170.305457,7.498E-26,211,2365.7817,0.098,0.75,-0.001746,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.31231,3.185E-23,104.9,1111.0927,0.085,0.75,-0.002481,0,0,0,0,0,0,1,0,0,0
22,4,2,2170.31483,8.870E-24,92.68,1423.9769,0.093,0.69,-0.002625,0,0.125806452,0.69,0,0,0,1,0,-0.009698,0
24,4,4,2170.316924,3.169E-28,196.4,3452.1038,0.101,0.75,-0.001617,0,0,0,0,0,0,1,0,0,0
24,4,4,2170.317379,3.169E-28,196.4,3452.1056,0.101,0.75,-0.001617,0,0,0,0,0,0,1,0,0,0
22,4,2,2170.32201,8.991E-24,93.96,1424.0116,0.093,0.69,-0.002625,0,0.125806452,0.69,0,0,0,1,0,-0.009698,0
