Wavenumber (cm-1),Tranmission,Pressure (Torr),Temperature (C)
2179.136478,0.913648975,10.12,24.573
2179.141126,1.001061789,10.12,24.573
2179.145778,0.965313053,10.12,24.573
2179.150434,0.941699238,10.12,24.573
2179.155094,0.972240749,10.12,24.573
2179.159757,0.981672333,10.12,24.573
2179.164425,1.003778249,10.12,24.573
2179.169097,0.964153001,10.12,24.573
2179.173772,0.964434842,10.12,24.573
2179.178452,0.943532949,10.12,24.573
2179.183135,0.970992626,10.12,24.573
2179.187822,0.95485983,10.12,24.573
2179.192514,0.962120192,10.12,24.573
2179.197209,0.926023351,10.12,24.573
2179.201908,0.935626405,10.12,24.573
2179.206611,0.918374447,10.12,24.573
2179.211318,0.92268865,10.12,24.573
2179.216029,0.900803673,10.12,24.573
2179.220744,0.831041404,10.12,24.573
2179.225462,0.765961946,10.12,24.573
2179.230185,0.724236543,10.12,24.573
2179.234912,0.719535278,10.12,24.573
2179.239642,0.673642032,10.12,24.573
2179.244376,0.668231498,10.12,24.573
2179.249115,0.682351266,10.12,24.573
2179.253857,0.614687431,10.12,24.573
2179.258603,0.551472007,10.12,24.573
2179.263353,0.473190503,10.12,24.573
2179.268107,0.429245979,10.12,24.573
2179.272865,0.429135728,10.12,24.573
2179.277627,0.467455832,10.12,24.573
2179.282393,0.555494993,10.12,24.573
2179.287163,0.599613425,10.12,24.573
2179.291937,0.681445704,10.12,24.573
2179.296714,0.744893908,10.12,24.573
2179.301496,0.750237105,10.12,24.573
2179.306281,0.767330639,10.12,24.573
2179.311071,0.767279124,10.12,24.573
2179.315864,0.748048701,10.12,24.573
2179.320661,0.707337399,10.12,24.573
2179.325462,0.633666076,10.12,24.573
2179.330268,0.583802697,10.12,24.573
2179.335077,0.575806178,10.12,24.573
2179.33989,0.561997076,10.12,24.573
2179.344706,0.605239015,10.12,24.573
2179.349527,0.657074055,10.12,24.573
2179.354352,0.740690847,10.12,24.573
2179.359181,0.789586602,10.12,24.573
2179.364013,0.828123846,10.12,24.573
2179.36885,0.879512585,10.12,24.573
2179.37369,0.911030921,10.12,24.573
2179.378535,0.920277323,10.12,24.573
2179.383383,0.922502768,10.12,24.573
2179.388235,0.949555095,10.12,24.573
2179.393091,0.948826196,10.12,24.573
2179.397951,0.956743384,10.12,24.573
2179.402815,0.956659999,10.12,24.573
2179.407683,0.962350883,10.12,24.573
2179.412555,0.962520311,10.12,24.573
2179.417431,0.964090833,10.12,24.573
2179.42231,0.977290878,10.12,24.573
2179.427194,0.971060037,10.12,24.573
2179.432082,0.970105413,10.12,24.573
2179.436973,0.969701858,10.12,24.573
2179.441869,0.97782618,10.12,24.573
2179.446768,0.976506363,10.12,24.573
2179.451671,0.974465999,10.12,24.573
2179.456578,0.995280977,10.12,24.573
2179.461489,0.983248742,10.12,24.573
2179.466404,0.998049117,10.12,24.573
2179.471323,0.972973365,10.12,24.573
2179.476246,0.97933499,10.12,24.573
2179.481173,0.969229869,10.12,24.573
2179.486104,0.968818543,10.12,24.573
2179.491038,0.981608022,10.12,24.573
2179.495977,0.984423976,10.12,24.573
2179.50092,0.974146137,10.12,24.573
2179.505866,0.986957823,10.12,24.573
2179.510816,0.977872923,10.12,24.573
2179.515771,0.967861715,10.12,24.573
2179.520729,0.985024618,10.12,24.573
2179.525691,0.983409869,10.12,24.573
2179.530657,0.96797056,10.12,24.573
2179.535627,0.973210511,10.12,24.573
2179.540601,0.969262779,10.12,24.573
2179.545579,0.980309455,10.12,24.573
2179.550561,0.965592012,10.12,24.573
2179.555546,0.986707855,10.12,24.573
2179.560536,0.976378122,10.12,24.573
2179.56553,0.974663664,10.12,24.573
2179.570527,0.994069238,10.12,24.573
2179.575528,0.980344443,10.12,24.573
2179.580534,0.992830013,10.12,24.573
2179.585543,0.993730766,10.12,24.573
2179.590556,0.980696848,10.12,24.573
2179.595573,0.993317916,10.12,24.573
2179.600594,0.992713603,10.12,24.573
2179.605619,0.989117425,10.12,24.573
2179.610648,0.978398168,10.12,24.573
2179.615681,0.990255223,10.12,24.573
2179.620718,0.974598623,10.12,24.573
2179.625758,0.978557525,10.12,24.573
2179.630803,0.983565674,10.12,24.573
2179.635852,0.980892075,10.12,24.573
2179.640904,0.989577522,10.12,24.573
2179.64596,0.976478393,10.12,24.573
2179.651021,0.982804734,10.12,24.573
2179.656085,0.977313014,10.12,24.573
2179.661153,0.976409943,10.12,24.573
2179.666225,0.966684601,10.12,24.573
2179.671301,0.947552564,10.12,24.573
2179.676381,0.942837649,10.12,24.573
2179.681465,0.907829137,10.12,24.573
2179.686553,0.884340576,10.12,24.573
2179.691644,0.870148498,10.12,24.573
2179.69674,0.876936777,10.12,24.573
2179.70184,0.882857011,10.12,24.573
2179.706943,0.918212179,10.12,24.573
2179.71205,0.946677247,10.12,24.573
2179.717162,0.96013879,10.12,24.573
2179.722277,0.970962677,10.12,24.573
2179.727396,0.969149281,10.12,24.573
2179.732519,0.982256433,10.12,24.573
2179.737646,0.984446791,10.12,24.573
2179.742777,0.983099882,10.12,24.573
2179.747912,0.975278889,10.12,24.573
2179.753051,0.984102274,10.12,24.573
2179.758194,0.997301892,10.12,24.573
2179.763341,0.987935469,10.12,24.573
2179.768491,0.993424742,10.12,24.573
2179.773646,0.996095828,10.12,24.573
2179.778804,0.985233863,10.12,24.573
2179.783966,0.989684795,10.12,24.573
2179.789133,0.984559367,10.12,24.573
2179.794303,0.983390246,10.12,24.573
2179.799477,0.983008346,10.12,24.573
2179.804655,0.963262962,10.12,24.573
2179.809837,0.977010543,10.12,24.573
2179.815023,0.956157796,10.12,24.573
2179.820213,0.944577194,10.12,24.573
2179.825407,0.941244346,10.12,24.573
2179.830605,0.926336767,10.12,24.573
2179.835806,0.929474175,10.12,24.573
2179.841012,0.933511158,10.12,24.573
2179.846221,0.942324155,10.12,24.573
2179.851435,0.953747421,10.12,24.573
2179.856652,0.977718773,10.12,24.573
2179.861873,0.97447328,10.12,24.573
2179.867098,0.970830314,10.12,24.573
2179.872328,0.980525868,10.12,24.573
2179.877561,0.993752541,10.12,24.573
2179.882798,0.970928166,10.12,24.573
2179.888038,0.993092178,10.12,24.573
2179.893283,0.988708413,10.12,24.573
2179.898532,0.993831196,10.12,24.573
2179.903785,0.988078069,10.12,24.573
2179.909041,0.991142294,10.12,24.573
2179.914302,0.972678229,10.12,24.573
2179.919566,0.978201049,10.12,24.573
2179.924835,0.971246929,10.12,24.573
2179.930107,0.987238202,10.12,24.573
2179.935383,0.981742195,10.12,24.573
2179.940663,0.986008572,10.12,24.573
2179.945947,0.976841653,10.12,24.573
2179.951235,0.991169049,10.12,24.573
2179.956527,0.975547306,10.12,24.573
2179.961823,0.982505486,10.12,24.573
2179.967123,0.989621768,10.12,24.573
2179.972427,0.98962942,10.12,24.573
2179.977734,0.98154208,10.12,24.573
2179.983046,0.978081213,10.12,24.573
2179.988361,0.996377945,10.12,24.573
2179.993681,0.992052811,10.12,24.573
2179.999004,0.97449271,10.12,24.573
2180.004331,0.988619527,10.12,24.573
2180.009663,1.003394687,10.12,24.573
2180.014998,0.988261861,10.12,24.573
2180.020337,0.999720836,10.12,24.573
2180.02568,0.984058236,10.12,24.573
2180.031027,0.984094389,10.12,24.573
2180.036378,0.980217966,10.12,24.573
2180.041732,0.970685417,10.12,24.573
2180.047091,0.971866116,10.12,24.573
2180.052454,0.99021548,10.12,24.573
2180.05782,0.976570403,10.12,24.573
2180.063191,0.964704979,10.12,24.573
2180.068565,0.976180351,10.12,24.573
2180.073943,0.966651215,10.12,24.573
2180.079325,0.973699289,10.12,24.573
2180.084712,0.987463786,10.12,24.573
2180.090102,0.965353086,10.12,24.573
2180.095496,0.966566757,10.12,24.573
2180.100894,0.957521532,10.12,24.573
2180.106295,0.950422903,10.12,24.573
2180.111701,0.946523822,10.12,24.573
2180.117111,0.929098957,10.12,24.573
2180.122525,0.944063037,10.12,24.573
2180.127942,0.924870669,10.12,24.573
2180.133364,0.927661915,10.12,24.573
2180.138789,0.935337876,10.12,24.573
2180.144218,0.940629509,10.12,24.573
2180.149652,0.953883403,10.12,24.573
2180.155089,0.941319476,10.12,24.573
2180.16053,0.937439821,10.12,24.573
2180.165975,0.926838017,10.12,24.573
2180.171424,0.893433734,10.12,24.573
2180.176877,0.858213017,10.12,24.573
2180.182334,0.820862002,10.12,24.573
2180.187795,0.803382093,10.12,24.573
2180.193259,0.81391656,10.12,24.573
2180.198728,0.828614372,10.12,24.573
2180.2042,0.85808413,10.12,24.573
2180.209677,0.895678686,10.12,24.573
2180.215157,0.924422317,10.12,24.573
2180.220642,0.926957743,10.12,24.573
2180.22613,0.941081481,10.12,24.573
2180.231622,0.944431351,10.12,24.573
2180.237118,0.937187604,10.12,24.573
2180.242618,0.947415828,10.12,24.573
2180.248122,0.946755442,10.12,24.573
2180.25363,0.951982279,10.12,24.573
2180.259142,0.946024429,10.12,24.573
2180.264657,0.938986136,10.12,24.573
2180.270177,0.937056794,10.12,24.573
2180.274932,0.958309378,10.12,24.573
2180.279575,0.937427721,10.12,24.573
2180.284223,0.922673335,10.12,24.573
2180.288875,0.917696556,10.12,24.573
2180.29353,0.892627878,10.12,24.573
2180.29819,0.85186542,10.12,24.573
2180.302853,0.805675674,10.12,24.573
2180.307521,0.725117742,10.12,24.573
2180.312192,0.64219404,10.12,24.573
2180.316867,0.594392094,10.12,24.573
2180.321547,0.594963587,10.12,24.573
2180.32623,0.642226259,10.12,24.573
2180.330917,0.694077408,10.12,24.573
2180.335608,0.748028412,10.12,24.573
2180.340303,0.788540833,10.12,24.573
2180.345003,0.816959187,10.12,24.573
2180.349706,0.832023311,10.12,24.573
2180.354413,0.828307154,10.12,24.573
2180.359123,0.811426439,10.12,24.573
2180.363839,0.749906316,10.12,24.573
2180.368557,0.682613739,10.12,24.573
2180.37328,0.621307953,10.12,24.573
2180.378007,0.54076767,10.12,24.573
2180.382738,0.482659871,10.12,24.573
2180.387472,0.459391514,10.12,24.573
2180.392211,0.457343203,10.12,24.573
2180.396954,0.43503808,10.12,24.573
2180.4017,0.410639234,10.12,24.573
2180.406451,0.417944853,10.12,24.573
2180.411205,0.450900176,10.12,24.573
2180.415964,0.522157983,10.12,24.573
2180.420726,0.600121391,10.12,24.573
2180.425492,0.665609447,10.12,24.573
2180.430263,0.739096072,10.12,24.573
2180.435037,0.806624867,10.12,24.573
2180.439815,0.849138947,10.12,24.573
2180.444597,0.866971367,10.12,24.573
2180.449383,0.891159241,10.12,24.573
2180.454173,0.895684874,10.12,24.573
2180.458967,0.906803486,10.12,24.573
2180.463765,0.934972748,10.12,24.573
2180.468567,0.94326515,10.12,24.573
2180.473373,0.937419187,10.12,24.573
2180.478183,0.948860923,10.12,24.573
2180.482997,0.946283126,10.12,24.573
2180.487815,0.933956958,10.12,24.573
2180.492636,0.938103608,10.12,24.573
2180.497462,0.962878291,10.12,24.573
2180.502292,0.959128174,10.12,24.573
2180.507125,0.96106312,10.12,24.573
2180.511963,0.965419118,10.12,24.573
2180.516804,0.961382417,10.12,24.573
2180.52165,0.974919438,10.12,24.573
2180.526499,0.979984221,10.12,24.573
2180.531353,0.96908794,10.12,24.573
2180.53621,0.977774137,10.12,24.573
2180.541071,0.97366164,10.12,24.573
2180.545936,0.967692357,10.12,24.573
2180.550806,0.971140233,10.12,24.573
2180.555679,0.976478971,10.12,24.573
2180.560556,0.97741857,10.12,24.573
2180.565437,0.974704282,10.12,24.573
2180.570322,0.986801211,10.12,24.573
2180.575211,0.98343328,10.12,24.573
2180.580104,0.96990187,10.12,24.573
2180.585001,0.969760263,10.12,24.573
2180.589902,0.965375139,10.12,24.573
2180.594806,0.977803162,10.12,24.573
2180.599715,0.978310182,10.12,24.573
2180.604628,0.976375121,10.12,24.573
2180.609545,0.978503457,10.12,24.573
2180.614465,0.97478972,10.12,24.573
2180.61939,0.968153766,10.12,24.573
2180.624318,0.970459684,10.12,24.573
2180.629251,0.946814293,10.12,24.573
2180.634187,0.920859971,10.12,24.573
2180.639128,0.908393977,10.12,24.573
2180.644072,0.885063811,10.12,24.573
2180.64902,0.875670883,10.12,24.573
2180.653973,0.890759032,10.12,24.573
2180.658929,0.904310244,10.12,24.573
2180.663889,0.925631888,10.12,24.573
2180.668853,0.945243588,10.12,24.573
2180.673821,0.944036871,10.12,24.573
2180.678793,0.953143343,10.12,24.573
2180.683769,0.973796745,10.12,24.573
2180.688749,0.974028237,10.12,24.573
2180.693733,0.973979813,10.12,24.573
2180.698721,0.975566578,10.12,24.573
2180.703713,0.972720522,10.12,24.573
2180.708709,0.975529992,10.12,24.573
2180.713709,0.979649167,10.12,24.573
2180.718712,0.975890737,10.12,24.573
2180.72372,0.97479351,10.12,24.573
2180.728732,0.965391949,10.12,24.573
2180.733747,0.965670772,10.12,24.573
2180.738767,0.977839221,10.12,24.573
2180.74379,0.973195306,10.12,24.573
2180.748818,0.981984539,10.12,24.573
2180.753849,0.960954733,10.12,24.573
2180.758884,0.95546896,10.12,24.573
2180.763924,0.958010685,10.12,24.573
2180.768967,0.940005296,10.12,24.573
2180.774014,0.940978034,10.12,24.573
2180.779065,0.920682051,10.12,24.573
2180.78412,0.928041653,10.12,24.573
2180.78918,0.932181841,10.12,24.573
2180.794243,0.949702974,10.12,24.573
2180.79931,0.968705339,10.12,24.573
2180.804381,0.975173644,10.12,24.573
2180.809455,0.973445161,10.12,24.573
2180.814534,0.988848944,10.12,24.573
2180.819617,0.986320277,10.12,24.573
2180.824704,0.978413338,10.12,24.573
2180.829795,0.977887748,10.12,24.573
2180.834889,0.974498463,10.12,24.573
2180.839988,0.990286127,10.12,24.573
2180.845091,0.976526717,10.12,24.573
2180.850197,0.979785488,10.12,24.573
2180.855308,0.984468165,10.12,24.573
2180.860422,0.987348834,10.12,24.573
2180.865541,0.975460109,10.12,24.573
2180.870663,0.969812108,10.12,24.573
2180.875789,0.987835702,10.12,24.573
2180.88092,0.992879584,10.12,24.573
