trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,n_y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self,n_y_self
6794152,2,1,6299.893174,6.1300E-25,0.006835,994.1913,99,101,994.1913,       3 0 0 12,       0 0 0 01,               ,     P 50e     ,0.066870297,0.73,-0.007616,0,0,0.73,0,0,0,1,0,0,0,0.074,0.73,0,0,0,0.73,0,0,0,1,0,0,0
6794265,2,1,6302.142664,8.6300E-25,0.006901,917.0573,95,97,917.0573,       3 0 0 12,       0 0 0 01,               ,     P 48e     ,0.065493792,0.74,-0.00757,0,0,0.74,0,0,0,1,0,0,0,0.075,0.74,0,0,0,0.74,0,0,0,1,0,0,0
6794380,2,1,6304.366815,1.2000E-24,0.006963,843.0301,91,93,843.0301,       3 0 0 12,       0 0 0 01,               ,     P 46e     ,0.065522136,0.75,-0.00754,0,0.000109946,0.75,0,0,0.011136062,1,0,0,0,0.077,0.75,0,0,0,0.75,0,0,0,1,0,0,0
6794484,2,1,6306.565231,1.6300E-24,0.007025,772.1107,87,89,772.1107,       3 0 0 12,       0 0 0 01,               ,     P 44e     ,0.065138014,0.75,-0.007489,0,0.0012195,0.75,0,0,0.008773869,1,0,0,0,0.078,0.75,0,0,0,0.75,0,0,0,1,0,0,0
6794617,2,1,6308.737537,2.1700E-24,0.007087,704.3005,83,85,704.3005,       3 0 0 12,       0 0 0 01,               ,     P 42e     ,0.066160928,0.76,-0.009801531,0,0.000174159,0.76,0,0,0.011683829,1,0,0,0,0.08,0.76,0,0,0,0.76,0,0,0,1,0,0,0
6794714,2,1,6310.883377,2.8600E-24,0.007144,639.6004,79,81,639.6004,       3 0 0 12,       0 0 0 01,               ,     P 40e     ,0.068324069,0.88,-0.006387894,0,0.08884626,0.88,0,0,0.002778689,1,0,0,0,0.081,0.88,0,0,0,0.88,0,0,0,1,0,0,0
6794820,2,1,6313.002417,3.6800E-24,0.007202,578.0116,75,77,578.0116,       3 0 0 12,       0 0 0 01,               ,     P 38e     ,0.069405661,0.8,-0.006185104,0,0.105570862,0.8,0,0,5.41E-06,1,0,0,0,0.082,0.8,0,0,0,0.8,0,0,0,1,0,0,0
6794931,2,1,6315.094339,4.6700E-24,0.007257,519.535,71,73,519.535,       3 0 0 12,       0 0 0 01,               ,     P 36e     ,0.067677734,0.81,-0.006590684,0,0.030390185,0.81,0,0,0.009517157,1,0,0,0,0.084,0.81,0,0,0,0.81,0,0,0,1,0,0,0
6795046,2,1,6317.158845,5.8000E-24,0.007312,464.1717,67,69,464.1717,       3 0 0 12,       0 0 0 01,               ,     P 34e     ,0.068857763,0.75,-0.006996265,0,0.078309491,0.75,0,0,0.002670806,1,0,0,0,0.086,0.75,0,0,0,0.75,0,0,0,1,0,0,0
6795159,2,1,6319.19565,7.0800E-24,0.007364,411.9225,63,65,411.9225,       3 0 0 12,       0 0 0 01,               ,     P 32e     ,0.069407106,0.72,-0.006590684,0,0.088385581,0.72,0,0,0.000684057,1,0,0,0,0.088,0.72,0,0,0,0.72,0,0,0,1,0,0,0
