Wavenumber (cm-1),Transmission,Absorption,Pressure (Torr),Temperature
6290.003744,0.999832749,5.14E-02,742.08,22.15
6290.007511,1.000272989,-8.39E-02,742.08,22.15
6290.011277,1.000361204,-1.11E-01,742.08,22.15
6290.015044,0.99993068,2.13E-02,742.08,22.15
6290.01881,0.999800205,6.14E-02,742.08,22.15
6290.022577,1.000064015,-1.97E-02,742.08,22.15
6290.026343,1.000124693,-3.83E-02,742.08,22.15
6290.03011,1.000068307,-2.10E-02,742.08,22.15
6290.033876,1.000224352,-6.89E-02,742.08,22.15
6290.037643,1.000178814,-5.49E-02,742.08,22.15
6290.041409,0.999701679,9.17E-02,742.08,22.15
6290.045176,0.999450505,1.69E-01,742.08,22.15
6290.048942,0.999680698,9.81E-02,742.08,22.15
6290.052709,0.999721706,8.55E-02,742.08,22.15
6290.056476,0.999405146,1.83E-01,742.08,22.15
6290.060242,0.999400854,1.84E-01,742.08,22.15
6290.064009,0.999843121,4.82E-02,742.08,22.15
6290.067775,1.000113487,-3.49E-02,742.08,22.15
6290.071542,0.999935567,1.98E-02,742.08,22.15
6290.075308,0.999545872,1.40E-01,742.08,22.15
6290.079075,0.999177635,2.53E-01,742.08,22.15
6290.082841,0.999094784,2.78E-01,742.08,22.15
6290.086608,0.999466837,1.64E-01,742.08,22.15
6290.090374,0.999908269,2.82E-02,742.08,22.15
6290.094141,0.999924362,2.32E-02,742.08,22.15
6290.097908,0.999728143,8.36E-02,742.08,22.15
6290.101674,0.999820948,5.50E-02,742.08,22.15
6290.105441,1.000132322,-4.07E-02,742.08,22.15
6290.109207,1.000237703,-7.30E-02,742.08,22.15
6290.112974,0.999986768,4.07E-03,742.08,22.15
6290.11674,0.999557018,1.36E-01,742.08,22.15
6290.120507,0.999289453,2.18E-01,742.08,22.15
6290.124273,0.999494493,1.55E-01,742.08,22.15
6290.12804,1.000074267,-2.28E-02,742.08,22.15
6290.131806,1.000585556,-1.80E-01,742.08,22.15
6290.135573,1.000773549,-2.38E-01,742.08,22.15
6290.139339,1.000638366,-1.96E-01,742.08,22.15
6290.143106,1.000242829,-7.46E-02,742.08,22.15
6290.146873,0.999926865,2.25E-02,742.08,22.15
6290.150639,1.00008893,-2.73E-02,742.08,22.15
6290.154406,1.000421166,-1.29E-01,742.08,22.15
6290.158172,1.000325561,-1.00E-01,742.08,22.15
6290.161939,1.000057578,-1.77E-02,742.08,22.15
6290.165705,1.000118136,-3.63E-02,742.08,22.15
6290.169472,0.999997616,7.33E-04,742.08,22.15
6290.173238,0.9992342,2.35E-01,742.08,22.15
6290.177005,0.998815119,3.64E-01,742.08,22.15
6290.180771,0.999587178,1.27E-01,742.08,22.15
6290.184538,1.000500441,-1.54E-01,742.08,22.15
6290.188305,1.000332832,-1.02E-01,742.08,22.15
6290.192071,0.999737561,8.07E-02,742.08,22.15
6290.195838,0.999823809,5.42E-02,742.08,22.15
6290.199604,1.000257969,-7.93E-02,742.08,22.15
6290.203371,1.000182986,-5.62E-02,742.08,22.15
6290.207137,0.999673069,1.00E-01,742.08,22.15
6290.210904,0.999330461,2.06E-01,742.08,22.15
6290.21467,0.99947542,1.61E-01,742.08,22.15
6290.218437,1.000026822,-8.24E-03,742.08,22.15
6290.222203,1.000529885,-1.63E-01,742.08,22.15
6290.22597,1.00053823,-1.65E-01,742.08,22.15
6290.229736,1.000218153,-6.70E-02,742.08,22.15
6290.233503,0.999996424,1.10E-03,742.08,22.15
6290.23727,0.999823809,5.42E-02,742.08,22.15
6290.241036,0.999546826,1.39E-01,742.08,22.15
6290.244803,0.999407411,1.82E-01,742.08,22.15
6290.248569,0.999511302,1.50E-01,742.08,22.15
6290.252336,0.999672115,1.01E-01,742.08,22.15
6290.256102,0.999962807,1.14E-02,742.08,22.15
6290.259869,1.000352383,-1.08E-01,742.08,22.15
6290.263635,1.000282288,-8.67E-02,742.08,22.15
6290.267402,0.999760032,7.38E-02,742.08,22.15
6290.271168,0.999638319,1.11E-01,742.08,22.15
6290.274935,0.999844074,4.79E-02,742.08,22.15
6290.278702,0.999418974,1.79E-01,742.08,22.15
6290.282468,0.998849094,3.54E-01,742.08,22.15
6290.286235,0.999410152,1.81E-01,742.08,22.15
6290.290001,1.000238299,-7.32E-02,742.08,22.15
6290.293768,0.999687374,9.61E-02,742.08,22.15
6290.297534,0.998847187,3.54E-01,742.08,22.15
6290.301301,0.999549031,1.39E-01,742.08,22.15
6290.305067,1.000462174,-1.42E-01,742.08,22.15
6290.308834,0.999601364,1.23E-01,742.08,22.15
6290.3126,0.998411357,4.89E-01,742.08,22.15
6290.316367,0.998940408,3.26E-01,742.08,22.15
6290.320133,0.999898374,3.12E-02,742.08,22.15
6290.3239,0.999503553,1.53E-01,742.08,22.15
6290.327667,0.998903513,3.37E-01,742.08,22.15
6290.331433,0.99941957,1.78E-01,742.08,22.15
6290.3352,0.999980211,6.08E-03,742.08,22.15
6290.338966,0.999684155,9.71E-02,742.08,22.15
6290.342733,0.999436855,1.73E-01,742.08,22.15
6290.346499,0.999711692,8.86E-02,742.08,22.15
6290.350266,0.999884546,3.55E-02,742.08,22.15
6290.354032,0.999955535,1.37E-02,742.08,22.15
6290.357799,1.000231981,-7.13E-02,742.08,22.15
6290.361565,1.000147939,-4.55E-02,742.08,22.15
6290.365332,0.999511898,1.50E-01,742.08,22.15
6290.369099,0.999269426,2.25E-01,742.08,22.15
6290.372865,0.999700248,9.21E-02,742.08,22.15
6290.376632,0.999894559,3.24E-02,742.08,22.15
6290.380398,0.999534309,1.43E-01,742.08,22.15
6290.384165,0.999149919,2.61E-01,742.08,22.15
6290.387931,0.99893266,3.28E-01,742.08,22.15
6290.391698,0.999022842,3.00E-01,742.08,22.15
6290.395464,0.999711454,8.87E-02,742.08,22.15
6290.399231,1.000303745,-9.33E-02,742.08,22.15
6290.402997,0.999834895,5.07E-02,742.08,22.15
6290.406764,0.999144495,2.63E-01,742.08,22.15
6290.41053,0.999520719,1.47E-01,742.08,22.15
6290.414297,1.000010133,-3.11E-03,742.08,22.15
6290.418064,0.999257028,2.28E-01,742.08,22.15
6290.42183,0.998470426,4.70E-01,742.08,22.15
6290.425597,0.999152422,2.61E-01,742.08,22.15
6290.429363,1.000082135,-2.52E-02,742.08,22.15
6290.43313,0.999741852,7.93E-02,742.08,22.15
6290.436896,0.999127209,2.68E-01,742.08,22.15
