Spectrum Number,Segment Number,Baseline Order,Pressure,Temperature,x_shift,molefraction_Hg,baseline_a
1,1,0,0.131578947368421,296.0,0.0,1e-09,0.0
2,1,0,0.6578947368421053,296.0,0.0,1e-09,0.0
