Spectrum Number,Baseline Order,Pressure,Segment Number,Temperature,baseline_a,molefraction_Hg,x_shift
1.0,0.0,0.13157894736842105,0.0,298.15,0.0,1e-09,0.0
2.0,0.0,0.6578947368421054,0.0,298.15,0.0,1e-09,0.0
