Spectrum Number,Spectrum Name,Wavenumber (cm-1),Pressure (atm),Temperature (K),alpha10^-6 cm^-1,Model10^-6 cm^-1,Residuals10^-6 cm^-1,QF,Background,CIA (cm-1)
1,Air_1_torr,6326.0,0.001,298.0,-7.23722353493167e-08,1.868786234466115e-08,-9.106009769397786e-08,48292.0,0.0,0.0
1,Air_1_torr,6326.005,0.001,298.0,1.2539039741293888e-07,8.83139614096664e-09,1.1655900127197224e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.01,0.001,298.0,9.809952721196681e-08,8.217091535370509e-09,8.98824356765963e-08,48292.0,0.0,0.0
1,Air_1_torr,6326.015,0.001,298.0,1.6658903409602386e-07,8.077176072462507e-09,1.5851185802356136e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.02,0.001,298.0,-3.434626860640384e-07,8.024989682503925e-09,-3.5148767574654235e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.025000000001,0.001,298.0,-1.4465301617001317e-07,8.01685438173632e-09,-1.526698705517495e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.030000000001,0.001,298.0,3.6142827431525914e-08,8.036571203084497e-09,2.8106256228441417e-08,48292.0,0.0,0.0
1,Air_1_torr,6326.035000000001,0.001,298.0,-1.8314249306084285e-07,8.076863369780974e-09,-1.9121935643062383e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.040000000001,0.001,298.0,3.618778318189981e-07,8.134656980280186e-09,3.537431748387179e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.045000000001,0.001,298.0,1.9813217531756297e-07,8.21047591413296e-09,1.8992169940343e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.050000000001,0.001,298.0,-3.4107769696858645e-07,8.342194920506966e-09,-3.494198918890934e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.055000000001,0.001,298.0,5.7767727338881245e-09,9.237023956698466e-09,-3.4602512228103416e-09,48292.0,0.0,0.0
1,Air_1_torr,6326.060000000001,0.001,298.0,-9.975634400785325e-08,1.5481100142084202e-08,-1.1523744414993746e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.065000000001,0.001,298.0,-7.2394887642377e-08,3.0840984235465365e-08,-1.0323587187784236e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.0700000000015,0.001,298.0,3.2444489912919735e-07,3.521958243467972e-08,2.8922531669451763e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.075000000002,0.001,298.0,1.2180831906111858e-07,2.0960665101274846e-08,1.0084765395984374e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.080000000002,0.001,298.0,4.1091955813496634e-08,1.2233437134817054e-08,2.885851867867958e-08,48292.0,0.0,0.0
1,Air_1_torr,6326.085000000002,0.001,298.0,-4.035371188296663e-07,1.0998500701192394e-08,-4.145356195308587e-07,48292.0,0.0,0.0
1,Air_1_torr,6326.090000000002,0.001,298.0,-4.9001307234071075e-08,1.0316336263492917e-08,-5.931764349756399e-08,48292.0,0.0,0.0
1,Air_1_torr,6326.095000000002,0.001,298.0,-2.813101793995807e-08,9.941456266449569e-09,-3.807247420640764e-08,48292.0,0.0,0.0
