Segment Number,Wavenumber (cm-1),Wavenumber + Noise (cm-1),alpha10^-6 cm^-1,alpha + Noise10^-6 cm^-1,CIA (cm-1),Noise (%),Pressure (atm),Temperature (K)
0,6326.0,6326.0,14.02326796671601,14.059533394022932,0.0,0.0034020736856086153,0.75,298.0
0,6326.005,6326.005,14.055803145827502,14.017131122808863,0.0,-0.0036278373550516613,0.75,298.0
0,6326.01,6326.01,14.09590060324103,14.144098491788265,0.0,0.004521462464531391,0.75,298.0
0,6326.015,6326.015,14.144053618738356,14.146280237159077,0.0,0.00020887993054423008,0.75,298.0
0,6326.02,6326.02,14.200797194306483,14.193433542522298,0.0,-0.0006907870063943936,0.75,298.0
0,6326.025000000001,6326.025000000001,14.266700211365528,14.256835811147601,0.0,-0.0009253831789075392,0.75,298.0
0,6326.030000000001,6326.030000000001,14.342363765867074,14.333560264911117,0.0,-0.0008258598110540324,0.75,298.0
0,6326.035000000001,6326.035000000001,14.428424931274673,14.39438576088048,0.0,-0.0031932276682681304,0.75,298.0
0,6326.040000000001,6326.040000000001,14.525564705669419,14.506828787082553,0.0,-0.0017576237296373115,0.75,298.0
0,6326.045000000001,6326.045000000001,14.634518899579124,14.620785207536462,0.0,-0.0012883629333569943,0.75,298.0
0,6326.050000000001,6326.050000000001,14.756090986491346,14.747878524589972,0.0,-0.0007704142099932141,0.75,298.0
0,6326.055000000001,6326.055000000001,14.89116627335148,14.839209731009037,0.0,-0.004874063222872771,0.75,298.0
0,6326.060000000001,6326.060000000001,15.040727037708148,15.050440364900899,0.0,0.0009112109603036741,0.75,298.0
0,6326.065000000001,6326.065000000001,15.205868478843044,15.22795259967309,0.0,0.0020717198699974773,0.75,298.0
0,6326.0700000000015,6326.0700000000015,15.38781544531588,15.399916127532718,0.0,0.0011351696534389977,0.75,298.0
0,6326.075000000002,6326.075000000002,15.587939948109593,15.571552661403944,0.0,-0.0015372976694299609,0.75,298.0
0,6326.080000000002,6326.080000000002,15.807779455227639,15.764883335816346,0.0,-0.004024101462497462,0.75,298.0
0,6326.085000000002,6326.085000000002,16.049055886666334,16.06297683574493,0.0,0.001305929587928727,0.75,298.0
0,6326.090000000002,6326.090000000002,16.313695087393917,16.31983272575773,0.0,0.0005757742158280881,0.75,298.0
0,6326.095000000002,6326.095000000002,16.60384635351597,16.58083529880424,0.0,-0.002158675893994922,0.75,298.0
0,6326.100000000002,6326.100000000002,16.92190129514188,16.94679734384432,0.0,0.002335507905349794,0.75,298.0
0,6326.105000000002,6326.105000000002,17.27051085062323,17.25151394613379,0.0,-0.0017821069175489662,0.75,298.0
0,6326.110000000002,6326.110000000002,17.652598506323184,17.605145412762887,0.0,-0.004451592960312141,0.75,298.0
0,6326.1150000000025,6326.1150000000025,18.0713666422011,18.067746885786487,0.0,-0.0003395707416388792,0.75,298.0
0,6326.120000000003,6326.120000000003,18.530291366681055,18.533744530648832,0.0,0.00032394264011945546,0.75,298.0
0,6326.125000000003,6326.125000000003,19.033099154058895,19.022942895729685,0.0,-0.0009527625005939387,0.75,298.0
0,6326.130000000003,6326.130000000003,19.583715932111637,19.579251290476165,0.0,-0.00041882974920341514,0.75,298.0
0,6326.135000000003,6326.135000000003,20.18617584561146,20.224655703395822,0.0,0.003609810260505468,0.75,298.0
0,6326.140000000003,6326.140000000003,20.84447267804288,20.873828676407996,0.0,0.0027538974987802176,0.75,298.0
0,6326.145000000003,6326.145000000003,21.56233201687897,21.568144847342506,0.0,0.0005453038617616856,0.75,298.0
0,6326.150000000003,6326.150000000003,22.342877319340833,22.34709354913355,0.0,0.00039552613867991184,0.75,298.0
0,6326.155000000003,6326.155000000003,23.188159444257117,23.17077836420231,0.0,-0.001630525805789421,0.75,298.0
0,6326.1600000000035,6326.1600000000035,24.098519475454072,24.101634071362227,0.0,0.00029218144021193887,0.75,298.0
0,6326.165000000004,6326.165000000004,25.0717629391606,25.09556591738602,0.0,0.0022329665434372074,0.75,298.0
0,6326.170000000004,6326.170000000004,26.102146009433337,26.101921045676143,0.0,-2.110393659749306e-05,0.75,298.0
0,6326.175000000004,6326.175000000004,27.179218800749382,27.197986497897855,0.0,0.0017606048887256057,0.75,298.0
0,6326.180000000004,6326.180000000004,28.286644377734675,28.298354729073356,0.0,0.001098552563613542,0.75,298.0
0,6326.185000000004,6326.185000000004,29.401215192151913,29.404974687217347,0.0,0.0003526796782247951,0.75,298.0
0,6326.190000000004,6326.190000000004,30.49240573811305,30.494469001511252,0.0,0.0001935555330452228,0.75,298.0
0,6326.195000000004,6326.195000000004,31.52288879867281,31.51029920024663,0.0,-0.0011810350711048848,0.75,298.0
0,6326.200000000004,6326.200000000004,32.4504300861126,32.4404872322314,0.0,-0.0009327429472373091,0.75,298.0
0,6326.2050000000045,6326.2050000000045,33.23137946055246,33.208617305195446,0.0,-0.0021353265497867863,0.75,298.0
0,6326.210000000005,6326.210000000005,33.82555766220417,33.84737967465861,0.0,0.0020471313824589315,0.75,298.0
0,6326.215000000005,6326.215000000005,34.20177467420281,34.238737643510866,0.0,0.003467510369053209,0.75,298.0
0,6326.220000000005,6326.220000000005,34.342737992357684,34.32685089371097,0.0,-0.0014903748352177897,0.75,298.0
