,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,nuOptRe_air,nuOptRe_air_err,nuOptRe_air_vary,n_nuOptRe_air,nuOptIm_air,nuOptIm_air_err,nuOptIm_air_vary,n_nuOptIm_air,y_air,y_air_err,y_air_vary,n_y_air,BIA_slope_air,BIA_collision_duration_air
360,7,2,180.9705,13148.69702,0.0,False,0.0132,0.0,False,1e-24,0.047,0.0,False,0.72,-0.00665,0.0,False,0.0,0.085886011,0.0,False,0.72,0.0,0.0,False,0.0,0.005,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
361,7,3,153.1773,13148.77672,0.0,False,0.00323,0.0,False,1e-24,0.0473,0.0,False,0.72,-0.00755,0.0,False,0.0,0.087272116,0.0,False,0.72,0.0,0.0,False,0.0,0.005,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
362,7,2,149.0716,13149.09189,0.0,False,0.0158,0.0,False,1e-24,0.0473,0.0,False,0.72,-0.00755,0.0,False,0.0,0.085886011,0.0,False,0.72,0.0,0.0,False,0.0,0.005,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
363,7,3,219.3566,13150.0327,0.0,False,0.00249,0.0,False,1e-24,0.0463,0.0,False,0.7,-0.0069,0.0,False,0.0,0.093505839,0.0,False,0.7,0.0,0.0,False,0.0,0.005,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
364,7,1,188.8531,13150.05691,0.0,False,9.09e-05,0.0,False,1e-24,0.0478,0.0,False,0.73,-0.0075,0.0,False,0.0,0.085541577,0.0,False,0.73,0.0,0.0,False,0.0,0.005,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
56,7,1,188.7134,13150.19673,3.518054353352495e-14,True,7.70199999999938,5.8722326104426885e-12,True,1e-24,0.04999999999999123,1.2346029460872652e-13,True,0.83,-0.007215999999988585,8.223855529328902e-14,True,1.9e-05,0.07999999999944511,1.192083557629932e-11,True,0.83,0.0,0.0,False,0.0,0.0050000000000624345,1.7368279599551865e-12,True,0.0,0.0,0.0,False,0.0,-5.70000002825708e-05,1.1375551657906782e-12,True,1.849878493,0.0,0.0
365,7,2,213.5291,13150.26145,0.0,False,0.0123,0.0,False,1e-24,0.0463,0.0,False,0.7,-0.0069,0.0,False,0.0,0.092020726,0.0,False,0.7,0.0,0.0,False,0.0,0.005,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
366,7,3,183.8401,13150.48602,0.0,False,0.00303,0.0,False,1e-24,0.047,0.0,False,0.72,-0.0074,0.0,False,0.0,0.087272116,0.0,False,0.72,0.0,0.0,False,0.0,0.005,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
367,7,2,178.9115,13150.75594,0.0,False,0.0149,0.0,False,1e-24,0.047,0.0,False,0.72,-0.0074,0.0,False,0.0,0.085886011,0.0,False,0.72,0.0,0.0,False,0.0,0.005,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
368,7,1,2953.97,13150.76,0.0,False,4.2e-05,0.0,False,1e-24,0.02,0.0,False,0.63,-0.01,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.005,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
