Spectrum Number,Segment Number,Pressure,Pressure_err,Pressure_vary,Temperature,Temperature_err,Temperature_vary,x_shift,x_shift_err,x_shift_vary,molefraction_O2,molefraction_O2_err,molefraction_O2_vary,baseline_a,baseline_a_err,baseline_a_vary
1,0,0.2631578947368421,0.0,False,298.15000000000003,0.0,False,0.0,0.0,False,0.002022,0.0,False,0.0,0.0,False
2,0,0.5263157894736842,0.0,False,298.15000000000003,0.0,False,0.0,0.0,False,0.002022,0.0,False,0.0,0.0,False
3,0,0.7894736842105263,0.0,False,298.15000000000003,0.0,False,0.0,0.0,False,0.002022,0.0,False,0.0,0.0,False
4,0,1.0526315789473684,0.0,False,298.15000000000003,0.0,False,0.0,0.0,False,0.002022,0.0,False,0.0,0.0,False
5,0,1.3157894736842106,0.0,False,298.15000000000003,0.0,False,0.0,0.0,False,0.002022,0.0,False,0.0,0.0,False
