,trans_id,local_lower_quanta,m transition,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,nuOptRe_air,nuOptRe_air_err,nuOptRe_air_vary,n_nuOptRe_air,nuOptIm_air,nuOptIm_air_err,nuOptIm_air_vary,n_nuOptIm_air,y_air,y_air_err,y_air_vary,n_y_air,BIA_slope_air,BIA_collision_duration_air
56,6297222.0, R 11Q 12     d,13.0,7,1,188.7134,13150.19673,0.0,False,7.599202513378501,0.0009732907858903198,True,1.0000000000000001e-24,0.05,0.0,False,0.83,-0.007216,0.0,False,1.9e-05,0.08,0.0,False,0.83,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-5.7e-05,0.0,False,1.849878493,0.0,0.0
57,6297223.0, R 13R 13     d,14.0,7,1,262.5827,13151.34876,0.0,False,5.596262180470329,0.0009021357856067153,True,1.0000000000000001e-24,0.05,0.0,False,0.82,-0.007556,0.0,False,2.2e-05,0.09,0.0,False,0.82,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00035,0.0,False,3.389740989,0.0,0.0
87,6281155.0, R 43R 43     d,44.0,7,1,2703.8443,13151.73899,0.0,False,0.0001314,0.0,False,1.0000000000000001e-24,0.02,0.0,False,0.63,-0.0105,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
58,6297224.0, R 13Q 14     d,15.0,7,1,260.5009,13153.43057,0.0,False,6.22706806139499,0.0009173104368614986,True,1.0000000000000001e-24,0.05,0.0,False,0.81,-0.007536,0.0,False,2.1e-05,0.08,0.0,False,0.81,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00051,0.0,False,1.852149734,0.0,0.0
88,6281164.0, R 43Q 44     d,45.0,7,1,2701.4912,13154.09213,0.0,False,0.000137,0.0,False,1.0000000000000001e-24,0.02,0.0,False,0.63,-0.01,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
59,6297225.0, R 15R 15     d,16.0,7,1,345.8495,13154.17894,0.0,False,4.309351205734903,0.0008176448634470133,True,1.0000000000000001e-24,0.04,0.0,False,0.8,-0.007977,0.0,False,2.5e-05,0.1,0.0,False,0.8,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00086,0.0,False,3.020137622,0.0,0.0
85,6281168.0, R 41R 41     d,42.0,7,1,2462.413,13154.64257,0.0,False,0.0004052,0.0,False,1.0000000000000001e-24,0.02,0.0,False,0.63,-0.0105,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
60,6297226.0, R 15Q 16     d,17.0,7,1,343.7481,13156.28033,0.0,False,4.739735072120351,0.0008985884758954339,True,1.0000000000000001e-24,0.04,0.0,False,0.81,-0.007967,0.0,False,2.4e-05,0.08,0.0,False,0.81,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00103,0.0,False,1.985142148,0.0,0.0
61,6297227.0, R 17R 17     d,18.0,7,1,440.5618,13156.62333,0.0,False,3.0799705664805326,0.0008944189826232319,True,1.0000000000000001e-24,0.04,0.0,False,0.8,-0.008547,0.0,False,2.8e-05,0.1,0.0,False,0.8,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00143,0.0,False,3.137979657,0.0,0.0
86,6281180.0, R 41Q 42     d,43.0,7,1,2460.0774,13156.9781,0.0,False,0.000423,0.0,False,1.0000000000000001e-24,0.02,0.0,False,0.63,-0.01,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
83,6281181.0, R 39R 39     d,40.0,7,1,2232.0828,13157.10644,0.0,False,0.001181,0.0,False,1.0000000000000001e-24,0.02,0.0,False,0.63,-0.0105,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
63,6297228.0, R 19R 19     d,20.0,7,1,546.7042,13158.67919,0.0,False,2.055700544325479,0.0018481702568112453,True,1.0000000000000001e-24,0.04,0.0,False,0.77,-0.0087411,0.0,False,3.3e-05,0.09,0.0,False,0.77,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00207,0.0,False,4.257624999,0.0,0.0
62,6297229.0, R 17Q 18     d,19.0,7,1,438.4413,13158.74374,0.0,False,3.364845880645172,0.0018539450820038174,True,1.0000000000000001e-24,0.04,0.0,False,0.82,-0.008568,0.0,False,2.9e-05,0.1,0.0,False,0.82,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00164,0.0,False,2.226019518,0.0,0.0
81,6281193.0, R 37R 37     d,38.0,7,1,2012.8914,13159.13627,0.0,False,0.003252,0.0,False,1.0000000000000001e-24,0.02,0.0,False,0.63,-0.0105,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
84,6281194.0, R 39Q 40     d,41.0,7,1,2229.7649,13159.42434,0.0,False,0.001235,0.0,False,1.0000000000000001e-24,0.02,0.0,False,0.63,-0.01,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
65,6297230.0, R 21R 21     d,22.0,7,1,664.2595,13160.34357,0.0,False,1.2838564850179697,0.0008348677966857404,True,1.0000000000000001e-24,0.04,0.0,False,0.74,-0.0095512,0.0,False,2.5e-05,0.13,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00218,0.0,False,5.229704566,0.0,0.0
79,6297231.0, R 35R 35     d,36.0,7,1,1804.8745,13160.73749,0.0,False,0.008455,0.0,False,1.0000000000000001e-24,0.03,0.0,False,0.63,-0.0105,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.15059,0.0,False,11.02983704,0.0,0.0
64,6297232.0, R 19Q 20     d,21.0,7,1,544.5651,13160.81826,0.0,False,2.2250014136445824,0.0008400887538437961,True,1.0000000000000001e-24,0.04,0.0,False,0.77,-0.009099,0.0,False,2.9e-05,0.1,0.0,False,0.77,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.0024,0.0,False,2.668600473,0.0,0.0
82,6281213.0, R 37Q 38     d,39.0,7,1,2010.5911,13161.43654,0.0,False,0.003405,0.0,False,1.0000000000000001e-24,0.02,0.0,False,0.63,-0.01,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0
67,6297233.0, R 23R 23     d,24.0,7,1,793.2087,13161.61331,0.0,False,0.7603,0.0,False,1.0000000000000001e-24,0.04,0.0,False,0.79,-0.0100917,0.0,False,3.6e-05,0.13,0.0,False,0.79,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00295,0.0,False,4.437632126,0.0,0.0
77,6297234.0, R 33R 33     d,34.0,7,1,1608.0662,13161.91524,0.0,False,0.02075,0.0,False,1.0000000000000001e-24,0.03,0.0,False,0.63,-0.00741,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.06827,0.0,False,11.05334543,0.0,0.0
69,6297235.0, R 25R 25     d,26.0,7,1,933.5309,13162.48501,0.0,False,0.4177,0.0,False,1.0000000000000001e-24,0.03,0.0,False,0.63,-0.0139338,0.0,False,5e-05,0.1,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00159,0.0,False,5.497748903,0.0,0.0
66,6297236.0, R 21Q 22     d,23.0,7,1,662.102,13162.50103,0.0,False,1.3748729890669316,0.000785488592801009,True,1.0000000000000001e-24,0.04,0.0,False,0.86,-0.0076521,0.0,False,4e-05,0.14,0.0,False,0.86,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,-0.00325,0.0,False,3.481353001,0.0,0.0
