Spectrum Number,Pressure,Segment Number,Temperature,baseline_a,molefraction_CO2,x_shift,Pressure_err,Pressure_vary,Temperature_err,Temperature_vary,baseline_a_err,baseline_a_vary,molefraction_CO2_err,molefraction_CO2_vary,x_shift_err,x_shift_vary
1.0,0.00657894736842105,0.0,298.15,7.794994857021608e-08,0.0004,0.0,0,False,0,False,0.0010123929124416283,True,0,False,0,False
2.0,0.02631578947368421,0.0,298.15,4.705157362592228e-08,0.0004,0.0,0,False,0,False,0.00101234193097786,True,0,False,0,False
3.0,0.13157894736842105,0.0,298.15,1.4849018200172278e-05,0.0004,0.0,0,False,0,False,0.0010123907190480194,True,0,False,0,False
4.0,0.2631578947368421,0.0,298.15,6.53119513435923e-05,0.0004,0.0,0,False,0,False,0.0010123910942577757,True,0,False,0,False
5.0,0.5263157894736842,0.0,298.15,0.00025558980066103283,0.0004,0.0,0,False,0,False,0.0010123908242158203,True,0,False,0,False
6.0,0.00657894736842105,0.0,298.15,6.2916165294761725e-06,0.05,0.0,0,False,0,False,0.001012423309864311,True,0,False,0,False
7.0,0.02631578947368421,0.0,298.15,0.0001194020096065888,0.05,0.0,0,False,0,False,0.001012389773523976,True,0,False,0,False
8.0,0.13157894736842105,0.0,298.15,0.0020245498563970852,0.05,0.0,0,False,0,False,0.0010124561945435225,True,0,False,0,False
9.0,0.2631578947368421,0.0,298.15,0.008492354226673453,0.05,0.0,0,False,0,False,0.001012659802569839,True,0,False,0,False
10.0,0.5263157894736842,0.0,298.15,0.03247151569988948,0.05,0.0,0,False,0,False,0.001013617309496009,True,0,False,0,False
11.0,0.00657894736842105,0.0,298.15,0.0002945488103845963,1.0,0.0,0,False,0,False,0.001012465012382884,True,0,False,0,False
12.0,0.02631578947368421,0.0,298.15,0.0021465457086876903,1.0,0.0,0,False,0,False,0.0010134454862613634,True,0,False,0,False
13.0,0.13157894736842105,0.0,298.15,0.05337870096200937,1.0,0.0,0,False,0,False,0.0010372883683765143,True,0,False,0,False
14.0,0.2631578947368421,0.0,298.15,0.2201161760329677,1.0,0.0,0,False,0,False,0.0011032401255818593,True,0,False,0,False
