Spectrum Number,Baseline Order,Pressure,Segment Number,Temperature,baseline_a,molefraction_CO2,x_shift
1.0,0.0,0.006578947368421051,0.0,298.15,2.985363611674987e-07,0.00039999999999999996,0.0
2.0,0.0,0.02631578947368421,0.0,298.15,6.3919812447524474e-06,0.00039999999999999996,0.0
3.0,0.0,0.13157894736842105,0.0,298.15,0.00015020910972553218,0.00039999999999999996,0.0
4.0,0.0,0.2631578947368421,0.0,298.15,0.0006119038073522793,0.00039999999999999996,0.0
5.0,0.0,0.5263157894736842,0.0,298.15,0.002552094783574848,0.00039999999999999996,0.0
6.0,0.0,0.006578947368421051,0.0,298.15,-0.00011522175444831822,0.05,0.0
7.0,0.0,0.02631578947368421,0.0,298.15,0.0006971245029796187,0.05,0.0
8.0,0.0,0.13157894736842105,0.0,298.15,0.026838060684585725,0.05,0.0
9.0,0.0,0.2631578947368421,0.0,298.15,0.08232774348641235,0.05,0.0
10.0,0.0,0.5263157894736842,0.0,298.15,0.3192336655980321,0.05,0.0
11.0,0.0,0.006578947368421051,0.0,298.15,-0.0038343817850805813,1.0,0.0
12.0,0.0,0.02631578947368421,0.0,298.15,0.02843962244622688,1.0,0.0
13.0,0.0,0.13157894736842105,0.0,298.15,0.6411021561181154,1.0,0.0
14.0,0.0,0.2631578947368421,0.0,298.15,2.109544622062225,1.0,0.0
