trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air_296,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self_296
6793589,2,4,6290.005522,1.75E-28,0.006274,856.7806,258,270,856.7806,       3 1 1 12,       0 1 1 01,               ,     P 22f     ,0.0717,0.72,-0.00695,0,0.073113002,0.72,0,0,0,1,0,0,0.098,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6793590,2,5,6290.020388,1.85E-30,0.00127,921.8776,106,110,921.8776,       3 1 1 11,       0 1 1 01,               ,     P 27e     ,0.0695,0.74,-0.00716,0,0.066100256,0.74,0,0,0,1,0,0,0.093,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6793591,2,1,6290.025198,1.59E-29,1.69E-07,773.7911,35,33,773.7911,       2 3 3 12,       0 1 1 01,               ,     R 16f     ,0.0752,0.69,-0.006524,0,0.082060681,0.69,0,0,0,1,0,0,0.102,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0
6793592,2,3,6290.0603,2.46E-28,0.005092,1209.1936,79,77,1209.1936,       3 1 1 12,       0 1 1 01,               ,     R 38f     ,0.068,0.76,-0.007386,0,0.061832284,0.76,0,0,0,1,0,0,0.082,0.76,0,0,0.08,0.76,0,0,0,1,0,0
6793593,2,3,6290.091858,4.03E-30,0.01124,2268.0867,101,99,2268.0867,       4 0 0 12,       1 0 0 01,               ,     R 49e     ,0.067,0.74,-0.007582,0,0.066984974,0.74,0,0,0,1,0,0,0.074,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6793594,2,4,6290.103758,1.41E-29,0.01517,1444.9615,150,162,1444.9615,       4 0 0 12,       1 0 0 01,               ,     P 13e     ,0.0789,0.69,-0.006041,0,0.080946537,0.69,0,0,0,1,0,0,0.106,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0
6793595,2,3,6290.108202,4.50E-30,1.19E-06,186.271,43,45,186.271,       4 1 1 01,       0 0 0 01,               ,     P 22e     ,0.0715,0.72,-0.006366,0,0.072137664,0.72,0,0,0,1,0,0,0.098,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6793596,2,4,6290.115099,5.61E-30,0.006193,1596.5557,306,318,1596.5557,       3 2 2 12,       0 2 2 01,               ,     P 26e     ,0.07,0.74,-0.007158,0,0.067890644,0.74,0,0,0,1,0,0,0.095,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6793597,2,4,6290.126704,5.61E-30,0.006193,1596.5565,306,318,1596.5565,       3 2 2 12,       0 2 2 01,               ,     P 26f     ,0.07,0.74,-0.007158,0,0.067890644,0.74,0,0,0,1,0,0,0.095,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6793598,2,3,6290.128456,1.06E-30,0.005599,2288.8608,59,57,2288.8608,       3 3 3 12,       0 3 3 01,               ,     R 28e     ,0.0691,0.75,-0.007235,0,0.064408629,0.75,0,0,0,1,0,0,0.092,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0
