molec_id,local_iso_id,nu,sw,a,elower,global_upper_quanta,global_lower_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air_296,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self_296,Branch,J,m
2,1,6357.806314,1.80E-27,0.01922,2137.901,41112,11101,R12f,0.0766,0.68,-0.005134,0,0,0.68,0,0,0,1,0,0,0.104,0.68,-0.005134,0,0,0.68,0,0,0,1,0,0,,,
2,1,6357.834075,9.71E-26,0.004426,668.1612,31112,1101,R1e,0.0903,0.69,-0.003072,0,0,0.69,0,0,0,1,0,0,0.123,0.69,-0.003072,0,0,0.69,0,0,0,1,0,0,,,
2,1,6358.321449,1.85E-27,0.01931,2147.9062,41112,11101,R13e,0.0759,0.68,-0.005266,0,0,0.68,0,0,0,1,0,0,0.103,0.68,-0.005266,0,0,0.68,0,0,0,1,0,0,,,
2,1,6358.542184,5.02E-26,0.01813,1494.3071,40012,10001,R16e,0.074,0.7,-0.00563,0,0,0.7,0,0,0,1,0,0,0.1,0.7,-0.00563,0,0,0.7,0,0,0,1,0,0,,,
2,1,6358.604745,1.72E-25,0.005625,669.7274,31112,1101,R2f,0.088,0.7,-0.003261,0,0,0.7,0,0,0,1,0,0,0.12,0.7,-0.003261,0,0,0.7,0,0,0,1,0,0,,,
2,1,6358.637202,5.71E-27,1.12E-05,578.0116,41101,1,P38e,0.0676,0.75,-0.006464,0,0,0.75,0,0,0,1,0,0,0.082,0.75,-0.006464,0,0,0.75,0,0,0,1,0,0,,,
2,1,6358.654324,1.75E-23,0.007441,81.9401,30012,1,R14e,0.075301615,0.68,-0.005392,0,0.077140996,0.68,0,0,0.005580231,1,0,0.00205,0.102,0.69,-0.005392,0,0,0.69,0,0,0,1,0,0.002131,R,14,15
2,1,6358.658686,1.03E-27,0.0003133,1406.4103,32212,2201,Q13f,0.0766,0.68,-0.005663,0,0,0.68,0,0,0,1,0,0,0.104,0.68,-0.005663,0,0,0.68,0,0,0,1,0,0,,,
2,1,6358.7472,1.17E-27,0.0003656,1396.2282,32212,2201,Q12e,0.0774,0.68,-0.005559,0,0,0.68,0,0,0,1,0,0,0.105,0.68,-0.005559,0,0,0.68,0,0,0,1,0,0,,,
2,1,6358.827808,1.33E-27,0.0004325,1386.8291,32212,2201,Q11f,0.0782,0.68,-0.005449,0,0,0.68,0,0,0,1,0,0,0.107,0.68,-0.005449,0,0,0.68,0,0,0,1,0,0,,,
2,1,6358.873704,6.90E-27,2.94E-06,81.9401,33301,1,R14e,0.0752,0.69,-0.004622,0,0,0.69,0,0,0,1,0,0,0.102,0.69,-0.004622,0,0,0.69,0,0,0,1,0,0,,,
2,1,6358.902485,1.52E-27,0.0005189,1378.2132,32212,2201,Q10e,0.0791,0.68,-0.005332,0,0,0.68,0,0,0,1,0,0,0.108,0.68,-0.005332,0,0,0.68,0,0,0,1,0,0,,,
2,1,6358.969835,1.74E-27,0.0006348,1370.3804,32212,2201,Q9f,0.0801,0.68,-0.005206,0,0,0.68,0,0,0,1,0,0,0.109,0.68,-0.005206,0,0,0.68,0,0,0,1,0,0,,,
2,1,6359.03081,2.02E-27,0.0007938,1363.3308,32212,2201,Q8e,0.0811,0.68,-0.00507,0,0,0.68,0,0,0,1,0,0,0.111,0.68,-0.00507,0,0,0.68,0,0,0,1,0,0,,,
2,1,6359.084784,2.36E-27,0.001021,1357.0644,32212,2201,Q7f,0.0822,0.68,-0.004922,0,0,0.68,0,0,0,1,0,0,0.112,0.68,-0.004922,0,0,0.68,0,0,0,1,0,0,,,
2,1,6359.132149,2.80E-27,0.001361,1351.5813,32212,2201,Q6e,0.0834,0.68,-0.004758,0,0,0.68,0,0,0,1,0,0,0.114,0.68,-0.004758,0,0,0.68,0,0,0,1,0,0,,,
2,1,6359.172673,3.40E-27,0.001906,1346.8814,32212,2201,Q5f,0.0847,0.69,-0.004577,0,0,0.69,0,0,0,1,0,0,0.116,0.69,-0.004577,0,0,0.69,0,0,0,1,0,0,,,
2,1,6359.206481,4.25E-27,0.00286,1342.9648,32212,2201,Q4e,0.0862,0.69,-0.004375,0,0,0.69,0,0,0,1,0,0,0.118,0.69,-0.004375,0,0,0.69,0,0,0,1,0,0,,,
2,1,6359.208494,1.88E-27,0.01935,2159.0306,41112,11101,R14f,0.0752,0.69,-0.005392,0,0,0.69,0,0,0,1,0,0,0.102,0.69,-0.005392,0,0,0.69,0,0,0,1,0,0,,,
2,1,6359.233511,5.59E-27,0.004767,1339.8315,32212,2201,Q3f,0.088,0.7,-0.004146,0,0,0.7,0,0,0,1,0,0,0.12,0.7,-0.004146,0,0,0.7,0,0,0,1,0,0,,,
2,1,6359.25379,8.08E-27,0.009536,1337.4815,32212,2201,Q2e,0.0903,0.69,-0.003886,0,0,0.69,0,0,0,1,0,0,0.123,0.69,-0.003886,0,0,0.69,0,0,0,1,0,0,,,
2,1,6359.342141,2.39E-25,0.006158,672.0676,31112,1101,R3e,0.0862,0.69,-0.0035,0,0,0.69,0,0,0,1,0,0,0.118,0.69,-0.0035,0,0,0.69,0,0,0,1,0,0,,,
2,1,6359.660632,1.89E-27,0.01941,2170.5469,41112,11101,R15e,0.0746,0.69,-0.005513,0,0,0.69,0,0,0,1,0,0,0.101,0.69,-0.005513,0,0,0.69,0,0,0,1,0,0,,,
2,1,6359.864277,4.90E-26,0.01815,1521.6154,40012,10001,R18e,0.073,0.7,-0.005853,0,0,0.7,0,0,0,1,0,0,0.098,0.7,-0.005853,0,0,0.7,0,0,0,1,0,0,,,
2,1,6359.967246,1.76E-23,0.007467,106.1297,30012,1,R16e,0.074491634,0.67,-0.005407741,0,0.0884,0.67,0.055,0,0.003099312,1,0,0.000806,0.1,0.7,-0.00563,0,0,0.7,0,0,0,1,0,0.000568,R,16,17
2,1,6360.113271,3.01E-25,0.006451,675.2049,31112,1101,R4f,0.0847,0.69,-0.003737,0,0,0.69,0,0,0,1,0,0,0.116,0.69,-0.003737,0,0,0.69,0,0,0,1,0,0,,,
2,1,6360.167699,6.57E-27,1.02E-05,519.535,41101,1,P36e,0.068,0.74,-0.006384,0,0,0.74,0,0,0,1,0,0,0.084,0.74,-0.006384,0,0,0.74,0,0,0,1,0,0,,,
2,1,6360.559497,1.03E-27,4.36E-07,106.1297,33301,1,R16e,0.074,0.7,-0.004837,0,0,0.7,0,0,0,1,0,0,0.1,0.7,-0.004837,0,0,0.7,0,0,0,1,0,0,,,
2,1,6360.588275,1.89E-27,0.01944,2183.2897,41112,11101,R16f,0.074,0.7,-0.00563,0,0,0.7,0,0,0,1,0,0,0.1,0.7,-0.00563,0,0,0.7,0,0,0,1,0,0,,,
2,1,6360.819048,3.59E-25,0.006641,679.099,31112,1101,R5e,0.0834,0.68,-0.00396,0,0,0.68,0,0,0,1,0,0,0.114,0.68,-0.00396,0,0,0.68,0,0,0,1,0,0,,,
2,1,6360.971235,1.88E-27,0.01949,2196.3094,41112,11101,R17e,0.0735,0.7,-0.005743,0,0,0.7,0,0,0,1,0,0,0.099,0.7,-0.005743,0,0,0.7,0,0,0,1,0,0,,,
2,1,6361.160793,4.66E-26,0.01816,1552.0433,40012,10001,R20e,0.072,0.71,-0.006063,0,0,0.71,0,0,0,1,0,0,0.096,0.71,-0.006063,0,0,0.71,0,0,0,1,0,0,,,
2,1,6361.250354,1.72E-23,0.007485,133.4393,30012,1,R18e,0.07296418,0.65,-0.005853,0,0.08302617,0.65,0,0,0.004011037,1,0,-0.000321,0.098,0.7,-0.005853,0,0,0.7,0,0,0,1,0,-0.000813,R,18,19
2,1,6361.583497,4.05E-27,0.003416,1337.4815,32212,2201,R2e,0.088,0.7,-0.003261,0,0,0.7,0,0,0,1,0,0,0.12,0.7,-0.003261,0,0,0.7,0,0,0,1,0,0,,,
2,1,6361.596671,4.13E-25,0.006768,683.8124,31112,1101,R6f,0.0822,0.68,-0.004165,0,0,0.68,0,0,0,1,0,0,0.112,0.68,-0.004165,0,0,0.68,0,0,0,1,0,0,,,
2,1,6361.701619,7.36E-27,9.30E-06,464.1717,41101,1,P34e,0.0683,0.74,-0.006304,0,0,0.74,0,0,0,1,0,0,0.085,0.74,-0.006304,0,0,0.74,0,0,0,1,0,0,,,
