trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,m,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,n_y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self,n_y_self
6280826,7,1,12899.24596000,4.23800E-29,0.02238,2956.33740,89,91,       b      0,       X      0,               , P 45P 45     d,-45,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6280828,7,1,12900.86161000,4.14600E-29,0.02173,2954.72170,89,89,       b      0,       X      0,               , P 45Q 44     d,-44,0.02,0.63,-0.01,0,0.117223643,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,5.00E-05,0.1,0.75,0,0,0,1,0,0,1
6280831,7,1,12913.21121000,1.38200E-28,0.02245,2703.84430,85,87,       b      0,       X      0,               , P 43P 43     d,-43,0.02,0.63,-0.01,500000,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6280833,7,1,12914.84379000,1.35000E-28,0.02175,2702.21170,85,85,       b      0,       X      0,               , P 43Q 42     d,-42,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6280838,7,1,12926.77623000,4.25900E-28,0.02251,2462.41300,81,83,       b      0,       X      0,               , P 41P 41     d,-41,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6280839,7,1,12928.42578000,4.15600E-28,0.02179,2460.76340,81,81,       b      0,       X      0,               , P 41Q 40     d,-40,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6280843,7,1,12939.94486000,1.24100E-27,0.02257,2232.08280,77,79,       b      0,       X      0,               , P 39P 39     d,-39,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6280845,7,1,12941.61143000,1.20900E-27,0.02182,2230.41620,77,77,       b      0,       X      0,               , P 39Q 38     d,-38,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6280849,7,1,12952.72065000,3.41800E-27,0.02263,2012.89140,73,75,       b      0,       X      0,               , P 37P 37     d,-37,0.03,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6280851,7,1,12954.40429000,3.32500E-27,0.02184,2011.20770,73,73,       b      0,       X      0,               , P 37Q 36     d,-36,0.03,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6297176,7,1,12965.10688000,8.89200E-27,0.02271,1804.87450,69,71,       b      0,       X      0,               , P 35P 35     d,-35,0.03,0.63,-0.0097,5.00E-05,0.1,0.63,0,0,0,1,0,0.011486,11.02983704,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0.011486,11.02983704
6297177,7,1,12966.80765000,8.63100E-27,0.02187,1803.17370,69,69,       b      0,       X      0,               , P 35Q 34     d,-34,0.03,0.63,-0.0096,5.00E-05,0.1,0.63,0,0,0,1,0,0.010002,11.05334543,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0.010002,11.05334543
6297178,7,1,12977.10657000,2.18400E-26,0.02278,1608.06620,65,67,       b      0,       X      0,               , P 33P 33     d,-33,0.03,0.63,-0.01078,5.00E-05,0.1,0.63,0,0,0,1,0,0.006543,9.54017859,0.03,0.75,-0.0072,3.00E-05,0.1,0.75,0,0,0,1,0,0.006543,9.54017859
6297179,7,1,12978.82454000,2.11500E-26,0.02189,1606.34820,65,65,       b      0,       X      0,               , P 33Q 32     d,-32,0.03,0.63,-0.01058,5.00E-05,0.1,0.63,0,0,0,1,0,0.00579,9.575509585,0.03,0.75,-0.00674,3.00E-05,0.1,0.75,0,0,0,1,0,0.00579,9.575509585
6297180,7,1,12988.72247000,5.05900E-26,0.02287,1422.49830,61,63,       b      0,       X      0,               , P 31P 31     d,-31,0.03,0.63,-0.01056,5.00E-05,0.1,0.63,0,0,0,1,0,0.004168,8.078300568,0.03,0.75,-0.00735,3.00E-05,0.1,0.75,0,0,0,1,0,0.004168,8.078300568
6297181,7,1,12990.45772000,4.88900E-26,0.02192,1420.76310,61,61,       b      0,       X      0,               , P 31Q 30     d,-30,0.03,0.63,-0.01066,5.00E-05,0.1,0.63,0,0,0,1,0,0.003755,8.128295749,0.03,0.75,-0.0066,3.00E-05,0.1,0.75,0,0,0,1,0,0.003755,8.128295749
6297182,7,1,12999.95707000,1.10600E-25,0.02296,1248.20130,57,59,       b      0,       X      0,               , P 29P 29     d,-29,0.03,0.63,-0.0116815,5.00E-05,0.1,0.63,0,0,0,1,0,0.002911,6.680830454,0.04,0.75,-0.0036454,3.00E-05,0.1,0.75,0,0,0,1,0,0.002911,6.680830454
6297183,7,1,13001.70969000,1.06500E-25,0.02194,1246.44860,57,57,       b      0,       X      0,               , P 29Q 28     d,-28,0.03,0.63,-0.0117415,5.00E-05,0.1,0.63,0,0,0,1,0,0.002665,6.750205732,0.04,0.75,-0.0038356,3.00E-05,0.1,0.75,0,0,0,1,0,0.002665,6.750205732
6297184,7,1,13010.81262000,2.27600E-25,0.02306,1085.20330,53,55,       b      0,       X      0,               , P 27P 27     d,-27,0.03,0.63,-0.011179,5.00E-05,0.13,0.63,0,0,0,1,0,0.002193,5.405820127,0.04,0.75,-0.0045529,3.00E-05,0.13,0.75,0,0,0,1,0,0.002193,5.405820127
6297185,7,1,13012.58274000,2.18700E-25,0.02197,1083.43320,53,53,       b      0,       X      0,               , P 27Q 26     d,-26,0.04,0.63,-0.010799,5.00E-05,0.09,0.63,0,0,0,1,0,0.002034,5.497748903,0.04,0.75,-0.0038729,3.00E-05,0.09,0.75,0,0,0,1,0,0.002034,5.497748903
6297186,7,1,13021.29112000,4.41400E-25,0.02318,933.53090,49,51,       b      0,       X      0,               , P 25P 25     d,-25,0.04,0.63,-0.010477,5.00E-05,0.15,0.63,0,0,0,1,0,0.001751,4.323269736,0.04,0.75,-0.0040617,3.00E-05,0.15,0.75,0,0,0,1,0,0.001751,4.323269736
