trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self
6279653,7,1,7705.378753,8.08e-30,5.299e-08,662.4359,37.0,41.0,662.4359,       a      0,       X      0,               , N 21O 20     q,0.0439,0.81,0.0,0.0,0.06019592464961487,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279654,7,1,7706.031043,3.306e-28,2.494e-05,1246.4486,55.0,57.0,1246.4486,       a      0,       X      0,               , O 29P 28     d,0.0324,0.78,-0.00488,0.0,0.06970054433113301,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.036,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
6279659,7,1,7712.589698,5.096e-30,2.539e-05,1990.2517,31.0,33.0,1990.2517,       a      1,       X      1,               , O 17P 16     d,0.0438,0.83,0.0,0.0,0.053859511528602806,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279663,7,1,7719.516368,6.741e-28,2.492e-05,1083.4332,51.0,53.0,1083.4332,       a      0,       X      0,               , O 27P 26     d,0.0345,0.78,-0.004833,0.0,0.06970054433113301,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
6279665,7,2,7723.60849,1.266e-30,2.568e-05,1099.7671,53.0,55.0,1099.7671,       a      0,       X      0,               , O 28P 27     d,0.0313,0.78,-0.0048,0.0,0.06748186590292109,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.036,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
6279666,7,1,7723.923053,1.253e-29,5.228e-08,544.8622,33.0,37.0,544.8622,       a      0,       X      0,               , N 19O 18     q,0.0453,0.87,0.0,0.0,0.04118668528657861,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.044,0.87,0.0,0.0,0.043333333333333335,0.87,0.0,0.0,0.0,1.0,0.0,0.0
6279668,7,1,7725.161089,6.844e-30,2.491e-05,1896.5637,27.0,29.0,1896.5637,       a      1,       X      1,               , O 15P 14     d,0.0459,0.83,0.0,0.0,0.053859511528602806,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.045,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279669,7,1,7725.906806,1.573e-30,5.37e-05,2479.6468,49.0,51.0,2479.6468,       a      1,       X      1,               , P 25P 25     d,0.0333,0.79,0.0,0.0,0.06653233777062696,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.79,0.0,0.0,0.06999999999999998,0.79,0.0,0.0,0.0,1.0,0.0,0.0
6279670,7,1,7727.698629,1.769e-30,5.989e-05,2477.8549,49.0,49.0,2477.8549,       a      1,       X      1,               , P 25Q 24     d,0.0333,0.79,0.0,0.0,0.06653233777062696,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.79,0.0,0.0,0.06999999999999998,0.79,0.0,0.0,0.0,1.0,0.0,0.0
6279671,7,2,7729.962503,1.756e-30,2.566e-05,1024.0981,51.0,53.0,1024.0981,       a      0,       X      0,               , O 27P 26     d,0.0323,0.78,-0.004833,0.0,0.06748186590292109,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.036,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
