trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air_296,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self_296
6279653,7,1,7705.378753,8.08E-30,5.30E-08,662.4359,37,41,662.4359,       a      0,       X      0,               , N 21O 20     q,0.0439,0.81,0,0,0,0.81,0,0,0,1,0,0,0.043,0.81,0,0,0,0.81,0,0,0,1,0,0
6279654,7,1,7706.031043,3.31E-28,2.49E-05,1246.4486,55,57,1246.4486,       a      0,       X      0,               , O 29P 28     d,0.0324,0.78,-0.00488,0,0,0.78,0,0,0,1,0,0,0.036,0.78,0,0,0,0.78,0,0,0,1,0,0
6279659,7,1,7712.589698,5.10E-30,2.54E-05,1990.2517,31,33,1990.2517,       a      1,       X      1,               , O 17P 16     d,0.0438,0.83,0,0,0,0.83,0,0,0,1,0,0,0.043,0.83,0,0,0,0.83,0,0,0,1,0,0
6279663,7,1,7719.516368,6.74E-28,2.49E-05,1083.4332,51,53,1083.4332,       a      0,       X      0,               , O 27P 26     d,0.0345,0.78,-0.004833,0,0,0.78,0,0,0,1,0,0,0.037,0.78,0,0,0,0.78,0,0,0,1,0,0
6279665,7,2,7723.60849,1.27E-30,2.57E-05,1099.7671,53,55,1099.7671,       a      0,       X      0,               , O 28P 27     d,0.0313,0.78,-0.0048,0,0,0.78,0,0,0,1,0,0,0.036,0.78,0,0,0,0.78,0,0,0,1,0,0
6279666,7,1,7723.923053,1.25E-29,5.23E-08,544.8622,33,37,544.8622,       a      0,       X      0,               , N 19O 18     q,0.0453,0.87,0,0,0,0.87,0,0,0,1,0,0,0.044,0.87,0,0,0,0.87,0,0,0,1,0,0
6279668,7,1,7725.161089,6.84E-30,2.49E-05,1896.5637,27,29,1896.5637,       a      1,       X      1,               , O 15P 14     d,0.0459,0.83,0,0,0,0.83,0,0,0,1,0,0,0.045,0.83,0,0,0,0.83,0,0,0,1,0,0
6279669,7,1,7725.906806,1.57E-30,5.37E-05,2479.6468,49,51,2479.6468,       a      1,       X      1,               , P 25P 25     d,0.0333,0.79,0,0,0,0.79,0,0,0,1,0,0,0.037,0.79,0,0,0,0.79,0,0,0,1,0,0
6279670,7,1,7727.698629,1.77E-30,5.99E-05,2477.8549,49,49,2477.8549,       a      1,       X      1,               , P 25Q 24     d,0.0333,0.79,0,0,0,0.79,0,0,0,1,0,0,0.037,0.79,0,0,0,0.79,0,0,0,1,0,0
6279671,7,2,7729.962503,1.76E-30,2.57E-05,1024.0981,51,53,1024.0981,       a      0,       X      0,               , O 27P 26     d,0.0323,0.78,-0.004833,0,0,0.78,0,0,0,1,0,0,0.036,0.78,0,0,0,0.78,0,0,0,1,0,0
6279673,7,1,7732.859459,1.29E-27,2.48E-05,931.7431,47,49,931.7431,       a      0,       X      0,               , O 25P 24     d,0.0365,0.79,-0.00478,0,0.15,0.79,0,0,0,1,0,0,0.04,0.79,0,0,0,0.79,0,0,0,1,0,0
6279674,7,1,7733.543899,2.81E-30,5.33E-05,2340.874,45,47,2340.874,       a      1,       X      1,               , P 23P 23     d,0.0356,0.8,0,0,0,0.8,0,0,0,1,0,0,0.038,0.8,0,0,0,0.8,0,0,0,1,0,0
6279675,7,1,7735.353539,3.19E-30,6.01E-05,2339.0644,45,45,2339.0644,       a      1,       X      1,               , P 23Q 22     d,0.0356,0.8,0,0,0,0.8,0,0,0,1,0,0,0.038,0.8,0,0,0,0.8,0,0,0,1,0,0
6279676,7,2,7736.282755,2.40E-30,2.56E-05,951.1056,49,51,951.1056,       a      0,       X      0,               , O 26P 25     d,0.0333,0.79,-0.0048,0,0,0.79,0,0,0,1,0,0,0.037,0.79,0,0,0,0.79,0,0,0,1,0,0
6279677,7,1,7737.575181,8.43E-30,2.42E-05,1814.1937,23,25,1814.1937,       a      1,       X      1,               , O 13P 12     d,0.0478,0.84,0,0,0,0.84,0,0,0,1,0,0,0.047,0.84,0,0,0,0.84,0,0,0,1,0,0
6279679,7,1,7741.01569,4.71E-30,5.29E-05,2213.3478,41,43,2213.3478,       a      1,       X      1,               , P 21P 21     d,0.038,0.8,0,0,0,0.8,0,0,0,1,0,0,0.04,0.8,0,0,0,0.8,0,0,0,1,0,0
6279680,7,1,7742.330697,1.80E-29,5.12E-08,438.701,29,33,438.701,       a      0,       X      0,               , N 17O 16     q,0.0466,0.62,0,0,0,0.62,0,0,0,1,0,0,0.045,0.62,0,0,0,0.62,0,0,0,1,0,0
6279681,7,2,7742.569186,3.23E-30,2.56E-05,880.7923,47,49,880.7923,       a      0,       X      0,               , O 25P 24     d,0.0345,0.8,-0.00478,0,0,0.8,0,0,0,1,0,0,0.038,0.8,0,0,0,0.8,0,0,0,1,0,0
6279682,7,1,7742.843373,5.41E-30,6.03E-05,2211.5201,41,41,2211.5201,       a      1,       X      1,               , P 21Q 20     d,0.038,0.8,0,0,0,0.8,0,0,0,1,0,0,0.04,0.8,0,0,0,0.8,0,0,0,1,0,0
6279684,7,1,7746.059758,2.31E-27,2.46E-05,791.4031,43,45,791.4031,       a      0,       X      0,               , O 23P 22     d,0.0386,0.8,-0.004721,0,0.15,0.8,0,0,0,1,0,0,0.042,0.8,0,0,0,0.8,0,0,0,1,0,0
6279685,7,1,7748.322422,7.39E-30,5.23E-05,2097.0889,37,39,2097.0889,       a      1,       X      1,               , P 19P 19     d,0.0404,0.81,0,0,0,0.81,0,0,0,1,0,0,0.041,0.81,0,0,0,0.81,0,0,0,1,0,0
6279686,7,2,7748.821731,4.28E-30,2.55E-05,813.1611,45,47,813.1611,       a      0,       X      0,               , O 24P 23     d,0.0356,0.8,-0.0048,0,0,0.8,0,0,0,1,0,0,0.038,0.8,0,0,0,0.8,0,0,0,1,0,0
6279687,7,1,7749.831251,9.40E-30,2.32E-05,1743.155,19,21,1743.155,       a      1,       X      1,               , O 11P 10     d,0.0496,0.84,0,0,0,0.84,0,0,0,1,0,0,0.048,0.84,0,0,0,0.84,0,0,0,1,0,0
6279688,7,1,7750.122729,2.15E-29,5.13E-05,2012.8914,73,75,2012.8914,       a      0,       X      0,               , P 37P 37     d,0.0245,0.73,-0.005052,0,0,0.73,0,0,0,1,0,0,0.03,0.73,0,0,0,0.73,0,0,0,1,0,0
6279689,7,1,7750.168442,8.60E-30,6.04E-05,2095.2429,37,37,2095.2429,       a      1,       X      1,               , P 19Q 18     d,0.0404,0.81,0,0,0,0.81,0,0,0,1,0,0,0.041,0.81,0,0,0,0.81,0,0,0,1,0,0
6279691,7,1,7751.806367,2.35E-29,5.56E-05,2011.2077,73,73,2011.2077,       a      0,       X      0,               , P 37Q 36     d,0.0245,0.73,-0.005053,0,0,0.73,0,0,0,1,0,0,0.03,0.73,0,0,0,0.73,0,0,0,1,0,0
6279692,7,2,7755.040319,5.58E-30,2.55E-05,748.2144,43,45,748.2144,       a      0,       X      0,               , O 23P 22     d,0.0368,0.8,-0.004721,0,0,0.8,0,0,0,1,0,0,0.039,0.8,0,0,0,0.8,0,0,0,1,0,0
6279693,7,1,7755.464226,1.08E-29,5.15E-05,1992.1165,33,35,1992.1165,       a      1,       X      1,               , P 17P 17     d,0.0427,0.83,0,0,0,0.83,0,0,0,1,0,0,0.043,0.83,0,0,0,0.83,0,0,0,1,0,0
6279694,7,3,7757.174623,1.20E-30,2.43E-05,704.8474,246,258,704.8474,       a      0,       X      0,               , O 22P 21     d,0.038,0.8,-0.0048,0,0,0.8,0,0,0,1,0,0,0.04,0.8,0,0,0,0.8,0,0,0,1,0,0
