trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,n_y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self,n_y_self
6793591,2,1,6290.025198,1.59E-29,1.69E-07,773.7911,35,33,773.7911,       2 3 3 12,       0 1 1 01,               ,     R 16f     ,0.0752,0.69,-0.006524,0,0.082060681,0.69,0,0,0,1,0,0,1,0.102,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793603,2,1,6290.206403,1.15E-29,0.01689,3457.333,117,119,3457.333,       4 1 1 12,       1 1 1 01,               ,     P 59e     ,0.0661,0.71,-0.007913,0,0.076766443,0.71,0,0,0,1,0,0,1,0.07,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0,1
6793604,2,1,6290.230037,1.09E-30,0.0131,3792.4033,73,75,3792.4033,       4 3 3 13,       1 3 3 02,               ,     P 37e     ,0.0685,0.76,-0.007404,0,0.06353085,0.76,0,0,0,1,0,0,1,0.084,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793605,2,1,6290.233497,2.65E-30,0.01726,3183.8174,7,5,3183.8174,       5 1 1 14,       2 1 1 03,               ,     R  2f     ,0.0885,0.78,-0.004698,0,0.058236612,0.78,0,0,0,1,0,0,1,0.119,0.78,0,0,0.073333333,0.78,0,0,0,1,0,0,1
6793607,2,1,6290.256732,2.43E-30,1.54E-06,1748.578,67,65,1748.578,       2 4 4 12,       0 2 2 01,               ,     R 32e     ,0.0689,0.76,-0.007339,0,0.06353085,0.76,0,0,0,1,0,0,1,0.088,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793612,2,1,6290.329624,4.32E-30,0.01514,3549.5396,77,75,3549.5396,       3 1 1 22,       0 1 1 11,               ,     R 37f     ,0.0684,0.76,-0.007403,0,0.06353085,0.76,0,0,0,1,0,0,1,0.083,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793614,2,1,6290.3858,1.50E-29,8.52E-05,2280.1201,99,101,2280.1201,       5 1 1 02,       1 0 0 02,               ,     P 50e     ,0.0672,0.73,-0.006991,0,0.071472206,0.73,0,0,0,1,0,0,1,0.074,0.73,0,0,0.09,0.73,0,0,0,1,0,0,1
6793616,2,1,6290.434605,3.55E-29,0.01405,3078.6277,69,71,3078.6277,       4 2 2 13,       1 2 2 02,               ,     P 35f     ,0.0687,0.76,-0.007384,0,0.06353085,0.76,0,0,0,1,0,0,1,0.086,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793617,2,1,6290.445977,3.02E-28,0.0127,2722.0723,115,117,2722.0723,       4 0 0 12,       1 0 0 01,               ,     P 58e     ,0.0662,0.71,-0.007878,0,0.076766443,0.71,0,0,0,1,0,0,1,0.07,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0,1
6793618,2,1,6290.513889,1.94E-29,0.006128,3169.7686,135,137,3169.7686,       3 2 2 12,       0 2 2 01,               ,     P 68e     ,0.0645,0.68,-0.008305,0,0.0847078,0.68,0,0,0,1,0,0,1,0.068,0.68,0,0,0.106666667,0.68,0,0,0,1,0,0,1
6793625,2,1,6290.650526,1.33E-25,0.006555,1333.7679,115,117,1333.7679,       3 0 0 12,       0 0 0 01,               ,     P 58e     ,0.0662,0.71,-0.007878,0,0.076766443,0.71,0,0,0,1,0,0,1,0.07,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0,1
6793627,2,1,6290.673817,8.44E-30,0.04453,3432.9565,29,31,3432.9565,       5 1 1 13,       2 1 1 02,               ,     P 15e     ,0.0771,0.69,-0.006377,0,0.082060681,0.69,0,0,0,1,0,0,1,0.104,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793628,2,1,6290.678555,3.02E-30,0.0152,3639.3015,83,81,3639.3015,       3 1 1 22,       0 1 1 11,               ,     R 40e     ,0.0682,0.76,-0.007443,0,0.06353085,0.76,0,0,0,1,0,0,1,0.081,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793629,2,1,6290.680082,2.99E-30,0.01512,3717.9568,121,119,3717.9568,       3 0 0 22,       0 0 0 11,               ,     R 59e     ,0.066,0.7,-0.007963,0,0.079413562,0.7,0,0,0,1,0,0,1,0.07,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793634,2,1,6290.749679,1.86E-30,3.94E-05,2469.9778,67,69,2469.9778,       5 2 2 02,       0 3 3 01,               ,     P 34f     ,0.0687,0.76,-0.006759,0,0.06353085,0.76,0,0,0,1,0,0,1,0.087,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793635,2,1,6290.791819,1.46E-30,0.0265,3956.387,107,109,3956.387,       5 0 0 12,       2 0 0 01,               ,     P 54e     ,0.0668,0.72,-0.00773,0,0.074119325,0.72,0,0,0,1,0,0,1,0.072,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0,1
6793636,2,1,6290.793959,6.61E-30,0.0001021,2371.9336,57,55,2371.9336,       6 0 0 02,       1 1 1 01,               ,     R 27e     ,0.0696,0.74,-0.00664,0,0.068825087,0.74,0,0,0,1,0,0,1,0.093,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0,1
6793637,2,1,6290.810449,6.94E-26,0.0177,1449.3831,39,41,1449.3831,       4 0 0 13,       1 0 0 02,               ,     P 20e     ,0.073,0.7,-0.006863,0,0.079413562,0.7,0,0,0,1,0,0,1,0.1,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793644,2,1,6290.912523,9.59E-29,0.0537,2678.9341,7,9,2678.9341,       5 0 0 13,       2 0 0 02,               ,     P  4e     ,0.0879,0.77,-0.004821,0,0.060883731,0.77,0,0,0,1,0,0,1,0.118,0.77,0,0,0.076666667,0.77,0,0,0,1,0,0,1
6793645,2,1,6290.922653,2.06E-28,0.02297,2591.3867,23,21,2591.3867,       5 0 0 14,       2 0 0 03,               ,     R 10e     ,0.0811,0.7,-0.005618,0,0.079413562,0.7,0,0,0,1,0,0,1,0.108,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793647,2,1,6290.924582,1.95E-29,2.09E-07,786.9028,37,35,786.9028,       2 3 3 12,       0 1 1 01,               ,     R 17e     ,0.0744,0.7,-0.006648,0,0.079413562,0.7,0,0,0,1,0,0,1,0.101,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793650,2,1,6290.932436,2.47E-30,1.73E-06,1774.408,69,67,1774.408,       2 4 4 12,       0 2 2 01,               ,     R 33f     ,0.0688,0.76,-0.00735,0,0.06353085,0.76,0,0,0,1,0,0,1,0.087,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
