dsd,line,molec_id,local_iso_id,elower,nu,sw,gamma0_O2,n_gamma0_O2,delta0_O2,n_delta0_O2,nuVC_O2,n_nuVC_O2,SD_gamma_O2,n_gamma2_O2,SD_delta_O2,n_delta2_O2,eta_O2,y_O2,n_y_O2,gamma0_N2,n_gamma0_N2,delta0_N2,n_delta0_N2,nuVC_N2,n_nuVC_N2,SD_gamma_N2,n_gamma2_N2,SD_delta_N2,n_delta2_N2,eta_N2,y_N2,n_y_N2
,,1,1,927.7439,7500.02721,2.69E-25,0.064,0.6,-0.01512,0,0,1,0,0.6,0,0,0,0,0,0.064,0.6,-0.01512,0,0,1,0,0.6,0,0,0,0,0
,,1,1,1059.6467,7500.067954,6.66E-26,0.0631,0.66,-0.02315,0,0,1,0,0.66,0,0,0,0,0,0.0631,0.66,-0.02315,0,0,1,0,0.66,0,0,0,0,0
,,1,1,1557.8477,7500.198987,1.65E-27,0.0359,0.34,-0.01087,0,0,1,0,0.34,0,0,0,0,0,0.0359,0.34,-0.01087,0,0,1,0,0.34,0,0,0,0,0
,,1,1,2495.1659,7500.207785,4.04E-27,0.0649,0.56,-0.00834,0,0,1,0,0.56,0,0,0,0,0,0.0649,0.56,-0.00834,0,0,1,0,0.56,0,0,0,0,0
,,1,1,2904.4283,7500.247861,4.98E-29,0.0782,0.69,0.00083,0,0,1,0,0.69,0,0,0,0,0,0.0782,0.69,0.00083,0,0,1,0,0.69,0,0,0,0,0
,,1,1,3383.2654,7500.249746,1.25E-29,0.0743,0.65,-0.01176,0,0,1,0,0.65,0,0,0,0,0,0.0743,0.65,-0.01176,0,0,1,0,0.65,0,0,0,0,0
,,1,1,1581.336,7500.274675,1.50E-28,0.0642,0.6,0.00516,0,0,1,0,0.6,0,0,0,0,0,0.0642,0.6,0.00516,0,0,1,0,0.6,0,0,0,0,0
,,1,1,2952.3937,7500.29528,4.48E-30,0.0668,0.66,-0.01308,0,0,1,0,0.66,0,0,0,0,0,0.0668,0.66,-0.01308,0,0,1,0,0.66,0,0,0,0,0
,,1,1,325.3479,7500.47127,8.21E-25,0.0882,0.71,0.00203,0,0,1,0,0.71,0,0,0,0,0,0.0882,0.71,0.00203,0,0,1,0,0.71,0,0,0,0,0
,,1,1,4221.0394,7500.485041,4.07E-29,0.0314,0.41,-0.00917,0,0,1,0,0.41,0,0,0,0,0,0.0314,0.41,-0.00917,0,0,1,0,0.41,0,0,0,0,0
,,1,1,503.9681,7500.501492,1.41E-30,0.0849,0.69,-0.00576,0,0,1,0,0.69,0,0,0,0,0,0.0849,0.69,-0.00576,0,0,1,0,0.69,0,0,0,0,0
,,1,1,3495.9392,7500.608695,2.43E-30,0.0902,0.73,-0.00557,0,0,1,0,0.73,0,0,0,0,0,0.0902,0.73,-0.00557,0,0,1,0,0.73,0,0,0,0,0
,,1,1,1557.8444,7500.679005,9.54E-28,0.0358,0.34,-0.00786,0,0,1,0,0.34,0,0,0,0,0,0.0358,0.34,-0.00786,0,0,1,0,0.34,0,0,0,0,0
,,1,1,4049.5361,7500.77432,3.51E-29,0.0898,0.71,-0.01423,0,0,1,0,0.71,0,0,0,0,0,0.0898,0.71,-0.01423,0,0,1,0,0.71,0,0,0,0,0
,,1,1,2414.7234,7500.945411,4.70E-30,0.0569,0.57,-0.00525,0,0,1,0,0.57,0,0,0,0,0,0.0569,0.57,-0.00525,0,0,1,0,0.57,0,0,0,0,0
,,1,1,586.4792,7500.973493,2.42E-29,0.0734,0.65,0,0,0,1,0,0.65,0,0,0,0,0,0.0734,0.65,0,0,0,1,0,0.65,0,0,0,0,0
,,1,1,1114.5323,7500.978245,6.72E-29,0.0743,0.68,0.00633,0,0,1,0,0.68,0,0,0,0,0,0.0743,0.68,0.00633,0,0,1,0,0.68,0,0,0,0,0
,,1,1,1524.8479,7501.107913,1.77E-25,0.0549,0.51,-0.01676,0,0,1,0,0.51,0,0,0,0,0,0.0549,0.51,-0.01676,0,0,1,0,0.51,0,0,0,0,0
,,1,1,586.2435,7501.151405,7.31E-29,0.0734,0.65,0,0,0,1,0,0.65,0,0,0,0,0,0.0734,0.65,0,0,0,1,0,0.65,0,0,0,0,0
,,1,1,3201.9134,7501.169089,4.52E-30,0.1068,0.76,-0.00697,0,0,1,0,0.76,0,0,0,0,0,0.1068,0.76,-0.00697,0,0,1,0,0.76,0,0,0,0,0
,,1,1,552.9114,7501.20505,8.11E-29,0.0781,0.67,0,0,0,1,0,0.67,0,0,0,0,0,0.0781,0.67,0,0,0,1,0,0.67,0,0,0,0,0
,,1,1,1998.9953,7501.220593,2.04E-26,0.0706,0.66,-0.02197,0,0,1,0,0.66,0,0,0,0,0,0.0706,0.66,-0.02197,0,0,1,0,0.66,0,0,0,0,0
,,1,1,206.3014,7501.337394,1.09E-23,0.0872,0.7,-0.00572,0,0,1,0,0.7,0,0,0,0,0,0.0872,0.7,-0.00572,0,0,1,0,0.7,0,0,0,0,0
,,1,1,3323.2698,7501.465473,1.37E-29,0.0486,0.44,-0.01303,0,0,1,0,0.44,0,0,0,0,0,0.0486,0.44,-0.01303,0,0,1,0,0.44,0,0,0,0,0
