Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr
0.0,394397701.9968397,0.0,394397699.1546961,11.356265236199999,11.280144747401739,0.0117996019,0.1039038951,2.9372693245562864,2.9570905575035726,24.7537901993,60.1244957603
1.0,394397901.02433896,198.97643453755822,394397898.13113064,11.3544318994,11.278330329947561,0.0064379763,0.0567001182,2.937743589054231,2.957566283658434,24.7537901993,60.1244957603
2.0,394398097.96799886,397.95286907511644,394398097.10756516,11.3533309054,11.277240697554808,0.0062709214,0.0552341992,2.938028477964106,2.9578520503732553,24.7537901993,60.1244957603
3.0,394398298.4481588,596.9293036126746,394398296.0839997,11.3549900099,11.278882681009335,0.0063964621,0.0563317285,2.937599195660496,2.9574214452978222,24.7537901993,60.1244957603
4.0,394398497.4283188,795.9057381502329,394398495.0604343,11.3520681242,11.275990947291822,0.0067670253,0.0596105066,2.938355298336081,2.9581798775589196,24.7537901993,60.1244957603
5.0,394398697.90847886,994.8821726877911,394398694.0368688,11.352553195499999,11.276471013054293,0.0063120542,0.055600305,2.9382297484443627,2.9580539409182096,24.7537901993,60.1244957603
6.0,394398893.88863885,1193.8586072253493,394398893.01330334,11.352059376700002,11.275982290058526,0.0067897561,0.0598107873,2.938357562529926,2.958182148727202,24.7537901993,60.1244957603
7.0,394399094.2889296,1392.8350417629076,394399091.98973787,11.3513553044,11.275285483144364,0.0064286132,0.0566330012,2.938539815319289,2.9583649628810136,24.7537901993,60.1244957603
8.0,394399291.7690896,1591.8114763004658,394399290.9661724,11.3501384821,11.274081217172801,0.0063419238000000005,0.0558752987,2.9388548494294326,2.958680967191044,24.7537901993,60.1244957603
9.0,394399491.67956287,1790.787910838024,394399489.9426069,11.351582638,11.275510470876286,0.006694239300000001,0.05897185889999999,2.938480966359081,2.958305932664606,24.7537901993,60.1244957603
10.0,394399690.9629048,1989.7643453755823,394399688.91904145,11.3498917871,11.273837067779736,0.0075403118,0.0664350985,2.93891872676066,2.9587450412199723,24.7537901993,60.1244957603
11.0,394399888.4430648,2188.7407799131406,394399887.89547604,11.3514937214,11.275422471812533,0.0059769562,0.0526534774,2.93850398357101,2.9583290207708854,24.7537901993,60.1244957603
12.0,394400088.8433556,2387.7172144506985,394400086.8719106,11.351216474400001,11.275148085735143,0.005847424499999999,0.0515136374,2.9385757548578817,2.958401013110983,24.7537901993,60.1244957603
13.0,394400286.3235156,2586.693648988257,394400285.8483451,11.349439893800001,11.273389837472573,0.0061392784,0.0540932284,2.9390357437847854,2.9588624185548005,24.7537901993,60.1244957603
14.0,394400485.78132343,2785.6700835258152,394400484.8247796,11.3502417834,11.274183452520274,0.006701249499999999,0.059040587900000004,2.938828102199528,2.958654137595977,24.7537901993,60.1244957603
15.0,394400685.17645454,2984.646518063373,394400683.80121416,11.349595626500001,11.273543963202656,0.006661834399999999,0.0586966674,2.938995416006877,2.958821966605355,24.7537901993,60.1244957603
16.0,394400884.03696376,3183.6229526009315,394400882.7776487,11.351046932300001,11.274980293141143,0.0071937510999999996,0.06337522129999999,2.938619646166539,2.9584450395985846,24.7537901993,60.1244957603
17.0,394401083.908321,3382.59938713849,394401081.7540832,11.3473057658,11.271277730690887,0.0069718257,0.0614403616,2.939588498650414,2.959416875070701,24.7537901993,60.1244957603
18.0,394401283.7892438,3581.575821676048,394401280.7305178,11.3460984344,11.270082856968267,0.0067243266,0.0592655408,2.9399012984659647,2.9597306375783217,24.7537901993,60.1244957603
19.0,394401481.5386476,3780.552256213606,394401479.70695233,11.346354404000001,11.270336185400174,0.0061752576,0.0544250368,2.9398349753693456,2.959664110377274,24.7537901993,60.1244957603
20.0,394401680.8486214,3979.5286907511645,394401678.68338686,11.3486271826,11.272585512394928,0.007082453000000001,0.06240801519999999,2.9392462174595084,2.959073540239522,24.7537901993,60.1244957603
21.0,394401881.3287814,4178.505125288722,394401877.6598214,11.344470706300001,11.268471924011422,0.0068487468000000004,0.0603707918,2.9403231215794996,2.9601537586243354,24.7537901993,60.1244957603
22.0,394402081.8089414,4377.481559826281,394402076.6362559,11.3478510987,11.271817436580935,0.007669740899999999,0.0675876062,2.9394472336384894,2.959275175231472,24.7537901993,60.1244957603
23.0,394402278.1793202,4576.457994363839,394402275.61269045,11.3465534708,11.270533198164934,0.0064214189,0.056593563300000004,2.9397833981619956,2.959612374439063,24.7537901993,60.1244957603
24.0,394402478.65948015,4775.434428901397,394402474.58912504,11.346585669000001,11.270565064133011,0.0069341119,0.06111188099999999,2.9397750559402405,2.959604006543318,24.7537901993,60.1244957603
25.0,394402676.4520308,4974.410863438956,394402673.56555957,11.3419231883,11.26595069090639,0.006399613100000001,0.0564244086,2.9409835497938053,2.9608162182655136,24.7537901993,60.1244957603
26.0,394402874.2424704,5173.387297976514,394402872.5419941,11.3453482891,11.269340451828395,0.0069479087,0.0612401533,2.9400956823742685,2.95992561964026,24.7537901993,60.1244957603
27.0,394403074.7226304,5372.363732514072,394403071.5184286,11.3402106101,11.264255782288158,0.0068025929,0.0599864776,2.941427691837292,2.961261725986781,24.7537901993,60.1244957603
28.0,394403271.58320546,5571.3401670516305,394403270.49486315,11.3442618943,11.268265266536945,0.0065309926,0.0575708905,2.9403772436332196,2.9602080471847616,24.7537901993,60.1244957603
29.0,394403471.31336546,5770.316601589188,394403469.4712977,11.3435992879,11.267609496878013,0.0061389866,0.0541185075,2.940548998005937,2.96038032992335,24.7537901993,60.1244957603
30.0,394403669.0259386,5969.293036126746,394403668.4477322,11.3428857473,11.266903318483838,0.0058345270999999995,0.051437767,2.940733977484979,2.9605658783893696,24.7537901993,60.1244957603
