Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr
0.0,394394649.0,0.0,394394651.7759934,11.3865286476,11.310095780681483,0.0100396239,0.0881710676,2.9294625739027067,2.9492596850320694,24.7138091229,18.9122063005
1.0,394394848.73016,198.97936114430973,394394850.7553545,11.3834407904,11.307039802403196,0.0064101936,0.0563115645,2.930257216073516,2.9500567878717154,24.7138091229,18.9122063005
2.0,394395049.21032,397.95872228861947,394395049.7347157,11.3819110243,11.305525829033856,0.006125976700000001,0.0538220399,2.9306510522354623,2.950451843128978,24.7138091229,18.9122063005
3.0,394395246.5057088,596.9380834329293,394395248.7140768,11.3778952431,11.301551503620543,0.006248608100000001,0.0549188403,2.931685413437414,2.9514894047183886,24.7138091229,18.9122063005
4.0,394395446.01473606,795.9174445772389,394395447.693438,11.372495580899999,11.296207579591606,0.0067402183,0.0592677154,2.9330773780063706,2.952885672894225,24.7138091229,18.9122063005
5.0,394395646.49489605,994.8968057215486,394395646.6727991,11.373620723,11.29732110773141,0.0070744828,0.0622007974,2.932787221606669,2.952594619709224,24.7138091229,18.9122063005
6.0,394395843.97505605,1193.8761668658585,394395845.6521603,11.3805886171,11.304217073593021,0.0070171697,0.0616591101,2.9309915894592,2.9507934342252455,24.7138091229,18.9122063005
7.0,394396043.3462407,1392.8555280101682,394396044.6315214,11.380323195799999,11.303954392316566,0.006447953,0.056658786600000004,2.931059948466636,2.950862004758968,24.7138091229,18.9122063005
8.0,394396242.60750085,1591.8348891544779,394396243.6108826,11.3829827258,11.30658646672602,0.006295886600000001,0.0553096388,2.930375133066971,2.950175069901006,24.7138091229,18.9122063005
9.0,394396442.13716286,1790.8142502987876,394396442.5902437,11.3856597868,11.309235890108866,0.0063353831000000005,0.0556435304,2.9296861266210557,2.9494839301202433,24.7138091229,18.9122063005
10.0,394396640.7016003,1989.7936114430972,394396641.5696049,11.383594394500001,11.307191820733234,0.0078885512,0.069297543,2.930217676758705,2.950017126149024,24.7138091229,18.9122063005
11.0,394396838.1817603,2188.772972587407,394396840.548966,11.387476268399999,11.31103361800002,0.005907354399999999,0.0518758877,2.9292187955972757,2.9490151516067353,24.7138091229,18.9122063005
12.0,394397035.6619203,2387.752333731717,394397039.52832717,11.3908800851,11.314402291734606,0.0059507015,0.0522409284,2.928343488002084,2.9481371317495686,24.7138091229,18.9122063005
13.0,394397234.6420803,2586.7316948760267,394397238.5076883,11.3876485781,11.311204148716127,0.0068348601,0.060019941900000005,2.9291744727672864,2.948970691471545,24.7138091229,18.9122063005
14.0,394397434.114457,2785.7110560203364,394397437.4870494,11.385721459900001,11.309296926491728,0.0063130839000000005,0.055447376799999996,2.929670257374114,2.9494680117274754,24.7138091229,18.9122063005
15.0,394397632.4764006,2984.690417164646,394397636.4664106,11.390663161300001,11.314187607631547,0.006457081999999999,0.0566874987,2.9283992553782343,2.948193071972391,24.7138091229,18.9122063005
16.0,394397832.9565606,3183.6697783089558,394397835.4457717,11.3856577745,11.309233898583976,0.0060271065000000006,0.0529359534,2.9296866444134846,2.9494844495162265,24.7138091229,18.9122063005
17.0,394398031.1878718,3382.6491394532654,394398034.4251329,11.3884270724,11.311974605522254,0.0065652498,0.0576484336,2.928974239177849,2.948769837542895,24.7138091229,18.9122063005
18.0,394398231.66803193,3581.628500597575,394398233.404494,11.3869260774,11.310489107329765,0.0063583324,0.055838883799999996,2.929360328949421,2.9491571233819216,24.7138091229,18.9122063005
19.0,394398431.6996884,3780.607861741885,394398432.38385516,11.382535387699999,11.306143746781995,0.0066083291,0.0580567413,2.930490297957715,2.950290591282218,24.7138091229,18.9122063005
20.0,394398630.8666132,3979.5872228861945,394398631.3632163,11.3805790849,11.304207639796953,0.0066273979,0.0582342764,2.9309940444131892,2.9507958967758627,24.7138091229,18.9122063005
21.0,394398829.846773,4178.566584030505,394398830.34257746,11.3825634023,11.306171472170307,0.006378162099999999,0.0560344969,2.930483085477485,2.9502833564766537,24.7138091229,18.9122063005
22.0,394399026.5769528,4377.545945174814,394399029.3219386,11.3818520025,11.305467416545888,0.0063327089,0.0556386513,2.9306662494371336,2.9504670873666936,24.7138091229,18.9122063005
23.0,394399227.0571128,4576.525306319124,394399228.30129975,11.3830105232,11.306613977154797,0.006247602,0.054885322300000004,2.930367977068164,2.95016789175012,24.7138091229,18.9122063005
24.0,394399427.5372728,4775.504667463434,394399427.28066087,11.3819149358,11.305529700153436,0.008430949200000001,0.0740732051,2.9306500450902107,2.9504508328665486,24.7138091229,18.9122063005
25.0,394399625.49531955,4974.484028607743,394399626.26002204,11.382746266400002,11.306352448450586,0.0066739013,0.058631732199999995,2.930436007194314,2.950236132466076,24.7138091229,18.9122063005
27.0,394400022.7079037,5372.442750896363,394400024.2187443,11.3824723203,11.306081330464558,0.0063359725,0.0556642912,2.9305065350632065,2.950306878647283,24.7138091229,18.9122063005
28.0,394400221.6880637,5571.422112040673,394400223.19810545,11.3807194328,11.304346538839587,0.006551171999999999,0.0575637777,2.9309578991711005,2.950759639684516,24.7138091229,18.9122063005
