CIA Pair,S_SO,S_SO_err,S_SO_vary,S_EXCH,S_EXCH_err,S_EXCH_vary,EXCH_b,EXCH_b_err,EXCH_b_vary,EXCH_c,EXCH_c_err,EXCH_c_vary,SO_b,SO_b_err,SO_b_vary,SO_c,SO_c_err,SO_c_vary,SO_shift,SO_shift_err,SO_shift_vary,EXCH_shift,EXCH_shift_err,EXCH_shift_vary
O2_O2,39.99999999999298,5.537991327323547e-12,True,314.9999999999822,8.799889199212975e-12,True,0.0029999999999996293,7.751872800776959e-16,True,3.630000000061591e-06,5.3472207424839225e-17,True,0.00020000000000055488,3.82177811300601e-15,True,1.5000000007589394e-06,2.5886032042835445e-16,True,0,0,False,0,0,False
O2_N2,74.99999999998046,1.3443457716390296e-11,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.00020000000000055488,0.0,True,1.5000000007589394e-06,0.0,True,0,0,False,0,0,False
