molec_id,local_iso_id,nu,sw,elower,a,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,nuVC_self,n_nuVC_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,eta_self,y_self,n_y_self
6,1,4820.591889,4.47E-27,2182.9146,0.0147,0.058,0.59,-0.0096,0,0,1,0,0.59,0,0,0,0,0
6,1,4820.710879,3.43E-27,2182.99,0.01694,0.058,0.59,-0.0096,0,0,1,0,0.59,0,0,0,0,0
6,1,4820.797795,4.83E-27,2183.0935,0.01591,0.058,0.59,-0.0096,0,0,1,0,0.59,0,0,0,0,0
6,1,4820.810474,1.96E-26,950.385,0.0001431,0.065,0.62,-0.0096,0,0,1,0,0.62,0,0,0,0,0
6,1,4821.482148,1.36E-26,950.4872,0.000166,0.065,0.62,-0.0096,0,0,1,0,0.62,0,0,0,0,0
6,1,4821.632548,2.18E-27,950.3368,2.66E-05,0.065,0.62,-0.0096,0,0,1,0,0.62,0,0,0,0,0
6,1,4822.000342,1.06E-26,950.5049,0.0001942,0.065,0.62,-0.0096,0,0,1,0,0.62,0,0,0,0,0
6,1,4822.56332,2.01E-26,1251.8073,0.001062,0.063,0.62,-0.009645,0,0,1,0,0.62,0,0,0,0,0
6,1,4822.906476,3.02E-27,1096.1709,7.01E-05,0.065,0.62,-0.0096,0,0,1,0,0.62,0,0,0,0,0
6,1,4823.21404,1.37E-26,1251.7799,0.001086,0.063,0.62,-0.009646,0,0,1,0,0.62,0,0,0,0,0
6,1,4823.289352,1.95E-26,950.5222,0.0002387,0.065,0.62,-0.0096,0,0,1,0,0.62,0,0,0,0,0
6,1,4823.458276,1.51E-26,1095.6191,0.0003488,0.065,0.62,-0.0096,0,0,1,0,0.62,0,0,0,0,0
6,1,4823.509695,2.15E-26,1095.632,0.0004976,0.065,0.62,-0.0096,0,0,1,0,0.62,0,0,0,0,0
6,1,4824.446647,5.50E-27,2183.7029,0.02727,0.058,0.59,-0.0096,0,0,1,0,0.59,0,0,0,0,0
6,1,4824.446816,8.11E-27,2183.7183,0.02684,0.058,0.59,-0.0096,0,0,1,0,0.59,0,0,0,0,0
