,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,eta_air,eta_air_err,eta_air_vary,y_air_296,y_air_296_err,y_air_296_vary
0,7,1,1422.5,12988.72,0,False,5.058999999999999,0,False,9.999999999999999e-27,0.03,0,False,0.63,-0.01056,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.004168,0,False
1,7,1,1420.76,12990.46,0,False,4.889,0,False,9.999999999999999e-27,0.03,0,False,0.63,-0.01066,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.0037549999999999,0,False
2,7,1,1248.2,12999.96,0,False,11.06,0,False,9.999999999999999e-27,0.03,0,False,0.63,-0.0116815,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.002911,0,False
3,7,1,1246.45,13001.71,0,False,10.65,0,False,9.999999999999999e-27,0.03,0,False,0.63,-0.0117415,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.002665,0,False
4,7,1,1085.2,13010.81,0,False,22.76,0,False,9.999999999999999e-27,0.03,0,False,0.63,-0.011179,0,False,5e-05,0,0,False,1,0.13,0,False,0.63,0,0,False,0,0,0,False,0.002193,0,False
5,7,1,1083.43,13012.58,0,False,21.87,0,False,9.999999999999999e-27,0.04,0,False,0.63,-0.010799,0,False,5e-05,0,0,False,1,0.09,0,False,0.63,0,0,False,0,0,0,False,0.002034,0,False
6,7,1,933.53,13021.29,0,False,44.13999999999999,0,False,9.999999999999999e-27,0.04,0,False,0.63,-0.010477,0,False,5e-05,0,0,False,1,0.15,0,False,0.63,0,0,False,0,0,0,False,0.001751,0,False
7,7,1,931.74,13023.08,0,False,42.25,0,False,9.999999999999999e-27,0.04,0,False,0.63,-0.0115769999999999,0,False,5e-05,0,0,False,1,0.12,0,False,0.63,0,0,False,0,0,0,False,0.001638,0,False
8,7,1,793.21,13031.39,0,False,80.51,0,False,9.999999999999999e-27,0.04,0,False,0.57,-0.010337,0,False,3.1e-05,0,0,False,1,0.18,0,False,0.57,0,0,False,0,0,0,False,0.001455,0,False
9,7,1,791.4,13033.2,0,False,76.73,0,False,9.999999999999999e-27,0.04,0,False,0.69,-0.010116,0,False,4.9e-05,0,0,False,1,0.13,0,False,0.69,0,0,False,0,0,0,False,0.001368,0,False
