trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self
6280812,7,1,12847.18649,4.87E-29,0.01792,2790.8388,57,59,       b      1,       X      1,               , P 29P 29     d,0.0332,0.63,-0.0092,0,0.117223643,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280813,7,1,12848.94318,4.70E-29,0.01715,2789.0821,57,57,       b      1,       X      1,               , P 29Q 28     d,0.0332,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280815,7,1,12858.25644,9.95E-29,0.01804,2629.6432,53,55,       b      1,       X      1,               , P 27P 27     d,0.0354,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280816,7,1,12860.03063,9.57E-29,0.01721,2627.869,53,53,       b      1,       X      1,               , P 27Q 26     d,0.0354,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280817,7,1,12868.92851,1.92E-28,0.01816,2479.6468,49,51,       b      1,       X      1,               , P 25P 25     d,0.0376,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280818,7,1,12870.72034,1.84E-28,0.01726,2477.8549,49,49,       b      1,       X      1,               , P 25Q 24     d,0.0376,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280820,7,1,12879.2046,3.48E-28,0.0183,2340.874,45,47,       b      1,       X      1,               , P 23P 23     d,0.0398,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.042,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280821,7,1,12881.01424,3.32E-28,0.01732,2339.0644,45,45,       b      1,       X      1,               , P 23Q 22     d,0.0398,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.042,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280822,7,1,12889.08636,5.93E-28,0.01845,2213.3478,41,43,       b      1,       X      1,               , P 21P 21     d,0.0417,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.043,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280823,7,1,12890.91404,5.63E-28,0.01737,2211.5201,41,41,       b      1,       X      1,               , P 21Q 20     d,0.0417,0.64,-0.0085,0,0.114055436,0.64,0,0,0,1,0,0,0.043,0.64,0,0,0.12,0.64,0,0,0,1,0,0
