trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self
,7,1,12774.18,4.55E-34,0.02139,5367.87752,,,,,,,P61Q60,0.021191596,0.63,-0.011018278,0,0.117223643,0.63,0,0,0.022577331,1,0,0,0.025247404,0.63,-0.011018278,0,0.123349894,0.63,0,0,0.01879191,1,0,0
,7,1,12790.01,2.32E-33,0.02192,5029.97839,,,,,,,P59P59,0.02132679,0.63,-0.01098448,0,0.117223643,0.63,0,0,0.024368646,1,0,0,0.025382598,0.63,-0.01098448,0,0.123349894,0.63,0,0,0.0189947,1,0,0
,7,1,12791.51,2.29E-33,0.02142,5028.48046,,,,,,,P59Q58,0.02132679,0.63,-0.01098448,0,0.117223643,0.63,0,0,0.022509734,1,0,0,0.025382598,0.63,-0.01098448,0,0.123349894,0.63,0,0,0.0189947,1,0,0
,7,1,12806.89,1.11E-32,0.02197,4701.28301,,,,,,,P57P57,0.021461984,0.63,-0.010916883,0,0.117223643,0.63,0,0,0.024301049,1,0,0,0.02555159,0.63,-0.010916883,0,0.123349894,0.63,0,0,0.019197491,1,0,0
,7,1,12808.4,1.09E-32,0.02146,4699.76833,,,,,,,P57Q56,0.021461984,0.63,-0.010916883,0,0.117223643,0.63,0,0,0.022475936,1,0,0,0.02555159,0.63,-0.010916883,0,0.123349894,0.63,0,0,0.019197491,1,0,0
,7,1,12823.33,5.01E-32,0.02202,4383.32615,,,,,,,P55P55,0.021664774,0.63,-0.010883085,0,0.117223643,0.63,0,0,0.024199654,1,0,0,0.02575438,0.63,-0.010883085,0,0.123349894,0.63,0,0,0.019332684,1,0,0
,7,1,12824.86,4.93E-32,0.02149,4381.7947,,,,,,,P55Q54,0.021664774,0.63,-0.010883085,0,0.117223643,0.63,0,0,0.022408339,1,0,0,0.02575438,0.63,-0.010883085,0,0.123349894,0.63,0,0,0.019332684,1,0,0
,7,1,12839.35,2.15E-31,0.02207,4076.15958,,,,,,,P53P53,0.021867564,0.63,-0.010815488,0,0.117223643,0.63,0,0,0.024132057,1,0,0,0.025957171,0.63,-0.010815488,0,0.123349894,0.63,0,0,0.019467878,1,0,0
,7,1,12840.9,2.11E-31,0.02152,4074.61134,,,,,,,P53Q52,0.021867564,0.63,-0.010815488,0,0.117223643,0.63,0,0,0.022306944,1,0,0,0.025957171,0.63,-0.010815488,0,0.123349894,0.63,0,0,0.019467878,1,0,0
6280812,7,1,12847.18649,4.87E-29,0.01792,2790.8388,57,59,2790.8388,       b      1,       X      1,               , P 29P 29     d,0.0332,0.63,-0.0092,0,0.117223643,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123349894,0.63,0,0,0,1,0,0
6280813,7,1,12848.94318,4.7E-29,0.01715,2789.0821,57,57,2789.0821,       b      1,       X      1,               , P 29Q 28     d,0.0332,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.036,0.63,0,0,0.123349894,0.63,0,0,0,1,0,0
,7,1,12854.95,8.73E-31,0.02212,3779.8333,,,,,,,P51P51,0.022137952,0.63,-0.010714093,0,0.117223643,0.63,0,0,0.023996864,1,0,0,0.026227558,0.63,-0.010714093,0,0.123349894,0.63,0,0,0.019569273,1,0,0
,7,1,12856.51,8.56E-31,0.02155,3778.26826,,,,,,,P51Q50,0.022137952,0.63,-0.010714093,0,0.117223643,0.63,0,0,0.022205548,1,0,0,0.026227558,0.63,-0.010714093,0,0.123349894,0.63,0,0,0.019569273,1,0,0
6280815,7,1,12858.25644,9.95E-29,0.01804,2629.6432,53,55,2629.6432,       b      1,       X      1,               , P 27P 27     d,0.0354,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123349894,0.63,0,0,0,1,0,0
6280816,7,1,12860.03063,9.57E-29,0.01721,2627.869,53,53,2627.869,       b      1,       X      1,               , P 27Q 26     d,0.0354,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.037,0.63,0,0,0.123349894,0.63,0,0,0,1,0,0
6280817,7,1,12868.92851,1.92E-28,0.01816,2479.6468,49,51,2479.6468,       b      1,       X      1,               , P 25P 25     d,0.0376,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123349894,0.63,0,0,0,1,0,0
,7,1,12870.13,3.36E-30,0.02218,3494.39554,,,,,,,P49P49,0.022442137,0.63,-0.010646496,0,0.117223643,0.63,0,0,0.02386167,1,0,0,0.026565542,0.63,-0.010646496,0,0.123349894,0.63,0,0,0.019670668,1,0,0
