Segment Number,Wavenumber (cm-1),Wavenumber + Noise (cm-1),alpha10^-6 cm^-1,alpha + Noise10^-6 cm^-1,CIA (cm-1),Noise (%),Pressure (atm),Temperature (K)
0,6358.972,6358.971999776615,0.0028773030097558774,0.0032190731825389295,0.0,0.04370955801350524,0.3552631578947368,296.0
0,6358.9787719999995,6358.978771900416,0.0036041517162674294,0.0036908336226037725,0.0,0.011085893724654195,0.3552631578947368,296.0
0,6358.985543999999,6358.985543903452,0.002555431395212685,0.0025580066127800873,0.0,0.00032934887425422677,0.3552631578947368,296.0
0,6358.992315999999,6358.992316168448,0.005367094063173147,0.005689181580138047,0.0,0.04119231029894391,0.3552631578947368,296.0
0,6358.999087999999,6358.999087813855,0.0026165759108106243,0.0026952469885120223,0.0,0.01006137547572658,0.3552631578947368,296.0
0,6359.005859999998,6359.005859850795,0.003792722416754167,0.00379040053413271,0.0,-0.0002969494450516007,0.3552631578947368,296.0
0,6359.012631999998,6359.012630953614,0.004331395592173072,0.004006836929556056,0.0,-0.04150834924219464,0.3552631578947368,296.0
0,6359.019403999998,6359.019403718996,0.0033742404629194356,0.0031487661243396864,0.0,-0.02883628961080884,0.3552631578947368,296.0
0,6359.026175999998,6359.026175740557,0.006077297162946081,0.006072863170710689,0.0,-0.000567070669936182,0.3552631578947368,296.0
0,6359.032947999997,6359.032948323113,0.003213312703134924,0.003117650660004545,0.0,-0.012234378412395743,0.3552631578947368,296.0
0,6359.039719999997,6359.039720785906,0.00450968522664808,0.00461910388836208,0.0,0.0139937353309767,0.3552631578947368,296.0
0,6359.046491999997,6359.046491507447,0.004850874976321765,0.004713929119991287,0.0,-0.01751423420962445,0.3552631578947368,296.0
0,6359.0532639999965,6359.053264120211,0.003983738234101893,0.0038443176126308396,0.0,-0.017830736055297315,0.3552631578947368,296.0
0,6359.060035999996,6359.0600351905705,0.006559806332658047,0.0064057693023149825,0.0,-0.01970005298935829,0.3552631578947368,296.0
0,6359.066807999996,6359.06680779246,0.0035879257249702063,0.003672027645784846,0.0,0.010755935068763893,0.3552631578947368,296.0
0,6359.073579999996,6359.073579565666,0.0049924799898135724,0.004754742079328666,0.0,-0.030404698296904217,0.3552631578947368,296.0
0,6359.080351999995,6359.080352846639,0.005130413746401673,0.005291065602282155,0.0,0.02054603407138938,0.3552631578947368,296.0
0,6359.087123999995,6359.087123781533,0.004354022340379614,0.004193024626940654,0.0,-0.020590266371983662,0.3552631578947368,296.0
0,6359.093895999995,6359.093896642385,0.006787982194102911,0.0068224625104540216,0.0,0.004409745226156842,0.3552631578947368,296.0
0,6359.100667999995,6359.100668008902,0.003717053505409397,0.003729263362358456,0.0,0.0015615389906780083,0.3552631578947368,296.0
0,6359.107439999994,6359.107440178575,0.005220187693766383,0.005444585387421398,0.0,0.02869859569382828,0.3552631578947368,296.0
0,6359.114211999994,6359.1142118349035,0.00515297308975507,0.005166569754371018,0.0,0.0017389001385975972,0.3552631578947368,296.0
0,6359.120983999994,6359.12098399831,0.00447060856440021,0.004493720493499602,0.0,0.002955823199981708,0.3552631578947368,296.0
0,6359.1277559999935,6359.1277568579135,0.00675092249757243,0.006709630192348849,0.0,-0.005280941856289963,0.3552631578947368,296.0
0,6359.134527999993,6359.1345284754525,0.003593251710774746,0.0035931540758097217,0.0,-1.2486698687375378e-05,0.3552631578947368,296.0
0,6359.141299999993,6359.141300348566,0.00518803186508966,0.005166086061153367,0.0,-0.0028066855059212118,0.3552631578947368,296.0
0,6359.148071999993,6359.148072579153,0.004917808653522655,0.004901195700344891,0.0,-0.0021246583187353525,0.3552631578947368,296.0
0,6359.154843999992,6359.154844406493,0.004335398613497362,0.00435501449980215,0.0,0.0025087084500194584,0.3552631578947368,296.0
0,6359.161615999992,6359.161616058409,0.0064542340566156875,0.006544680724129778,0.0,0.011567375317286273,0.3552631578947368,296.0
0,6359.168387999992,6359.16838851025,0.003225568178181148,0.0034008758768529074,0.0,0.022420394275223708,0.3552631578947368,296.0
0,6359.175159999992,6359.175159848278,0.004907759002439077,0.004684952274323151,0.0,-0.028495124454773035,0.3552631578947368,296.0
0,6359.181931999991,6359.181932210351,0.004440649717724763,0.0045312159966950875,0.0,0.011582672626126259,0.3552631578947368,296.0
0,6359.188703999991,6359.188704131386,0.003966664196028239,0.003976669799776791,0.0,0.0012796333686647156,0.3552631578947368,296.0
0,6359.195475999991,6359.195475864739,0.005919817455524313,0.0060426111733612505,0.0,0.015704293589407642,0.3552631578947368,296.0
0,6359.2022479999905,6359.20224797651,0.002639130158142336,0.0027401708431985094,0.0,0.012922261908415809,0.3552631578947368,296.0
0,6359.20901999999,6359.2090195387045,0.004407032803727553,0.004187761893118186,0.0,-0.028042922850491425,0.3552631578947368,296.0
0,6359.21579199999,6359.215792416026,0.003752896471980468,0.0035451435603622277,0.0,-0.026569866729172945,0.3552631578947368,296.0
0,6359.22256399999,6359.222564093605,0.0033980561137524285,0.0033768029625647275,0.0,-0.0027181009894573205,0.3552631578947368,296.0
0,6359.229335999989,6359.229336486336,0.005184685910976145,0.005095340071190562,0.0,-0.011426588621155758,0.3552631578947368,296.0
0,6359.236107999989,6359.2361073496595,0.001873777798225149,0.001741121957133619,0.0,-0.01696557699814608,0.3552631578947368,296.0
0,6359.242879999989,6359.242879672048,0.003727888815857454,0.0038859394073637267,0.0,0.02021335402752506,0.3552631578947368,296.0
0,6359.249651999989,6359.249651938147,0.0028998945782220055,0.0028809561063709043,0.0,-0.002422072784532625,0.3552631578947368,296.0
