Segment Number,Wavenumber (cm-1),Wavenumber + Noise (cm-1),Alpha (ppm/cm),Alpha + Noise (ppm/cm),CIA (ppm/cm),Noise (%),Pressure (Torr),Temperature (C)
0,6358.972,6358.971999590322,0.0006670725534208516,0.0016916840263553278,0.0,0.13241564789219826,268.99999999999994,22.850000000000023
0,6358.9787719999995,6358.978772275479,-0.0006331799142269385,-0.0004311990806724952,0.0,0.02610298990730531,268.99999999999994,22.850000000000023
0,6358.985543999999,6358.9855442620565,-0.001669093091888153,-0.002124476326403898,0.0,-0.05885144528486398,268.99999999999994,22.850000000000023
0,6358.992315999999,6358.992315694691,0.0008634834898171468,0.0004394242159188129,0.0,-0.05480329371788516,268.99999999999994,22.850000000000023
0,6358.999087999999,6358.999088102774,-0.0017523362916700667,-0.0025133535594824806,0.0,-0.0983500548612104,268.99999999999994,22.850000000000023
0,6359.005859999998,6359.005860120081,-0.0002673263939781072,-0.0005697759964478881,0.0,-0.0390870697075778,268.99999999999994,22.850000000000023
0,6359.012631999998,6359.012632158089,-0.001706073342516005,-0.0014376756238300055,0.0,0.03468637503229223,268.99999999999994,22.850000000000023
0,6359.019403999998,6359.019405517142,-0.0025336769676830477,-0.0027867613759558216,0.0,-0.03270735959736426,268.99999999999994,22.850000000000023
0,6359.026175999998,6359.026176092464,-7.912138488064984e-05,-0.0002479937728165398,0.0,-0.02182422044874322,268.99999999999994,22.850000000000023
0,6359.032947999997,6359.032948417786,-0.002693930240875113,-0.002612384645894587,0.0,0.010538543708842166,268.99999999999994,22.850000000000023
0,6359.039719999997,6359.039719746854,-0.001097125496441725,-0.00069765440163511,0.0,0.05162564077242807,268.99999999999994,22.850000000000023
0,6359.046491999997,6359.0464918500975,-0.0026577214191231815,-0.00310222264049541,0.0,-0.057445108484200154,268.99999999999994,22.850000000000023
0,6359.0532639999965,6359.053263702666,-0.0032619545599325214,-0.0037752006648983463,0.0,-0.06632935245450158,268.99999999999994,22.850000000000023
0,6359.060035999996,6359.060035519368,-0.0008843009755837751,-0.00035034783229607623,0.0,0.06900542623246413,268.99999999999994,22.850000000000023
0,6359.066807999996,6359.066807476151,-0.003475622909674483,-0.00368283425525654,0.0,-0.02677895504847321,268.99999999999994,22.850000000000023
0,6359.073579999996,6359.0735801169,-0.0017650033138082821,-0.0010890496404796324,0.0,0.08735686254085936,268.99999999999994,22.850000000000023
0,6359.080351999995,6359.0803516462365,-0.0034317858757134676,-0.0025443328983950383,0.0,0.11468997182797995,268.99999999999994,22.850000000000023
0,6359.087123999995,6359.087124411613,-0.0038002060283077307,-0.0041427101047392546,0.0,-0.04426350903187626,268.99999999999994,22.850000000000023
0,6359.093895999995,6359.0938954317635,-0.0014997963530205048,-0.0017575991545075334,0.0,-0.03331714107159107,268.99999999999994,22.850000000000023
0,6359.100667999995,6359.100667964863,-0.004047233830110783,-0.003502883141530259,0.0,0.07034915283792052,268.99999999999994,22.850000000000023
0,6359.107439999994,6359.10743905122,-0.0022233488978361427,-0.002228175460058717,0.0,-0.0006237606943476648,268.99999999999994,22.850000000000023
0,6359.114211999994,6359.114212254355,-0.0039822863647824645,-0.004600465928031027,0.0,-0.07989042631626793,268.99999999999994,22.850000000000023
0,6359.120983999994,6359.120984279456,-0.0041056811714729495,-0.0035348525979933083,0.0,0.07377102188423351,268.99999999999994,22.850000000000023
