Iterations,gamma0_air,delta0_air,SD_gamma_air,SD_delta_air,nuVC_air,y_air,gamma0_air_fit,gamma0_air_fit_err,delta0_air_fit,delta0_air_fit_err,nuVC_air_fit,nuVC_air_fit_err,SD_gamma_air_fit,SD_gamma_air_fit_err,SD_delta_air_fit,SD_delta_air_fit_err,QF_1,QF_2,QF_3,QF_4,QF_5,QF_6,QF_7,QF_8
0,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07468094416080544,2.056315037146125e-05,-0.005445580153001053,2.844405798855995e-05,7.587261160824887e-18,0.00027182163613066534,0.1048385050567332,0.0,0.04563472084771422,0.013339281776317989,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
1,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07468758682013457,2.060825749449281e-05,-0.00537288022091155,2.8576478718180055e-05,5.8940223550757775e-05,0.0002736236069719287,0.1062108757209258,0.0,0.04978490606451426,0.013509668603664387,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0
2,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.0745940995588531,1.9978123080639014e-05,-0.005404555129673593,2.7525908440699345e-05,1.7953836565250514e-06,0.0002624543002305439,0.1033090788828051,0.0,0.06042792497796664,0.013045528461153888,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0
3,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07458617632275294,2.042478955985373e-05,-0.005418077063086169,2.8019716109081946e-05,0.00027838037011695407,0.00026788981955145106,0.1017961736154946,0.0,0.03553635736224698,0.01343894600733047,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
4,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07461000046587651,2.1402926255672175e-05,-0.005401866332486313,2.942312779257504e-05,0.0005186805140070116,0.000282178707802848,0.1024073098302417,0.0,0.07792308005244257,0.014060839716041027,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
5,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07462780918018434,2.03362906794451e-05,-0.005361980134324176,2.800097301914607e-05,0.0007113795554349923,0.00026923887550726444,0.1025266108548199,0.0,0.04212078100613425,0.013598082514094341,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
6,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07467376254127879,1.984994004586856e-05,-0.005461585392870672,2.7448565414503072e-05,2.984318181018406e-19,0.00026229203327159665,0.1048567522198624,0.0,0.05288764291443249,0.012814476302289412,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
7,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07455775380961613,2.078568905076311e-05,-0.005435138187772578,2.8554990020452057e-05,5.558013522378234e-05,0.00027207127852454347,0.1022235546855825,0.0,0.055923879028418416,0.013536058491379645,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
8,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.0744696166982648,2.020173538352579e-05,-0.005398608535932226,2.754453428712888e-05,0.0003023237309719793,0.00026231651067300157,0.0984093896771418,0.0,0.06277590805327818,0.013372371790695404,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
9,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07466753044112003,2.0122409139536088e-05,-0.0054063567100668935,2.782306291877773e-05,3.14839458228162e-07,0.00026588446071457216,0.1048041550221413,0.0,0.036176938033904406,0.01316822640288888,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
10,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07460700397237034,1.945819473904271e-05,-0.005447120805452696,2.674247321945662e-05,2.4180137348711677e-05,0.00025478832115518934,0.1021616998185594,0.0,0.07936930328519415,0.012595215559222678,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
11,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07455302266998948,2.1459359018191548e-05,-0.005410309639612263,2.9323638090341026e-05,0.000821037171659813,0.0002814502448431059,0.0992261144302362,0.0,0.05976282379190068,0.014277882176225578,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
12,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07454422674159107,2.001671227083179e-05,-0.00542218776444588,2.741078978151057e-05,0.0012116690544116636,0.0002644367123660418,0.1003200383291604,0.0,0.06804250382447302,0.013312632448034649,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
13,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07461894524114134,2.1847644706026598e-05,-0.005415537621700014,3.007842475250248e-05,0.0006108050197267794,0.0002889658758227527,0.1026315660433709,0.0,0.043943415472440926,0.014435948163556152,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0
14,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07454994048222692,2.0437139303043944e-05,-0.005384401307548771,2.795236354231823e-05,0.0007553983623570636,0.0002682921282124215,0.0998909236256495,0.0,0.04341593415170205,0.01366439452587113,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
15,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.0746060180688341,2.055662279739194e-05,-0.005449981640156935,2.8058557257503608e-05,0.0019722061664640086,0.00027308118506399684,0.0988472475529469,0.0,0.06283028153054146,0.013807040296951956,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
16,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.0745396325682413,2.0554230342423873e-05,-0.005410524033322754,2.8143982559402575e-05,0.0007897442816346048,0.0002702915706198563,0.1003620345896693,0.0,0.055424809795709455,0.0136439572393741,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
17,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07458695173251578,2.1057942606517873e-05,-0.005455722906105359,2.8963807967648577e-05,0.0004100603425208811,0.00027730300875914257,0.1028568584603062,0.0,0.06234035739568438,0.01369554681102355,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
18,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07460484195940349,1.991520478461082e-05,-0.005383533393206017,2.7398068046873648e-05,0.0006903545868812206,0.00026337423322898287,0.1028482476360573,0.0,0.05597789392482126,0.013197908192569522,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0
19,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07450899213267073,2.115756851741938e-05,-0.005434135437220668,2.8778635076860395e-05,0.0014546459233999245,0.0002779274987527713,0.0974615399972714,0.0,0.05369165055192915,0.014194257007477604,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
20,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07460345189307964,2.067615468804901e-05,-0.005440799812431493,2.836955808175984e-05,0.0008971002737984581,0.00027308585745884764,0.1013731979811751,0.0,0.05108306102718276,0.013657110509354867,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
