Spectrum Number,Spectrum Name,Wavenumber (cm-1),Pressure (atm),Temperature (K),alpha10^-6 cm^-1,Model10^-6 cm^-1,Residuals10^-6 cm^-1,QF,Background,CIA (cm-1)
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6358.972033,0.07374655228947367,296.27630354999997,1.967598304,1.9667232508872414,0.0008750531127585948,1461.0,1.9663990432631173,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6358.978807,0.07374655228947367,296.27630354999997,1.967061186,1.9671969586503855,-0.00013577265038544617,1461.0,1.9669040534110838,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6358.985581,0.07374655228947367,296.27630354999997,1.965040923,1.9650998517842684,-5.892878426827508e-05,1461.0,1.9648312357356614,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6358.992355,0.07374655228947367,296.27630354999997,1.967526417,1.9679444308917178,-0.00041801389171780556,1461.0,1.9676892836300912,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6358.999128,0.07374655228947367,296.27630354999997,1.965298155,1.9653914393100314,-9.328431003141624e-05,1461.0,1.9651451469200065,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.005902,0.07374655228947367,296.27630354999997,1.968350162,1.9675639880091873,0.0007861739908125998,1461.0,1.9673237738578366,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.012676,0.07374655228947367,296.27630354999997,1.968217179,1.967871980580684,0.0003451984193161284,1461.0,1.9676337272283873,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.01945,0.07374655228947367,296.27630354999997,1.966308393,1.9659946955997827,0.0003136974002173609,1461.0,1.9657482337337044,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.026223,0.07374655228947367,296.27630354999997,1.968730331,1.9688494736241708,-0.00011914262417089816,1461.0,1.9685827399683227,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.01945,0.07374735035526316,296.2757137,1.965917738,1.9659946955997827,-7.695759978276762e-05,1461.0,1.9657482337337044,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.026223,0.07374735035526316,296.2757137,1.968605709,1.9688494736241708,-0.0002437646241708613,1461.0,1.9685827399683227,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.032997,0.07374735035526316,296.2757137,1.965639506,1.96627406447064,-0.0006345584706399787,1461.0,1.9660078618701224,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.039771,0.07374735035526316,296.2757137,1.967773532,1.9686140921910835,-0.0008405601910834726,1461.0,1.968377879494655,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.046545,0.07374735035526316,296.2757137,1.969162565,1.9686938210721197,0.0004687439278803218,1461.0,1.9684800312307562,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.053318,0.07374735035526316,296.2757137,1.967014086,1.9669821158617218,3.197013827827e-05,1461.0,1.9667783530866692,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.060092,0.07374735035526316,296.2757137,1.969365886,1.9697629028161985,-0.00039701681619841445,1461.0,1.9695633271096165,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.066866,0.07374735035526316,296.2757137,1.966644685,1.9671594170763322,-0.0005147320763323471,1461.0,1.9669584929932524,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.07364,0.07374735035526316,296.2757137,1.968812311,1.9697112169078212,-0.000898905907821268,1461.0,1.9694967861402237,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.080413,0.07374735035526316,296.2757137,1.969423087,1.9696200531475077,-0.00019696614750763786,1461.0,1.9693788784537778,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.087187,0.07374735035526316,296.2757137,1.967655491,1.9680982931497377,-0.00044280214973779763,1461.0,1.9678557813042539,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.093961,0.07374735035526316,296.2757137,1.970340103,1.9707750485802373,-0.00043494558023726704,1461.0,1.9705639948967206,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.100735,0.07374735035526316,296.2757137,1.967584255,1.9681188125610718,-0.0005345575610717912,1461.0,1.967929599712015,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.107508,0.07374735035526316,296.2757137,1.970258298,1.9707934318728733,-0.0005351338728731836,1461.0,1.9706111759703828,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.114282,0.07374735035526316,296.2757137,1.970334752,1.97044605994974,-0.00011130794973990277,1461.0,1.9702611231727403,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.121056,0.07374735035526316,296.2757137,1.96892156,1.9691139939060582,-0.0001924339060581648,1461.0,1.9689111418464953,0.0
1,spectrum_CO2_Air_1%Ar_56Torr_03_formatted_R16e,6359.127829,0.07374735035526316,296.2757137,1.971383384,1.9717525048318092,-0.0003691208318092887,1461.0,1.9715162076705217,0.0
