Iterations,gamma0_air,delta0_air,SD_gamma_air,SD_delta_air,nuVC_air,y_air,gamma0_air_fit,gamma0_air_fit_err,delta0_air_fit,delta0_air_fit_err,nuVC_air_fit,nuVC_air_fit_err,SD_gamma_air_fit,SD_gamma_air_fit_err,SD_delta_air_fit,SD_delta_air_fit_err,QF_1,QF_2,QF_3,QF_4,QF_5,QF_6,QF_7,QF_8,QF_9,QF_10,QF_11
0,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07457655842375169,6.005411241654505e-06,-0.0054246276516749055,7.762680283442391e-06,0.0008592010801808668,7.448038689916515e-05,0.1004824640855045,0.0,0.055254923689842174,0.00399402272220854,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
1,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07464264427787855,1.5944542224771737e-05,-0.005412211341476984,2.0791810452585472e-05,1.8911147619525476e-05,0.0001979626725170298,0.104108551146519,0.0,0.057972331260818535,0.010436532817408981,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
2,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07465076264098627,2.171123724454017e-05,-0.00541287558884694,2.831987213918962e-05,5.215215487817256e-13,0.00026962378537705156,0.1044121933592502,0.0,0.05530701773763028,0.014200881719116454,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
3,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07459999265775218,6.070008739397589e-06,-0.005424821594257224,7.877318918293262e-06,0.0004573283260042219,7.529154701278935e-05,0.1023582536716455,0.0,0.061536951950436465,0.00399439690053816,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
4,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07457448980840825,2.145247636942352e-05,-0.005427365400784599,2.7734275498723965e-05,0.0007100435891051776,0.00026570789585211066,0.1008544880564003,0.0,0.05088041395691569,0.014222965107426943,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
5,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07459617291956057,7.743275675043608e-06,-0.005406029799111489,1.0025111314799138e-05,0.0007678030964071076,9.613858387391263e-05,0.1014288249481232,0.0,0.049432845942688965,0.005154962528217007,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
6,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07453339724116985,5.95703280689194e-06,-0.005419295805534474,7.673959368823008e-06,0.0010545149443992729,7.37215951856713e-05,0.0989082327500002,0.0,0.05356083123223086,0.003989694308538774,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
7,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07451553189059514,6.107761645082734e-06,-0.005407639031418419,7.848052274011702e-06,0.00118021333981648,7.549420902355689e-05,0.0982216242535089,0.0,0.061943012547178836,0.004101409497775435,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
8,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07455906325774757,6.0724481220191094e-06,-0.005411631154312194,7.841368906842828e-06,0.0009091488935792333,7.525796215026877e-05,0.1001358504416876,0.0,0.05266031906839427,0.004054483564855444,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
9,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07462413468253215,4.419860154505541e-05,-0.005430156168120518,5.698115191752516e-05,0.0008774508998178968,0.0005469625627413668,0.0998613266819143,0.0,0.08868266022712956,0.029189420680784704,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
