,local_lower_quanta,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,sw_1,sw_1_err,sw_1_vary,sw_2,sw_2_err,sw_2_vary,sw_3,sw_3_err,sw_3_vary,sw_4,sw_4_err,sw_4_vary,sw_5,sw_5_err,sw_5_vary,sw_6,sw_6_err,sw_6_vary,sw_7,sw_7_err,sw_7_vary,sw_8,sw_8_err,sw_8_vary,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,eta_air,eta_air_err,eta_air_vary,y_air,y_air_err,y_air_vary,n_y_air
0,R12f,2,1,2137.901,6357.806314,0.0,False,0.00018,0.0,False,1.0000000000000001e-23,0.00018,0.0,False,0.00018,0.0,False,0.00018,0.0,False,0.00018,0.0,False,0.00018,0.0,False,0.00018,0.0,False,0.00018,0.0,False,0.00018,0.0,False,0.0766,0.0,False,0.68,-0.005134,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
1,R1e,2,1,668.1612,6357.834075,0.0,False,0.00971,0.0,False,1.0000000000000001e-23,0.00971,0.0,False,0.00971,0.0,False,0.00971,0.0,False,0.00971,0.0,False,0.00971,0.0,False,0.00971,0.0,False,0.00971,0.0,False,0.00971,0.0,False,0.0903,0.0,False,0.69,-0.003072,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
2,R13e,2,1,2147.9062,6358.321449,0.0,False,0.000185,0.0,False,1.0000000000000001e-23,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.0759,0.0,False,0.68,-0.005266,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
3,R16e,2,1,1494.3071,6358.542184,0.0,False,0.00502,0.0,False,1.0000000000000001e-23,0.00502,0.0,False,0.00502,0.0,False,0.00502,0.0,False,0.00502,0.0,False,0.00502,0.0,False,0.00502,0.0,False,0.00502,0.0,False,0.00502,0.0,False,0.074,0.0,False,0.7,-0.00563,0.0,False,0.0,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
4,R2f,2,1,669.7274,6358.604745,0.0,False,0.0172,0.0,False,1.0000000000000001e-23,0.0172,0.0,False,0.0172,0.0,False,0.0172,0.0,False,0.0172,0.0,False,0.0172,0.0,False,0.0172,0.0,False,0.0172,0.0,False,0.0172,0.0,False,0.088,0.0,False,0.7,-0.003261,0.0,False,0.0,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
5,P38e,2,1,578.0116,6358.637202,0.0,False,0.000571,0.0,False,1.0000000000000001e-23,0.000571,0.0,False,0.000571,0.0,False,0.000571,0.0,False,0.000571,0.0,False,0.000571,0.0,False,0.000571,0.0,False,0.000571,0.0,False,0.000571,0.0,False,0.0676,0.0,False,0.75,-0.006464,0.0,False,0.0,0.0,0.0,False,0.75,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
6,R14e,2,1,81.9401,6358.654324,0.0,False,1.75,0.0,False,1.0000000000000001e-23,1.75,0.0,False,1.75,0.0,False,1.75,0.0,False,1.75,0.0,False,1.75,0.0,False,1.75,0.0,False,1.75,0.0,False,1.75,0.0,False,0.075301615,0.0,False,0.68,-0.005392,0.0,False,0.0,0.077140996,0.0,False,0.68,0.0,0.0,False,0.0,0.005580231,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
7,Q13f,2,1,1406.4103,6358.658686,0.0,False,0.000103,0.0,False,1.0000000000000001e-23,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.0766,0.0,False,0.68,-0.005663,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
8,Q12e,2,1,1396.2282,6358.7472,0.0,False,0.000117,0.0,False,1.0000000000000001e-23,0.000117,0.0,False,0.000117,0.0,False,0.000117,0.0,False,0.000117,0.0,False,0.000117,0.0,False,0.000117,0.0,False,0.000117,0.0,False,0.000117,0.0,False,0.0774,0.0,False,0.68,-0.005559,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
9,Q11f,2,1,1386.8291,6358.827808,0.0,False,0.000133,0.0,False,1.0000000000000001e-23,0.000133,0.0,False,0.000133,0.0,False,0.000133,0.0,False,0.000133,0.0,False,0.000133,0.0,False,0.000133,0.0,False,0.000133,0.0,False,0.000133,0.0,False,0.0782,0.0,False,0.68,-0.005449,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
