Spectrum Number,Segment Number,Pressure,Pressure_err,Pressure_vary,Temperature,Temperature_err,Temperature_vary,x_shift,x_shift_err,x_shift_vary,molefraction_CO2,molefraction_CO2_err,molefraction_CO2_vary,baseline_a,baseline_a_err,baseline_a_vary,baseline_b,baseline_b_err,baseline_b_vary,etalon_1_amp,etalon_1_amp_err,etalon_1_amp_vary,etalon_1_period,etalon_1_period_err,etalon_1_period_vary,etalon_1_phase,etalon_1_phase_err,etalon_1_phase_vary,etalon_2_amp,etalon_2_amp_err,etalon_2_amp_vary,etalon_2_period,etalon_2_period_err,etalon_2_period_vary,etalon_2_phase,etalon_2_phase_err,etalon_2_phase_vary,etalon_3_amp,etalon_3_amp_err,etalon_3_amp_vary,etalon_3_period,etalon_3_period_err,etalon_3_period_vary,etalon_3_phase,etalon_3_phase_err,etalon_3_phase_vary
1,0,0.0736842105263158,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,-1.4606517958868844e-06,1.4509491327070928e-05,True,3.7463573245019873e-06,1.2811339182524049e-05,True,0.004313067050866526,1.0121070022217908e-05,True,1.1682146199561343,0.0007048647930848592,True,0.0666176333098451,0.004822254692354125,True,0.0013772028014311037,1.003004417295219e-05,True,59.3792927225651,0.002002776565352472,True,0.2053585649425303,0.014469462870626611,True,0.0004793902763803789,1.0049603018371163e-05,True,29.757210515395315,0.005734977616089516,True,0.6106186096601813,0.04167859134707371,True
2,0,0.1092105263157894,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,2.2164095003527455e-05,1.4303104503469402e-05,True,-2.0488701849292694e-05,1.2370328478471428e-05,True,0.00431530039325789,1.014980143150927e-05,True,1.1690357632719581,0.0007033498194519875,True,0.39805956371204765,0.004966055659808506,True,0.0013732971689767298,1.0021960914312646e-05,True,59.38189659738089,0.002009092541013669,True,0.1315005520762425,0.014516293408494233,True,0.00046957456022899503,1.0043544480823414e-05,True,29.7477622511766,0.005861453691067643,True,0.7974857930029731,0.04260485578969816,True
3,0,0.1328947368421052,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,-8.666658512673701e-06,1.4803432449039249e-05,True,2.3574031730854496e-06,1.2650792337559794e-05,True,0.004329529564709956,1.0202739140119871e-05,True,1.1695173063483868,0.0007011318584764512,True,0.8821306608275971,0.005186035708543771,True,0.0013699098637847624,1.0028455447301593e-05,True,59.380410177782025,0.0020094452231601404,True,0.8385238726646074,0.014538859021103977,True,0.000467180536940348,1.0047129946818782e-05,True,29.75555493528136,0.005880176537414908,True,0.5076674768114257,0.042728089822555826,True
4,0,0.1421052631578947,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,5.012511603660493e-06,1.4978667558696956e-05,True,-1.4167897068235403e-05,1.2808375301712827e-05,True,0.004333051203502803,1.0220857423464882e-05,True,1.1682764104140322,0.0007016727935968119,True,0.9761751048510863,0.0052174372553063,True,0.0013822328011327267,1.0019662534324918e-05,True,59.379516770365655,0.001995484518496769,True,0.20762941003366764,0.014413463279176376,True,0.00044874383095480245,1.0049208099375439e-05,True,29.7577205649002,0.00611665716018901,True,0.1444158107657879,0.04440920018590321,True
5,0,0.2,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,-1.0595147953151876e-05,1.4399414860585713e-05,True,1.961006739175594e-05,1.2339622508089001e-05,True,0.004301670060185011,1.0279266742033571e-05,True,1.167860747694325,0.0007069058960364088,True,0.5346135338358812,0.005058828692158609,True,0.0013857181069140295,1.0021531450161755e-05,True,59.37888854563907,0.0019882030006218646,True,0.5651477890876614,0.014362392542767768,True,0.00046445409726460885,1.0043542400074326e-05,True,29.761233545878,0.005920757857914607,True,0.637505292430336,0.04302345806817572,True
6,0,0.2434210526315789,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,2.7693845015303393e-06,1.455365520033967e-05,True,-2.8346884721244773e-06,1.2763030528516272e-05,True,0.004292681370619972,1.0308270456307322e-05,True,1.1678912376415045,0.0007089502977917962,True,0.09544608927231256,0.004873250715042795,True,0.0013397629840370094,1.0015994636452017e-05,True,59.379971029517286,0.0020597716499133655,True,0.05905146004275773,0.014885012394418957,True,0.0004510868161418243,1.0045257587193411e-05,True,29.738741277858242,0.0060914084163820655,True,0.4491029070439483,0.044245888267177666,True
7,0,0.3539473684210525,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,-1.793860562863601e-05,1.4489858040146878e-05,True,2.1379543645780943e-05,1.2367658730690672e-05,True,0.004349441425086941,1.0429283857412418e-05,True,1.1676818515847687,0.0007006708026605151,True,0.4258282169826604,0.004963284405868569,True,0.0013618911328960772,1.0024296224295584e-05,True,59.38148132484424,0.002021146235783798,True,0.8156705008148623,0.014621448456878797,True,0.0004663727148275711,1.0040814758186756e-05,True,29.754275709366798,0.005886288010074017,True,0.3204987030389789,0.04274739039646661,True
8,0,0.3552631578947368,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,2.2097400334406774e-06,1.4653374975408917e-05,True,1.829977266037787e-05,1.2781128217840301e-05,True,0.004330311345568762,1.039813893691234e-05,True,1.1679315468721765,0.0007035250165403338,True,0.0877335840643708,0.004842597785068454,True,0.0013801351700696604,1.0023799529372481e-05,True,59.37823385034409,0.001994784087713716,True,0.8942521800891254,0.014435757041258575,True,0.00045439846892883,1.0037489995350381e-05,True,29.750547183258476,0.00604864272697923,True,0.603086277380053,0.04394927081890527,True
9,0,0.006578947368421,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,-2.3223945833121295e-06,1.438918001630119e-05,True,2.1330072392978704e-06,1.2649723122281801e-05,True,0.004320710326030789,1.0029049967355515e-05,True,1.1679662208830366,0.0007035644645790107,True,0.15986423115994278,0.004846936746041294,True,0.0013774301786250059,1.0024285407961546e-05,True,59.3795746391618,0.001999883155007,True,0.6028255575992891,0.014448993684202046,True,0.0004559564812200963,1.0062507459312718e-05,True,29.749711532004568,0.006024148061965393,True,0.4622344148878161,0.04376191719004921,True
10,0,0.0131578947368421,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,-2.583924102074477e-06,1.4355251414510407e-05,True,3.7183987657175452e-06,1.2345051822150208e-05,True,0.004317433572578917,1.0009545522322732e-05,True,1.1682565620349947,0.0007036475095638042,True,0.5800019472450151,0.0050606586858441965,True,0.0013750278122246552,1.001977663973561e-05,True,59.379454719824764,0.0020059259113939525,True,0.2164267439640969,0.014488119302514167,True,0.00045982961367711187,1.0055230143219485e-05,True,29.75172987111252,0.005970675184425958,True,0.14914780688659285,0.043345876757965675,True
11,0,0.0328947368421052,0.0,False,296.40000000000003,0.0,False,0.0,0.0,False,0.0004254,0.0,False,2.011100482504039e-06,1.4281463243264257e-05,True,-2.713885220202757e-06,1.2382053384198084e-05,True,0.004319836369470587,1.0034787878165611e-05,True,1.1680096848629882,0.000703502825060841,True,0.3900520566639743,0.004958085778828065,True,0.001371785254973337,1.002546364782811e-05,True,59.378678351555074,0.002010967543024807,True,0.1574882870759308,0.014529588743218113,True,0.0004528565688573634,1.0055706002456545e-05,True,29.746592281874552,0.00607089666710348,True,0.6210781567965844,0.044122074601384856,True
