Band,Exchange (cm-1 amagat-2),Header Value (cm-1 amagat-2),Spin Orbit (cm-1 amagat-2),Temperature,Wavenumber (cm-1),Exchange Area,Exchange Normalized,Spin Orbit Area,Spin Orbit Normalized,Ratio Exchange to Spin Orbit Areas,Exchange (cm-1 amagat-2) Area,Exchange (cm-1 amagat-2) Normalized,Spin Orbit (cm-1 amagat-2) Area,Spin Orbit (cm-1 amagat-2) Normalized,SO Temp Dep - a,SO Temp Dep - a err,SO Temp Dep - b,SO Temp Dep - b err,SO Temp Dep - c,SO Temp Dep - c err,SO Temp Dep - d,SO Temp Dep - d err,SO Temp Dep - err,EXCH Temp Dep - a,EXCH Temp Dep - a err,EXCH Temp Dep - b,EXCH Temp Dep - b err,EXCH Temp Dep - c,EXCH Temp Dep - c err,EXCH Temp Dep - d,EXCH Temp Dep - d err,EXCH Temp Dep - err
A Band,3.30E-09,1.46E-07,1.00E-11,296,12802,3.94E-05,8.36E-05,6.21E-06,1.61E-06,6.351227236,3.94E-05,8.36E-05,6.21E-06,1.61E-06,1,0,0.02038793,1.19E-05,0.000143677,1.94E-07,3.44E-07,3.44E-09,0.000873174,1,0,0.008506727,1.27E-06,1.07E-05,2.08E-08,-3.78E-08,3.69E-10,9.40E-05
A Band,3.30E-09,1.46E-07,1.00E-11,296,12802.1,3.94E-05,8.38E-05,6.21E-06,1.62E-06,6.351227236,3.94E-05,8.38E-05,6.21E-06,1.62E-06,1,0,0.020374157,1.25E-05,0.000143425,2.04E-07,3.43E-07,3.61E-09,0.000914362,1,0,0.008505283,1.35E-06,1.07E-05,2.21E-08,-3.75E-08,3.92E-10,9.92E-05
A Band,3.31E-09,1.46E-07,1.01E-11,296,12802.2,3.94E-05,8.39E-05,6.21E-06,1.62E-06,6.351227236,3.94E-05,8.39E-05,6.21E-06,1.62E-06,1,0,0.020358659,1.29E-05,0.000143189,2.10E-07,3.42E-07,3.73E-09,0.000931473,1,0,0.00850222,2.30E-06,1.08E-05,3.76E-08,-3.67E-08,6.66E-10,0.000168883
A Band,3.31E-09,1.46E-07,1.01E-11,296,12802.3,3.94E-05,8.40E-05,6.21E-06,1.63E-06,6.351227236,3.94E-05,8.40E-05,6.21E-06,1.63E-06,1,0,0.020346327,1.24E-05,0.000143042,2.03E-07,3.42E-07,3.59E-09,0.00089741,1,0,0.008498214,1.14E-06,1.06E-05,1.87E-08,-3.81E-08,3.31E-10,8.55E-05
A Band,3.32E-09,1.46E-07,1.01E-11,296,12802.4,3.94E-05,8.42E-05,6.21E-06,1.63E-06,6.351227236,3.94E-05,8.42E-05,6.21E-06,1.63E-06,1,0,0.020332666,1.31E-05,0.000142798,2.14E-07,3.41E-07,3.79E-09,0.000946126,1,0,0.00849419,1.96E-06,1.07E-05,3.21E-08,-3.70E-08,5.68E-10,0.000146644
A Band,3.32E-09,1.46E-07,1.02E-11,296,12802.5,3.94E-05,8.43E-05,6.21E-06,1.64E-06,6.351227236,3.94E-05,8.43E-05,6.21E-06,1.64E-06,1,0,0.020319326,1.42E-05,0.000142624,2.33E-07,3.40E-07,4.13E-09,0.001017706,1,0,0.008488917,1.44E-06,1.06E-05,2.35E-08,-3.79E-08,4.17E-10,0.000102321
A Band,3.33E-09,1.46E-07,1.02E-11,296,12802.6,3.94E-05,8.44E-05,6.21E-06,1.65E-06,6.351227236,3.94E-05,8.44E-05,6.21E-06,1.65E-06,1,0,0.02029813,1.16E-05,0.000142028,1.89E-07,3.36E-07,3.35E-09,0.000857182,1,0,0.008486102,1.47E-06,1.06E-05,2.41E-08,-3.71E-08,4.27E-10,0.000108011
A Band,3.33E-09,1.46E-07,1.03E-11,296,12802.7,3.94E-05,8.45E-05,6.21E-06,1.65E-06,6.351227236,3.94E-05,8.45E-05,6.21E-06,1.65E-06,1,0,0.020283694,1.22E-05,0.000141802,1.99E-07,3.35E-07,3.52E-09,0.000899275,1,0,0.008483483,1.74E-06,1.07E-05,2.85E-08,-3.64E-08,5.05E-10,0.000129369
A Band,3.34E-09,1.46E-07,1.03E-11,296,12802.8,3.94E-05,8.47E-05,6.21E-06,1.66E-06,6.351227236,3.94E-05,8.47E-05,6.21E-06,1.66E-06,1,0,0.020270324,1.12E-05,0.000141673,1.83E-07,3.35E-07,3.25E-09,0.000820776,1,0,0.008477907,1.25E-06,1.05E-05,2.05E-08,-3.84E-08,3.63E-10,9.27E-05
A Band,3.34E-09,1.46E-07,1.03E-11,296,12802.9,3.94E-05,8.48E-05,6.21E-06,1.66E-06,6.351227236,3.94E-05,8.48E-05,6.21E-06,1.66E-06,1,0,0.020258165,1.24E-05,0.000141501,2.04E-07,3.35E-07,3.61E-09,0.000908826,1,0,0.008475295,1.76E-06,1.05E-05,2.88E-08,-3.78E-08,5.09E-10,0.000130826
A Band,3.35E-09,1.46E-07,1.04E-11,296,12803,3.94E-05,8.49E-05,6.21E-06,1.67E-06,6.351227236,3.94E-05,8.49E-05,6.21E-06,1.67E-06,1,0,0.020246484,1.30E-05,0.000141403,2.13E-07,3.35E-07,3.77E-09,0.00093579,1,0,0.008470896,2.20E-06,1.06E-05,3.60E-08,-3.66E-08,6.38E-10,0.000162386
A Band,3.35E-09,1.46E-07,1.04E-11,296,12803.1,3.94E-05,8.51E-05,6.21E-06,1.68E-06,6.351227236,3.94E-05,8.51E-05,6.21E-06,1.68E-06,1,0,0.020224687,1.21E-05,0.000140737,1.98E-07,3.30E-07,3.51E-09,0.000893854,1,0,0.008467555,1.37E-06,1.05E-05,2.23E-08,-3.80E-08,3.96E-10,0.000101323
A Band,3.36E-09,1.46E-07,1.04E-11,296,12803.2,3.94E-05,8.52E-05,6.21E-06,1.68E-06,6.351227236,3.94E-05,8.52E-05,6.21E-06,1.68E-06,1,0,0.020215135,1.31E-05,0.00014068,2.14E-07,3.30E-07,3.79E-09,0.000959491,1,0,0.008462117,1.12E-06,1.05E-05,1.83E-08,-3.65E-08,3.24E-10,8.33E-05
A Band,3.36E-09,1.46E-07,1.05E-11,296,12803.3,3.94E-05,8.54E-05,6.21E-06,1.69E-06,6.351227236,3.94E-05,8.54E-05,6.21E-06,1.69E-06,1,0,0.020201489,1.23E-05,0.000140565,2.01E-07,3.31E-07,3.55E-09,0.000886602,1,0,0.008459415,3.59E-06,1.04E-05,5.88E-08,-3.76E-08,1.04E-09,0.000257566
A Band,3.37E-09,1.46E-07,1.05E-11,296,12803.4,3.94E-05,8.55E-05,6.21E-06,1.70E-06,6.351227236,3.94E-05,8.55E-05,6.21E-06,1.70E-06,1,0,0.020182452,1.28E-05,0.000139992,2.10E-07,3.26E-07,3.71E-09,0.000952796,1,0,0.008453716,1.51E-06,1.04E-05,2.46E-08,-3.74E-08,4.36E-10,0.000108747
A Band,3.37E-09,1.46E-07,1.06E-11,296,12803.5,3.94E-05,8.56E-05,6.21E-06,1.70E-06,6.351227236,3.94E-05,8.56E-05,6.21E-06,1.70E-06,1,0,0.020168851,1.18E-05,0.000139883,1.93E-07,3.27E-07,3.42E-09,0.0008697,1,0,0.008451595,1.91E-06,1.04E-05,3.12E-08,-3.74E-08,5.53E-10,0.000139981
