 21 6330.010805 1.102E-29 5.536E-03.06810.086 3112.57330.74-.007255       3 4 4 12       0 4 4 01                    P 33f     466663342910 9 711    65.0   67.0,17658507,ElecStateLabel=X;v1=3;v2=4;l2=4;v3=1;J=32;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=4;l2=4;v3=0;J=33;r=1;parity=+;kronigParity=f,#,0.0,0.0688,0.00543,-0.007255,#,#,0.0
 21 6330.033029 1.229E-30 2.058E-05.06380.070 2530.23390.72-.007643       4 3 3 02       1 0 0 02                    R 56e     465553342910 9 711   115.0  113.0,17658508,ElecStateLabel=X;v1=4;v2=3;l2=3;v3=0;J=57;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=56;r=2;parity=+;kronigParity=e,#,0.0,0.06426,0.00522,-0.007643,#,#,0.0
 24 6330.040777 8.105E-29 6.279E-03.06790.084 1115.59670.74-.007305       3 1 1 12       0 1 1 01                    R 34e     366663243210 9 711   426.0  414.0,18539771,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=35;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=34;r=1;parity=+;kronigParity=e,#,0.0,0.06815,0.00534,-0.007305,#,#,0.0
 24 6330.045902 6.046E-30 6.264E-03.06990.091 1596.55570.73-.006636       3 2 2 12       0 2 2 01                    R 26e     366663243210 9 711   330.0  318.0,18539772,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=27;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=26;r=1;parity=+;kronigParity=e,#,0.0,0.06988,0.00582,-0.006636,#,#,0.0
 24 6330.061968 6.045E-30 6.263E-03.06990.091 1596.55650.73-.006636       3 2 2 12       0 2 2 01                    R 26f     366663243210 9 711   330.0  318.0,18539773,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=27;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=26;r=1;parity=-;kronigParity=f,#,0.0,0.06988,0.00582,-0.006636,#,#,0.0
 21 6330.093716 4.798E-29 1.615E-02.07220.097 2925.14970.71-.006601       4 2 2 12       1 2 2 01                    P 20e     466663342910 9 711    39.0   41.0,17658509,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=1;J=19;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=20;r=1;parity=+;kronigParity=e,#,0.0,0.07294,0.00647,-0.006601,#,#,0.0
 24 6330.117360 1.237E-30 1.634E-06.07260.098  143.85500.70-.005694       4 1 1 01       0 0 0 01                    P 19e     366663243210 9 711   222.0  234.0,18539774,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=0;J=18;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=19;r=1;parity=-;kronigParity=e,#,0.0,0.07347,0.00657,-0.005694,#,#,0.0
 21 6330.120984 3.191E-25 7.130E-03.06880.088 1031.12910.74-.007108       3 1 1 12       0 1 1 01                    P 30f     566663342910 9 711    59.0   61.0,17658510,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=29;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=30;r=1;parity=-;kronigParity=f,#,0.011529,0.06944,0.00561,-0.007108,#,#,0.011529
 23 6330.144845 7.233E-30 3.320E-06.06830.086  388.67050.74-.006821       5 0 0 05       0 0 0 01                    R 32e     366663243210 9 711    67.0   65.0,18539775,ElecStateLabel=X;v1=5;v2=0;l2=0;v3=0;J=33;r=5;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=32;r=1;parity=+;kronigParity=e,#,-0.007476,0.06851,0.00543,-0.006821,#,#,-0.007476
 21 6330.165842 2.127E-30 1.891E-02.07310.099 3576.33690.70-.006493       4 3 3 12       1 3 3 01                    P 18f     466663342910 9 711    35.0   37.0,17658511,ElecStateLabel=X;v1=4;v2=3;l2=3;v3=1;J=17;r=2;kronigParity=f,ElecStateLabel=X;v1=1;v2=3;l2=3;v3=0;J=18;r=1;parity=-;kronigParity=f,#,0.0,0.07404,0.00667,-0.006493,#,#,0.0
 24 6330.182334 1.098E-30 1.402E-02.06620.075 2230.00480.74-.008225       4 0 0 12       1 0 0 01                    R 47e     366563243210 9 711   582.0  570.0,18539776,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=48;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=47;r=1;parity=-;kronigParity=e,#,-0.027778,0.06603,0.00514,-0.008225,#,#,-0.027778
 22 6330.208282 2.110E-30 1.618E-05.06650.078 1387.02960.75-.008938       1 2 2 22       0 1 1 01                    Q 43e     366563243110 9 711   174.0  174.0,18539777,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=43;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=43;r=1;parity=-;kronigParity=e,#,0.052858,0.06686,0.00515,-0.008938,#,#,0.052858
 22 6330.217845 5.250E-30 6.270E-06.07870.108  691.51350.68-.006734       1 2 2 22       0 1 1 01                    P 10f     366663243110 9 711    38.0   42.0,18539778,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=9;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=10;r=1;parity=-;kronigParity=f,#,-0.000265,0.08025,0.00736,-0.006734,#,#,-0.000265
 25 6330.219284 2.028E-30 1.311E-03.06960.090  921.87760.73-.006725       3 1 1 11       0 1 1 01                    R 27e     366663243210 9 711   114.0  110.0,18539779,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=28;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=27;r=1;parity=-;kronigParity=e,#,0.0,0.06961,0.00575,-0.006725,#,#,0.0
