,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,eta_air,eta_air_err,eta_air_vary,y_air,y_air_err,y_air_vary,n_y_air
26,7,2,1609.8182,12983.30102,0,False,3.9800000000000005e-05,0,False,1e-24,0.0286,0,False,0.63,-0.0095,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
27,7,3,1559.8935,12984.17691,0,False,1.0200000000000002e-05,0,False,1e-24,0.0294,0,False,0.63,-0.0094,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
28,7,1,1600.1301,12984.26721,0,False,0.00267,0,False,1e-24,0.0507,0,False,0.73,-0.0061,0,False,0.0,0,0,False,1,0.085541577,0,False,0.73,0,0,False,0,0,0,False,0.0,0,False,1.0
29,7,1,1598.1361,12986.26122,0,False,0.0034,0,False,1e-24,0.0507,0,False,0.73,-0.0071,0,False,0.0,0,0,False,1,0.085541577,0,False,0.73,0,0,False,0,0,0,False,0.0,0,False,1.0
30,7,2,1519.8867,12987.19458,0,False,6.21e-05,0,False,1e-24,0.0294,0,False,0.63,-0.0095,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
31,7,3,1470.1824,12988.13277,0,False,1.5900000000000004e-05,0,False,1e-24,0.0303,0,False,0.63,-0.0094,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
32,7,1,1637.0878,12988.47994,0,False,0.00313,0,False,1e-24,0.0491,0,False,0.74,-0.00615,0,False,0.0,0,0,False,1,0.082373371,0,False,0.74,0,0,False,0,0,0,False,0.0,0,False,1.0
33,7,1,1422.5,12988.72,0,False,0.0506,0,False,1e-24,0.03,0,False,0.63,-0.01056,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.004168,0,False,8.078300568
34,7,2,1518.1547,12988.92663,0,False,6.0200000000000006e-05,0,False,1e-24,0.0294,0,False,0.63,-0.0094,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
35,7,3,1468.4486,12989.86658,0,False,1.54e-05,0,False,1e-24,0.0303,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
36,7,1,1420.76,12990.46,0,False,0.0489,0,False,1e-24,0.03,0,False,0.63,-0.01066,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.003755,0,False,8.128295749
37,7,1,1635.0659,12990.50183,0,False,0.00375,0,False,1e-24,0.0491,0,False,0.74,-0.0073,0,False,0.0,0,0,False,1,0.082373371,0,False,0.74,0,0,False,0,0,0,False,0.0,0,False,1.0
38,7,1,1685.4073,12992.29577,0,False,0.00318,0,False,1e-24,0.0478,0,False,0.73,-0.0062,0,False,0.0,0,0,False,1,0.085541577,0,False,0.73,0,0,False,0,0,0,False,0.0,0,False,1.0
39,7,2,1430.8889,12992.7218,0,False,9.29e-05,0,False,1e-24,0.0303,0,False,0.63,-0.0094,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
40,7,3,1381.4787,12993.72146,0,False,2.3700000000000003e-05,0,False,1e-24,0.0312,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
41,7,1,1683.3616,12994.34139,0,False,0.00368,0,False,1e-24,0.0478,0,False,0.73,-0.0075,0,False,0.0,0,0,False,1,0.085541577,0,False,0.73,0,0,False,0,0,0,False,0.0,0,False,1.0
42,7,2,1429.1487,12994.46197,0,False,9.000000000000002e-05,0,False,1e-24,0.0303,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
43,7,1,343.9694,12994.94056,0,False,1.2500000000000002e-05,0,False,1e-24,0.0458,0,False,0.67,-0.0074,0,False,0.0,0,0,False,1,0.104550816,0,False,0.67,0,0,False,0,0,0,False,0.0,0,False,1.0
44,7,3,1379.7365,12995.46366,0,False,2.3000000000000003e-05,0,False,1e-24,0.0312,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
45,7,1,1745.0806,12995.71274,0,False,0.00291,0,False,1e-24,0.0468,0,False,0.72,-0.00665,0,False,0.0,0,0,False,1,0.088709784,0,False,0.72,0,0,False,0,0,0,False,0.0,0,False,1.0
46,7,1,1743.0133,12997.77995,0,False,0.00329,0,False,1e-24,0.0468,0,False,0.72,-0.0074,0,False,0.0,0,0,False,1,0.088709784,0,False,0.72,0,0,False,0,0,0,False,0.0,0,False,1.0
47,7,2,1344.552,12998.15899,0,False,0.000137,0,False,1e-24,0.0312,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
48,7,1,1816.0979,12998.72867,0,False,0.00244,0,False,1e-24,0.0458,0,False,0.67,-0.0072,0,False,0.0,0,0,False,1,0.104550816,0,False,0.67,0,0,False,0,0,0,False,0.0,0,False,1.0
49,7,3,1295.5114,12999.21781,0,False,3.49e-05,0,False,1e-24,0.0322,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
50,7,2,1342.8037,12999.90731,0,False,0.000133,0,False,1e-24,0.0312,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
51,7,1,1248.2,12999.96,0,False,0.111,0,False,1e-24,0.03,0,False,0.63,-0.0116815,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.002911,0,False,6.680830454
52,7,1,1814.0104,13000.81622,0,False,0.00271,0,False,1e-24,0.0458,0,False,0.67,-0.0074,0,False,0.0,0,0,False,1,0.104550816,0,False,0.67,0,0,False,0,0,0,False,0.0,0,False,1.0
53,7,3,1293.7607,13000.96841,0,False,3.37e-05,0,False,1e-24,0.0322,0,False,0.63,-0.0092,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
54,7,1,1898.4477,13001.34118,0,False,0.00188,0,False,1e-24,0.0447,0,False,0.65,-0.0073,0,False,0.0,0,0,False,1,0.11088723,0,False,0.65,0,0,False,0,0,0,False,0.0,0,False,1.0
55,7,1,1246.45,13001.71,0,False,0.107,0,False,1e-24,0.03,0,False,0.63,-0.0117415,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.002665,0,False,6.750205732
56,7,1,1245.9718,13002.18632,0,False,1.44e-06,0,False,1e-24,0.0312,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
